seed,generation,graph_size,max_size,environment,solver,run_id
0,599,18.0,61.0,hopper,cgp,pb25i743
0,99,22.0,61.0,hopper,cgp,pb25i743
0,199,18.0,61.0,hopper,cgp,pb25i743
0,799,18.0,61.0,hopper,cgp,pb25i743
0,399,18.0,61.0,hopper,cgp,pb25i743
0,299,18.0,61.0,hopper,cgp,pb25i743
0,899,18.0,61.0,hopper,cgp,pb25i743
0,499,20.0,61.0,hopper,cgp,pb25i743
0,999,18.0,61.0,hopper,cgp,pb25i743
0,699,18.0,61.0,hopper,cgp,pb25i743
8,599,14.0,61.0,hopper,cgp,tmuocvxa
8,99,20.0,61.0,hopper,cgp,tmuocvxa
8,199,25.0,61.0,hopper,cgp,tmuocvxa
8,799,14.0,61.0,hopper,cgp,tmuocvxa
8,399,17.0,61.0,hopper,cgp,tmuocvxa
8,299,16.0,61.0,hopper,cgp,tmuocvxa
8,899,15.0,61.0,hopper,cgp,tmuocvxa
8,499,16.0,61.0,hopper,cgp,tmuocvxa
8,999,16.0,61.0,hopper,cgp,tmuocvxa
8,699,14.0,61.0,hopper,cgp,tmuocvxa
4,599,17.0,61.0,hopper,cgp,aibrc0eo
4,99,16.0,61.0,hopper,cgp,aibrc0eo
4,199,15.0,61.0,hopper,cgp,aibrc0eo
4,799,22.0,61.0,hopper,cgp,aibrc0eo
4,399,17.0,61.0,hopper,cgp,aibrc0eo
4,299,16.0,61.0,hopper,cgp,aibrc0eo
4,899,20.0,61.0,hopper,cgp,aibrc0eo
4,499,17.0,61.0,hopper,cgp,aibrc0eo
4,999,17.0,61.0,hopper,cgp,aibrc0eo
4,699,17.0,61.0,hopper,cgp,aibrc0eo
2,599,90.0,137.0,ant,cgp,h3yd1zl9
2,99,89.0,137.0,ant,cgp,h3yd1zl9
2,199,89.0,137.0,ant,cgp,h3yd1zl9
2,799,89.0,137.0,ant,cgp,h3yd1zl9
2,399,89.0,137.0,ant,cgp,h3yd1zl9
2,299,90.0,137.0,ant,cgp,h3yd1zl9
2,899,89.0,137.0,ant,cgp,h3yd1zl9
2,499,89.0,137.0,ant,cgp,h3yd1zl9
2,999,89.0,137.0,ant,cgp,h3yd1zl9
2,699,89.0,137.0,ant,cgp,h3yd1zl9
2,599,27.0,68.0,halfcheetah,cgp,in7rrj1o
2,99,27.0,68.0,halfcheetah,cgp,in7rrj1o
2,199,32.0,68.0,halfcheetah,cgp,in7rrj1o
2,799,26.0,68.0,halfcheetah,cgp,in7rrj1o
2,399,34.0,68.0,halfcheetah,cgp,in7rrj1o
2,299,31.0,68.0,halfcheetah,cgp,in7rrj1o
