evaluation,fitness,test_accuracy,time
15946,0.5619564056396484,0.6125596165657043,0.72
16046,0.5619564056396484,0.6125596165657043,0.72
17025,0.5619564056396484,0.6125596165657043,0.73
17125,0.5619564056396484,0.6125596165657043,0.73
17225,0.5619564056396484,0.6125596165657043,0.73
17325,0.5619564056396484,0.6125596165657043,0.73
17425,0.5619564056396484,0.6125596165657043,0.73
17525,0.5619564056396484,0.6125596165657043,0.73
17625,0.5619564056396484,0.6125596165657043,0.73
17725,0.5619564056396484,0.6125596165657043,0.73
17825,0.5619564056396484,0.6125596165657043,0.73
17925,0.5619564056396484,0.6125596165657043,0.73
18025,0.5619564056396484,0.6125596165657043,0.73
18125,0.5619564056396484,0.6125596165657043,0.73
18225,0.5619564056396484,0.6125596165657043,0.73
18325,0.5619564056396484,0.6125596165657043,0.73
18425,0.5619564056396484,0.6125596165657043,0.73
18525,0.5619564056396484,0.6125596165657043,0.73
18625,0.5619564056396484,0.6125596165657043,0.73
18725,0.5619564056396484,0.6125596165657043,0.73
18825,0.5619564056396484,0.6125596165657043,0.73
18925,0.5619564056396484,0.6125596165657043,0.73
19025,0.5619564056396484,0.6125596165657043,0.73
19125,0.5619564056396484,0.6125596165657043,0.73
19225,0.5619564056396484,0.6125596165657043,0.73
19325,0.5619564056396484,0.6125596165657043,0.73
19425,0.5619564056396484,0.6125596165657043,0.73
19525,0.5619564056396484,0.6125596165657043,0.73
19625,0.5619564056396484,0.6125596165657043,0.73
19725,0.5619564056396484,0.6125596165657043,0.73
19825,0.5619564056396484,0.6125596165657043,0.73
19925,0.5619564056396484,0.6125596165657043,0.73
20025,0.5619564056396484,0.6125596165657043,0.73
20125,0.5619564056396484,0.6125596165657043,0.73
20225,0.5619564056396484,0.6125596165657043,0.73
20325,0.5619564056396484,0.6125596165657043,0.73
20425,0.5619564056396484,0.6125596165657043,0.73
20525,0.5619564056396484,0.6125596165657043,0.73
20625,0.5619564056396484,0.6125596165657043,0.73
20725,0.5619564056396484,0.6125596165657043,0.73
20825,0.5619564056396484,0.6125596165657043,0.73
20925,0.5619564056396484,0.6125596165657043,0.73
21025,0.5619564056396484,0.6125596165657043,0.73
21125,0.5619564056396484,0.6125596165657043,0.73
21225,0.5619564056396484,0.6125596165657043,0.73
21325,0.5619564056396484,0.6125596165657043,0.73
21425,0.5619564056396484,0.6125596165657043,0.73
21525,0.5619564056396484,0.6125596165657043,0.73
21625,0.5619564056396484,0.6125596165657043,0.73
21725,0.5619564056396484,0.6125596165657043,0.73
21825,0.5619564056396484,0.6125596165657043,0.73
21925,0.5619564056396484,0.6125596165657043,0.73
22025,0.5619564056396484,0.6125596165657043,0.73
22125,0.5619564056396484,0.6125596165657043,0.73
23847,0.5619564056396484,0.6125596165657043,0.72
23947,0.5619564056396484,0.6125596165657043,0.72
24047,0.5619564056396484,0.6125596165657043,0.72
24147,0.5619564056396484,0.6125596165657043,0.72
24247,0.5619564056396484,0.6125596165657043,0.72
24347,0.5619564056396484,0.6125596165657043,0.72
24447,0.5619564056396484,0.6125596165657043,0.72
24547,0.5619564056396484,0.6125596165657043,0.72
24647,0.5619564056396484,0.6125596165657043,0.72
24747,0.5619564056396484,0.6125596165657043,0.72
