evaluation,fitness,time
33900,1607.45654296875,10.37
34000,1763.1361083984375,10.26
34100,1592.1097412109375,10.34
34200,1599.27001953125,10.33
34300,1580.6004638671875,10.34
34400,1704.798583984375,10.39
34500,1626.096435546875,10.48
34600,1533.214599609375,10.45
34700,1578.0196533203125,10.42
34800,1589.6827392578125,10.50
34900,1578.273193359375,10.50
35000,1634.2071533203125,10.48
35100,1620.6236572265625,10.47
35200,1590.795166015625,10.48
35300,1666.1322021484375,10.49
35400,1602.02490234375,10.53
35500,1562.9940185546875,10.57
35600,1706.1488037109375,10.47
35700,1596.700439453125,10.47
35800,1618.4691162109375,10.47
35900,1592.256103515625,10.52
36000,1522.2330322265625,10.54
36100,1515.4576416015625,10.57
36200,1638.810546875,10.53
36300,1540.25390625,10.48
36400,1439.6170654296875,10.55
36500,1615.9471435546875,10.56
36600,1778.08642578125,10.52
36700,1677.2791748046875,10.54
36800,1729.817626953125,10.51
36900,1573.04638671875,10.53
37000,1597.0748291015625,10.55
37100,1563.1639404296875,10.50
37200,1534.326416015625,10.53
37300,1534.0391845703125,10.53
37400,1617.9483642578125,10.52
37500,1502.2763671875,10.53
37600,1666.6522216796875,10.56
37700,1607.8746337890625,10.58
37800,1544.9447021484375,10.64
37900,1645.4893798828125,10.57
38000,1572.720947265625,10.56
38100,1624.8116455078125,10.54
38200,1598.1693115234375,10.55
38300,1571.574462890625,10.57
38400,1563.5042724609375,10.57
38500,1610.284423828125,10.52
38600,1647.0430908203125,10.56
38700,1600.5262451171875,10.57
38800,1706.4464111328125,10.59
38900,1626.9744873046875,10.56
39000,1685.6944580078125,10.53
39100,1705.7196044921875,10.57
39200,1610.1925048828125,10.59
39300,1563.2659912109375,10.56
39400,1611.4967041015625,10.50
39500,1608.8045654296875,10.55
39600,1586.62060546875,10.51
39700,1625.345458984375,10.50
39800,1797.82568359375,10.49
39900,1677.658447265625,10.50
40000,1634.2120361328125,10.55
40100,1539.2476806640625,10.50
40200,1749.783447265625,10.49
40300,1772.565185546875,10.48
40400,1548.23291015625,10.55
40500,1552.92724609375,10.49
40600,1645.1988525390625,10.48
40700,1589.326171875,10.50
40800,1522.171630859375,10.53
40900,1609.056396484375,10.49
41000,1635.843505859375,10.51
41100,1557.438232421875,10.50
41200,1511.171142578125,10.52
41300,1592.279052734375,10.55
41400,1730.02880859375,10.56
41500,1582.566650390625,10.58
41600,1600.2958984375,10.53
41700,1675.7724609375,10.53
41800,1572.573486328125,10.52
41900,1780.1107177734375,10.58
42000,1702.6639404296875,10.57
42100,1610.40771484375,10.56
42200,1539.7830810546875,10.52
42300,1733.3548583984375,10.53
42400,1658.927978515625,10.60
42500,1627.1988525390625,10.57
42600,1820.070556640625,10.53
42700,1719.6055908203125,10.57
42800,1607.1822509765625,10.54
42900,1657.5167236328125,10.51
43000,1511.5150146484375,10.56
43100,1592.106689453125,10.57
43200,1628.466796875,10.54
43300,1629.9931640625,10.56
43400,1630.2584228515625,10.54
43500,1558.3900146484375,10.55
43600,1523.41650390625,10.53
43700,1591.90576171875,10.53
43800,1908.288818359375,10.55
43900,3191.572998046875,10.62
44000,1888.813232421875,10.54
44100,2497.765625,10.60
44200,2676.9091796875,10.55
44300,3267.87451171875,10.54
44400,9079.8818359375,10.56
44500,9448.2734375,10.55
44600,9217.193359375,10.55
44700,9262.1953125,10.54
44800,9471.384765625,10.50
44900,9463.3779296875,10.50
45000,9471.837890625,10.47
