healthy,ctrl,forward,total,cumulative,cumulative_healthy,cumulative_ctrl,cumulative_forward
1.0,-0.0027507715858519077,2.2134668827056885,3.2107160091400146,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0031910266261547804,2.168278932571411,3.165087938308716,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027115284465253353,1.8694511651992798,2.866739511489868,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002348724054172635,1.6141756772994995,2.6118271350860596,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002458159811794758,1.378197193145752,2.375739097595215,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0021467790938913822,1.1740474700927734,2.171900749206543,578.9067,232.0,-0.6240843,347.53073
1.0,-0.001856570946983993,1.0740644931793213,2.0722079277038574,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0018132702680304646,1.08577299118042,2.0839598178863525,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0019063946092501283,1.1814682483673096,2.1795618534088135,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0017620142316445708,1.2567191123962402,2.2549571990966797,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016883057542145252,1.2637897729873657,2.262101411819458,578.9067,232.0,-0.6240843,347.53073
1.0,-0.001714816433377564,1.211058259010315,2.209343433380127,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016795952105894685,1.1725760698318481,2.170896291732788,578.9067,232.0,-0.6240843,347.53073
1.0,-0.00166222732514143,1.1929272413253784,2.191265106201172,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016746597830206156,1.23812997341156,2.2364554405212402,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016730758361518383,1.262795090675354,2.261121988296509,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016534023452550173,1.2594088315963745,2.2577555179595947,578.9067,232.0,-0.6240843,347.53073
1.0,-0.001656055566854775,1.2530423402786255,2.2513861656188965,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016532356385141611,1.2571773529052734,2.255524158477783,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016492401482537389,1.2762471437454224,2.2745978832244873,578.9067,232.0,-0.6240843,347.53073
1.0,-0.001643506227992475,1.293096661567688,2.2914531230926514,578.9067,232.0,-0.6240843,347.53073
1.0,-0.001643679104745388,1.3060680627822876,2.304424285888672,578.9067,232.0,-0.6240843,347.53073
1.0,-0.001637401757761836,1.3107470273971558,2.309109687805176,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016312056686729193,1.3171731233596802,2.3155417442321777,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016264277510344982,1.3245491981506348,2.322922706604004,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016771971713751554,1.3696699142456055,2.367992639541626,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0019200077513232827,1.3390778303146362,2.337157964706421,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002144531114026904,1.2501850128173828,2.2480404376983643,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002131205750629306,1.176252841949463,2.174121618270874,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002147054998204112,1.1273249387741089,2.125178098678589,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002158441813662648,1.0924413204193115,2.090282917022705,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0019594114273786545,1.0865851640701294,2.084625720977783,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0019873101264238358,1.09200918674469,2.090021848678589,578.9067,232.0,-0.6240843,347.53073
1.0,-0.001748757204040885,1.108340859413147,2.1065919399261475,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0018584700301289558,1.1212005615234375,2.119342088699341,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0017067609587684274,1.1141746044158936,2.1124677658081055,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016561747761443257,1.1000707149505615,2.098414421081543,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0016123434761539102,1.0975151062011719,2.095902681350708,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0015673328889533877,1.1049805879592896,2.1034131050109863,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0015903126914054155,1.1133103370666504,2.111720085144043,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002208528108894825,1.0818092823028564,2.0796008110046387,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027314391918480396,1.211151361465454,2.2084200382232666,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027904585003852844,1.4040766954421997,2.4012861251831055,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0024166880175471306,1.4805867671966553,2.478170156478882,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002544540213420987,1.4743505716323853,2.4718058109283447,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0024871467612683773,1.4516189098358154,2.449131727218628,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0027162511833012104,1.4551429748535156,2.4524266719818115,578.9067,232.0,-0.6240843,347.53073
1.0,-0.00282686622813344,1.470863699913025,2.4680368900299072,578.9067,232.0,-0.6240843,347.53073
1.0,-0.00292361993342638,1.4846696853637695,2.481745958328247,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0028307996690273285,1.470863699913025,2.4680330753326416,578.9067,232.0,-0.6240843,347.53073
1.0,-0.0023327830713242292,1.4826654195785522,2.480332851409912,578.9067,232.0,-0.6240843,347.53073
1.0,-0.002527430187910795,1.4632716178894043,2.4607441425323486,578.9067,232.0,-0.6240843,347.53073
