,iteration,front_size,reward,simplicity
397,156,3,909.1494,0.8666667
398,157,2,368.4833,1.0
399,157,2,966.1507,0.93333334
400,158,2,368.4833,1.0
401,158,2,935.8277,0.93333334
402,159,2,368.4833,1.0
403,159,2,918.63086,0.93333334
404,160,2,368.4833,1.0
405,160,2,918.63086,0.93333334
406,161,2,368.4833,1.0
407,161,2,918.63086,0.93333334
408,162,2,368.4833,1.0
409,162,2,918.08777,0.93333334
410,163,2,368.4833,1.0
411,163,2,918.08777,0.93333334
412,164,2,368.4833,1.0
413,164,2,899.371,0.93333334
414,165,2,368.4833,1.0
415,165,2,898.5937,0.93333334
416,166,2,368.4833,1.0
417,166,2,887.5248,0.93333334
418,167,2,368.4833,1.0
419,167,2,887.5248,0.93333334
420,168,2,368.4833,1.0
421,168,2,887.5248,0.93333334
422,169,2,368.4833,1.0
423,169,2,879.742,0.93333334
424,170,2,368.4833,1.0
425,170,2,870.1873,0.93333334
426,171,2,368.4833,1.0
427,171,2,870.1873,0.93333334
428,172,2,368.4833,1.0
429,172,2,870.1873,0.93333334
430,173,2,368.4833,1.0
431,173,2,870.1873,0.93333334
432,174,2,368.4833,1.0
433,174,2,861.2429,0.93333334
434,175,3,368.4833,1.0
435,175,3,861.2429,0.93333334
436,175,3,937.9119,0.8666667
437,176,3,368.4833,1.0
438,176,3,937.9119,0.8666667
439,176,3,890.03033,0.93333334
440,177,3,368.4833,1.0
441,177,3,937.9119,0.8666667
442,177,3,890.05896,0.93333334
443,178,4,368.4833,1.0
444,178,4,937.9119,0.8666667
445,178,4,890.05896,0.93333334
446,178,4,965.4523,0.73333335
447,179,4,368.4833,1.0
448,179,4,937.9119,0.8666667
449,179,4,890.05896,0.93333334
450,179,4,965.4523,0.73333335
451,180,4,368.4833,1.0
452,180,4,937.9119,0.8666667
453,180,4,890.05896,0.93333334
454,180,4,965.4523,0.73333335
455,181,4,368.4833,1.0
456,181,4,937.9119,0.8666667
457,181,4,890.05896,0.93333334
458,181,4,965.4523,0.73333335
459,182,3,368.4833,1.0
460,182,3,965.4523,0.73333335
461,182,3,947.0439,0.93333334
462,183,3,368.4833,1.0
463,183,3,965.4523,0.73333335
464,183,3,947.0439,0.93333334
465,184,3,368.4833,1.0
466,184,3,947.0439,0.93333334
467,184,3,1013.1138,0.8666667
468,185,3,368.4833,1.0
469,185,3,947.0439,0.93333334
470,185,3,1013.1138,0.8666667
471,186,3,368.4833,1.0
472,186,3,947.0439,0.93333334
473,186,3,1013.1138,0.8666667
474,187,3,368.4833,1.0
475,187,3,947.0439,0.93333334
476,187,3,1013.1138,0.8666667
477,188,3,368.4833,1.0
478,188,3,1013.1138,0.8666667
479,188,3,975.38556,0.93333334
480,189,3,368.4833,1.0
481,189,3,1013.1138,0.8666667
482,189,3,975.38556,0.93333334
483,190,3,368.4833,1.0
484,190,3,1013.1138,0.8666667
485,190,3,975.38556,0.93333334
486,191,3,368.4833,1.0
487,191,3,1013.1138,0.8666667
488,191,3,975.38556,0.93333334
489,192,3,368.4833,1.0
490,192,3,1013.1138,0.8666667
491,192,3,984.9571,0.93333334
492,193,2,368.4833,1.0
493,193,2,984.9571,0.93333334
494,194,2,368.4833,1.0
495,194,2,984.9571,0.93333334
496,195,2,368.4833,1.0
497,195,2,984.9571,0.93333334
498,196,2,368.4833,1.0
499,196,2,975.38556,0.93333334
500,197,2,368.4833,1.0
501,197,2,975.38556,0.93333334
502,198,3,368.4833,1.0
503,198,3,975.38556,0.93333334
504,198,3,1056.9407,0.8666667
505,199,3,368.4833,1.0
506,199,3,975.38556,0.93333334
507,199,3,1056.9407,0.8666667
508,200,3,368.4833,1.0
509,200,3,975.38556,0.93333334
510,200,3,1056.9407,0.8666667
511,201,2,368.4833,1.0
512,201,2,975.38556,0.93333334
513,202,2,368.4833,1.0
514,202,2,975.38556,0.93333334
515,203,2,368.4833,1.0
516,203,2,975.38556,0.93333334
517,204,2,368.4833,1.0
518,204,2,975.38556,0.93333334
519,205,2,368.4833,1.0
520,205,2,975.38556,0.93333334
521,206,2,368.4833,1.0
522,206,2,975.38556,0.93333334
523,207,2,368.4833,1.0
524,207,2,975.38556,0.93333334
525,208,2,368.4833,1.0
526,208,2,975.38556,0.93333334
527,209,2,368.4833,1.0
528,209,2,975.38556,0.93333334
529,210,3,368.4833,1.0
530,210,3,975.38556,0.93333334
531,210,3,1003.8827,0.8666667
532,211,2,368.4833,1.0
533,211,2,975.38556,0.93333334
534,212,2,368.4833,1.0
535,212,2,975.38556,0.93333334
536,213,3,368.4833,1.0
537,213,3,975.38104,0.93333334
538,213,3,981.9129,0.13333327
539,214,3,368.4833,1.0
540,214,3,975.38104,0.93333334
541,214,3,981.9129,0.13333327
542,215,3,368.4833,1.0
543,215,3,975.38104,0.93333334
544,215,3,981.9129,0.13333327
545,216,3,368.4833,1.0
546,216,3,975.38104,0.93333334
547,216,3,981.9129,0.13333327
548,217,2,368.4833,1.0
549,217,2,975.38104,0.93333334
550,218,2,368.4833,1.0
551,218,2,947.0439,0.93333334
552,219,2,368.4833,1.0
553,219,2,937.7647,0.93333334
554,220,2,368.4833,1.0
555,220,2,936.93634,0.93333334
556,221,2,368.4833,1.0
557,221,2,928.0794,0.93333334
558,222,2,368.4833,1.0
559,222,2,927.018,0.93333334
560,223,2,368.4833,1.0
561,223,2,937.92163,0.93333334
562,224,2,368.4833,1.0
563,224,2,928.32916,0.93333334
564,225,2,368.4833,1.0
