,_step,training.fitness_3q,training.fitness_mean,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,_timestamp,training.run_id,training.fitness_median,training.evaluation_time,_runtime,training.fitness_std,training.top_k_fit.top_1_fit,training.fitness_1q,training.generation,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
10,10,77.25824737548828,1193.529296875,4416.01123046875,3680.271484375,1687205474.5095792,0,590.9330444335938,6.156340599060059,89.53874111175537,1306.50341796875,3698.70068359375,2448.0224609375,10,lgp,mu+lambda,reward,halfcheetah,0,1000,4416.01123046875,3698.70068359375,3680.271484375
11,11,202.3397674560547,1295.18212890625,5374.86083984375,4864.47802734375,1687205480.6832435,0,587.8255615234375,6.158510208129883,95.71240544319153,1455.6510009765625,5339.55419921875,2543.0244140625,11,lgp,mu+lambda,reward,halfcheetah,0,1100,5374.86083984375,5339.55419921875,4864.47802734375
12,12,-25.184154510498047,1187.9425048828125,6398.005859375,5496.3330078125,1687205486.8592772,0,551.45458984375,6.159671783447266,101.8884391784668,1511.391357421875,6169.78515625,2476.5869140625,12,lgp,mu+lambda,reward,halfcheetah,0,1200,6398.005859375,6169.78515625,5496.3330078125
13,13,147.99208068847656,328.1661376953125,6519.64208984375,5834.63671875,1687205493.0365775,0,643.7692260742188,6.161805629730225,108.06573939323425,10199.95703125,6124.87060546875,2453.005859375,13,lgp,mu+lambda,reward,halfcheetah,0,1300,6519.64208984375,6124.87060546875,5834.63671875
14,14,-41.096107482910156,1738.7249755859375,6546.21533203125,6189.9990234375,1687205499.2119799,0,639.8431396484375,6.158932685852051,114.24114179611206,2112.080322265625,6269.11962890625,3005.126953125,14,lgp,mu+lambda,reward,halfcheetah,0,1400,6546.21533203125,6269.11962890625,6189.9990234375
15,15,-88.79086303710938,1428.2625732421875,6379.40283203125,6290.865234375,1687205505.3778408,0,505.323486328125,6.135405540466309,120.40700268745422,2249.54736328125,6309.4599609375,2396.74267578125,15,lgp,mu+lambda,reward,halfcheetah,0,1500,6379.40283203125,6309.4599609375,6290.865234375
16,16,-51.46409225463867,2050.0234375,6523.00927734375,6331.26904296875,1687205511.4844973,0,673.3649291992188,6.070267677307129,126.51365923881531,2494.966064453125,6404.1513671875,4345.50341796875,16,lgp,mu+lambda,reward,halfcheetah,0,1600,6523.00927734375,6404.1513671875,6331.26904296875
17,17,220.1685028076172,2225.817626953125,6676.55908203125,6417.349609375,1687205517.6574156,0,843.077392578125,6.146962642669678,132.68657755851746,2437.33447265625,6488.06103515625,4538.8662109375,17,lgp,mu+lambda,reward,halfcheetah,0,1700,6676.55908203125,6488.06103515625,6417.349609375
18,18,-169.8018798828125,2137.94140625,6793.2939453125,6470.9765625,1687205523.8573213,0,718.2767333984375,6.175574779510498,138.88648319244385,2644.309326171875,6758.5986328125,5150.583984375,18,lgp,mu+lambda,reward,halfcheetah,0,1800,6793.2939453125,6758.5986328125,6470.9765625
19,19,137.7442626953125,2478.248046875,6815.15087890625,6508.990234375,1687205530.001461,0,717.6380615234375,6.105086803436279,145.03062295913696,2711.974853515625,6675.22216796875,5647.1708984375,19,lgp,mu+lambda,reward,halfcheetah,0,1900,6815.15087890625,6675.22216796875,6508.990234375
20,20,361.71600341796875,2346.219970703125,6718.220703125,6622.03076171875,1687205536.1781864,0,1203.646484375,6.138101100921631,151.2073483467102,2497.740234375,6630.90625,5210.4931640625,20,lgp,mu+lambda,reward,halfcheetah,0,2000,6718.220703125,6630.90625,6622.03076171875
21,21,-45.01341247558594,2067.421142578125,6906.2265625,6679.095703125,1687205542.3557878,0,615.8472900390625,6.15091609954834,157.38494968414307,2707.56787109375,6884.86865234375,5144.3388671875,21,lgp,mu+lambda,reward,halfcheetah,0,2100,6906.2265625,6884.86865234375,6679.095703125
22,22,108.11573791503906,2313.153564453125,6840.529296875,6672.865234375,1687205548.4759367,0,664.393798828125,6.097424507141113,163.5050985813141,2730.835205078125,6741.63037109375,5706.23779296875,22,lgp,mu+lambda,reward,halfcheetah,0,2200,6840.529296875,6741.63037109375,6672.865234375
23,23,165.4806671142578,2457.12255859375,6756.86669921875,6619.65966796875,1687205554.5733438,0,750.441162109375,6.079916954040527,169.60250568389893,2777.398193359375,6669.8037109375,5726.1337890625,23,lgp,mu+lambda,reward,halfcheetah,0,2300,6756.86669921875,6669.8037109375,6619.65966796875
24,24,-95.94932556152344,2093.9921875,6762.2783203125,6586.302734375,1687205560.6694834,0,607.7808837890625,6.077887058258057,175.69864535331726,2721.736083984375,6761.12255859375,4874.31982421875,24,lgp,mu+lambda,reward,halfcheetah,0,2400,6762.2783203125,6761.12255859375,6586.302734375
25,25,19.377239227294922,2116.05224609375,6918.4052734375,6635.3349609375,1687205566.7729855,0,617.3872680664062,6.072123050689697,181.80214738845825,2586.40234375,6771.2041015625,4653.525390625,25,lgp,mu+lambda,reward,halfcheetah,0,2500,6918.4052734375,6771.2041015625,6635.3349609375
26,26,-92.35523223876953,2403.357666015625,6833.6611328125,6709.14501953125,1687205572.925749,0,1112.91943359375,6.130526542663574,187.95491099357605,2702.994873046875,6709.9775390625,5674.9541015625,26,lgp,mu+lambda,reward,halfcheetah,0,2600,6833.6611328125,6709.9775390625,6709.14501953125
27,27,-91.61227416992188,2006.7930908203125,6839.7685546875,6680.73388671875,1687205579.069421,0,586.89453125,6.125675201416016,194.09858298301697,2538.772705078125,6838.9853515625,4362.7880859375,27,lgp,mu+lambda,reward,halfcheetah,0,2700,6839.7685546875,6838.9853515625,6680.73388671875
28,28,349.0675964355469,2357.154052734375,6850.25244140625,6699.12939453125,1687205585.21073,0,948.589111328125,6.125124931335449,200.2398920059204,2542.485107421875,6731.31884765625,5130.84765625,28,lgp,mu+lambda,reward,halfcheetah,0,2800,6850.25244140625,6731.31884765625,6699.12939453125
29,29,80.74832916259766,2114.832275390625,6888.36376953125,6581.61181640625,1687205591.3737562,0,653.06298828125,6.1455159187316895,206.40291810035706,2449.95166015625,6632.34619140625,4120.54443359375,29,lgp,mu+lambda,reward,halfcheetah,0,2900,6888.36376953125,6632.34619140625,6581.61181640625
30,30,-100.90471649169922,2195.4599609375,6582.994140625,6526.2939453125,1687205597.5368426,0,760.8787841796875,6.145135879516602,212.5660045146942,2527.0908203125,6540.876953125,4615.287109375,30,lgp,mu+lambda,reward,halfcheetah,0,3000,6582.994140625,6540.876953125,6526.2939453125
31,31,-93.48182678222656,2039.4554443359375,6641.9130859375,6603.17626953125,1687205603.707855,0,482.9060974121094,6.153702735900879,218.73701691627502,2652.032958984375,6631.44140625,5067.537109375,31,lgp,mu+lambda,reward,halfcheetah,0,3100,6641.9130859375,6631.44140625,6603.17626953125
32,32,42.55473709106445,2269.468994140625,6705.26708984375,6645.18359375,1687205609.8692932,0,680.8330078125,6.143635272979736,224.89845514297485,2556.955322265625,6674.92919921875,4703.76708984375,32,lgp,mu+lambda,reward,halfcheetah,0,3200,6705.26708984375,6674.92919921875,6645.18359375
33,33,272.625,2676.566162109375,6728.79833984375,6657.24951171875,1687205616.0366795,0,1645.798828125,6.150625705718994,231.0658414363861,2674.453125,6690.1162109375,5799.65673828125,33,lgp,mu+lambda,reward,halfcheetah,0,3300,6728.79833984375,6690.1162109375,6657.24951171875
34,34,-130.80751037597656,2036.0096435546875,6939.85693359375,6686.4365234375,1687205622.204383,0,467.269775390625,6.1501312255859375,237.23354482650757,2801.771484375,6850.85400390625,5676.875,34,lgp,mu+lambda,reward,halfcheetah,0,3400,6939.85693359375,6850.85400390625,6686.4365234375
35,35,-162.498779296875,1993.9993896484375,6800.1435546875,6786.86767578125,1687205628.3712142,0,434.7552185058594,6.150266170501709,243.40037608146667,2756.665771484375,6788.19873046875,4984.6240234375,35,lgp,mu+lambda,reward,halfcheetah,0,3500,6800.1435546875,6788.19873046875,6786.86767578125
36,36,72.2177734375,2532.037353515625,6852.14697265625,6725.32666015625,1687205634.5501852,0,1428.970703125,6.137925148010254,249.57934713363647,2676.627197265625,6793.90673828125,5380.06787109375,36,lgp,mu+lambda,reward,halfcheetah,0,3600,6852.14697265625,6793.90673828125,6725.32666015625
37,37,-123.95553588867188,2100.573486328125,6962.99755859375,6730.85986328125,1687205640.7033682,0,615.536865234375,6.120405197143555,255.7325301170349,2665.00146484375,6754.5703125,4758.59814453125,37,lgp,mu+lambda,reward,halfcheetah,0,3700,6962.99755859375,6754.5703125,6730.85986328125
38,38,-122.0647201538086,2019.797607421875,6845.16455078125,6702.3408203125,1687205646.8568072,0,561.2938232421875,6.121501922607422,261.8859691619873,2766.607666015625,6710.7216796875,5172.22900390625,38,lgp,mu+lambda,reward,halfcheetah,0,3800,6845.16455078125,6710.7216796875,6702.3408203125
39,39,-39.320648193359375,2270.39599609375,6979.79248046875,6769.76025390625,1687205652.9582708,0,661.166259765625,6.069687843322754,267.987432718277,2691.5986328125,6830.443359375,5450.99609375,39,lgp,mu+lambda,reward,halfcheetah,0,3900,6979.79248046875,6830.443359375,6769.76025390625
40,40,301.88623046875,2796.076904296875,6766.04931640625,6592.7353515625,1687205659.108627,0,2180.741943359375,6.118277072906494,274.1377890110016,2659.8251953125,6699.0185546875,5782.60791015625,40,lgp,mu+lambda,reward,halfcheetah,0,4000,6766.04931640625,6699.0185546875,6592.7353515625
41,41,-126.8823471069336,2348.35546875,6691.017578125,6602.43017578125,1687205665.2636755,0,614.465576171875,6.122941970825195,280.2928373813629,2873.269775390625,6659.72119140625,5918.5888671875,41,lgp,mu+lambda,reward,halfcheetah,0,4100,6691.017578125,6659.72119140625,6602.43017578125
42,42,175.86453247070312,2359.876708984375,6794.45361328125,6708.798828125,1687205671.4174995,0,728.22509765625,6.121659755706787,286.44666147232056,2632.46875,6783.5361328125,4972.82177734375,42,lgp,mu+lambda,reward,halfcheetah,0,4200,6794.45361328125,6783.5361328125,6708.798828125
43,43,67.95511627197266,2199.276123046875,7004.38720703125,6709.55615234375,1687205677.570064,0,532.9423828125,6.121481895446777,292.5992259979248,2664.369140625,6869.47314453125,5086.369140625,43,lgp,mu+lambda,reward,halfcheetah,0,4300,7004.38720703125,6869.47314453125,6709.55615234375
44,44,79.31754302978516,2404.214599609375,6937.568359375,6837.97314453125,1687205683.682997,0,625.7877197265625,6.080427169799805,298.71215891838074,2760.56591796875,6849.12255859375,5269.77197265625,44,lgp,mu+lambda,reward,halfcheetah,0,4400,6937.568359375,6849.12255859375,6837.97314453125
45,45,38.769752502441406,2268.681396484375,6896.5224609375,6570.42919921875,1687205689.836622,0,952.0677490234375,6.122555732727051,304.86578392982483,2657.974365234375,6593.74951171875,5325.1552734375,45,lgp,mu+lambda,reward,halfcheetah,0,4500,6896.5224609375,6593.74951171875,6570.42919921875
46,46,-99.02804565429688,2289.95458984375,6808.69091796875,6600.60595703125,1687205695.9875615,0,765.3009033203125,6.118582725524902,311.0167233943939,2619.7314453125,6756.31591796875,5289.115234375,46,lgp,mu+lambda,reward,halfcheetah,0,4600,6808.69091796875,6756.31591796875,6600.60595703125
47,47,-115.54359436035156,2199.932373046875,6938.31201171875,6695.00927734375,1687205702.1605651,0,776.3846435546875,6.140007495880127,317.1897270679474,2645.7646484375,6870.890625,4416.01123046875,47,lgp,mu+lambda,reward,halfcheetah,0,4700,6938.31201171875,6870.890625,6695.00927734375
48,48,-7.520125389099121,2146.091796875,6802.1015625,6715.3740234375,1687205708.327449,0,598.9586181640625,6.1499924659729,323.3566110134125,2674.927490234375,6776.2314453125,5210.2373046875,48,lgp,mu+lambda,reward,halfcheetah,0,4800,6802.1015625,6776.2314453125,6715.3740234375
49,49,-157.1044921875,1882.19775390625,6776.16552734375,6637.5693359375,1687205714.4991457,0,373.4685363769531,6.1543049812316895,329.5283076763153,2634.9853515625,6700.90380859375,3682.785888671875,49,lgp,mu+lambda,reward,halfcheetah,0,4900,6776.16552734375,6700.90380859375,6637.5693359375
50,50,-43.90452194213867,2173.97021484375,7174.24462890625,6786.5673828125,1687205720.6667073,0,546.0255126953125,6.150322437286377,335.6958692073822,2651.02783203125,6897.42822265625,4871.63623046875,50,lgp,mu+lambda,reward,halfcheetah,0,5000,7174.24462890625,6897.42822265625,6786.5673828125
51,51,50.68449020385742,2382.808349609375,6847.8486328125,6616.85986328125,1687205726.8340366,0,967.421630859375,6.149925708770752,341.86319851875305,2593.752197265625,6656.89013671875,5163.36962890625,51,lgp,mu+lambda,reward,halfcheetah,0,5100,6847.8486328125,6656.89013671875,6616.85986328125
52,52,39.671138763427734,2322.08935546875,6903.53759765625,6853.78955078125,1687205732.9927347,0,757.369384765625,6.141761779785156,348.02189660072327,2674.451904296875,6859.14306640625,5511.974609375,52,lgp,mu+lambda,reward,halfcheetah,0,5200,6903.53759765625,6859.14306640625,6853.78955078125
53,53,-2.793402671813965,2346.411865234375,6944.244140625,6604.73388671875,1687205739.1517804,0,680.914306640625,6.142107009887695,354.1809422969818,2715.875732421875,6691.34326171875,5610.9482421875,53,lgp,mu+lambda,reward,halfcheetah,0,5300,6944.244140625,6691.34326171875,6604.73388671875
54,54,309.8796081542969,2149.78515625,6854.69677734375,6664.65673828125,1687205745.3179,0,632.6549072265625,6.148744583129883,360.3470618724823,2434.041748046875,6845.25341796875,4278.43359375,54,lgp,mu+lambda,reward,halfcheetah,0,5400,6854.69677734375,6845.25341796875,6664.65673828125
55,55,25.691043853759766,2405.21826171875,6915.33251953125,6615.15478515625,1687205751.4853125,0,1261.173828125,6.150169849395752,366.51447439193726,2708.434814453125,6651.4677734375,5517.1591796875,55,lgp,mu+lambda,reward,halfcheetah,0,5500,6915.33251953125,6651.4677734375,6615.15478515625
56,56,-148.30685424804688,2266.740234375,6729.8603515625,6594.890625,1687205757.6548295,0,484.4501037597656,6.152007102966309,372.68399143218994,2871.46337890625,6601.55224609375,6040.94189453125,56,lgp,mu+lambda,reward,halfcheetah,0,5600,6729.8603515625,6601.55224609375,6594.890625
57,57,89.88468933105469,2369.22705078125,6775.24365234375,6613.16845703125,1687205763.8228014,0,799.5188598632812,6.1509599685668945,378.85196328163147,2695.7353515625,6622.69873046875,5830.9326171875,57,lgp,mu+lambda,reward,halfcheetah,0,5700,6775.24365234375,6622.69873046875,6613.16845703125
58,58,60.60859680175781,2484.588134765625,6753.1328125,6588.59814453125,1687205770.0013444,0,1032.4803466796875,6.163256645202637,385.0305063724518,2705.3330078125,6595.697265625,5677.4951171875,58,lgp,mu+lambda,reward,halfcheetah,0,5800,6753.1328125,6595.697265625,6588.59814453125
59,59,2.696981430053711,2298.29248046875,6885.3037109375,6617.93017578125,1687205776.1739614,0,676.8692626953125,6.15545654296875,391.20312333106995,2676.145263671875,6622.912109375,5122.9365234375,59,lgp,mu+lambda,reward,halfcheetah,0,5900,6885.3037109375,6622.912109375,6617.93017578125
60,60,-119.14509582519531,2090.73583984375,6884.61328125,6662.6142578125,1687205782.3493316,0,655.9852294921875,6.160065174102783,397.3784935474396,2560.237060546875,6829.30908203125,4056.36328125,60,lgp,mu+lambda,reward,halfcheetah,0,6000,6884.61328125,6829.30908203125,6662.6142578125
61,61,4.242279052734375,2246.00732421875,6770.65625,6607.55419921875,1687205788.5003633,0,625.7236328125,6.134831428527832,403.5295252799988,2658.05615234375,6613.13720703125,5648.92333984375,61,lgp,mu+lambda,reward,halfcheetah,0,6100,6770.65625,6613.13720703125,6607.55419921875
62,62,-119.47335052490234,1997.9874267578125,6739.26318359375,6586.98974609375,1687205794.6505766,0,664.1348876953125,6.134905815124512,409.6797385215759,2585.54931640625,6638.22509765625,4466.53125,62,lgp,mu+lambda,reward,halfcheetah,0,6200,6739.26318359375,6638.22509765625,6586.98974609375
63,63,-133.63717651367188,2271.228271484375,6910.00537109375,6765.18212890625,1687205800.80174,0,600.499267578125,6.134669303894043,415.8309018611908,2718.0068359375,6767.59326171875,5348.10546875,63,lgp,mu+lambda,reward,halfcheetah,0,6300,6910.00537109375,6767.59326171875,6765.18212890625
64,64,62.49358367919922,2293.5,6675.7734375,6618.7763671875,1687205806.953855,0,915.440673828125,6.1349616050720215,421.98301696777344,2647.374755859375,6665.8916015625,5089.708984375,64,lgp,mu+lambda,reward,halfcheetah,0,6400,6675.7734375,6665.8916015625,6618.7763671875
65,65,153.98455810546875,2050.590576171875,6555.427734375,6476.80126953125,1687205813.0580783,0,553.3684692382812,6.088000774383545,428.0872402191162,2645.335205078125,6541.7353515625,5266.61181640625,65,lgp,mu+lambda,reward,halfcheetah,0,6500,6555.427734375,6541.7353515625,6476.80126953125
66,66,87.06967163085938,2575.86083984375,6665.36767578125,6587.576171875,1687205819.1572483,0,1548.3585205078125,6.08332633972168,434.1864101886749,2726.08056640625,6637.3828125,5652.77783203125,66,lgp,mu+lambda,reward,halfcheetah,0,6600,6665.36767578125,6637.3828125,6587.576171875
67,67,-76.17582702636719,2420.479736328125,6728.77099609375,6674.55615234375,1687205825.3197987,0,693.6275634765625,6.145754814147949,440.34896063804626,2755.62353515625,6705.859375,5753.435546875,67,lgp,mu+lambda,reward,halfcheetah,0,6700,6728.77099609375,6705.859375,6674.55615234375
68,68,-141.14036560058594,2121.659912109375,6758.283203125,6500.22900390625,1687205831.4930763,0,442.777099609375,6.150734901428223,446.5222382545471,2774.511474609375,6527.72021484375,5024.97119140625,68,lgp,mu+lambda,reward,halfcheetah,0,6800,6758.283203125,6527.72021484375,6500.22900390625
69,69,21.550321578979492,2332.768310546875,6705.388671875,6569.529296875,1687205837.6452262,0,1095.546142578125,6.135120868682861,452.6743881702423,2629.8642578125,6639.2109375,5592.08642578125,69,lgp,mu+lambda,reward,halfcheetah,0,6900,6705.388671875,6639.2109375,6569.529296875
70,70,8.325445175170898,1363.5625,6882.85205078125,6672.70703125,1687205843.7840254,0,654.3406982421875,6.1230669021606445,458.81318736076355,10536.9677734375,6754.24560546875,5706.07177734375,70,lgp,mu+lambda,reward,halfcheetah,0,7000,6882.85205078125,6754.24560546875,6672.70703125
71,71,5.943921089172363,2280.791015625,6870.83251953125,6541.0390625,1687205849.9149156,0,816.9240112304688,6.113946914672852,464.94407749176025,2687.017822265625,6545.685546875,5658.9345703125,71,lgp,mu+lambda,reward,halfcheetah,0,7100,6870.83251953125,6545.685546875,6541.0390625
72,72,-161.31385803222656,1971.226806640625,6816.42333984375,6594.49267578125,1687205856.0665743,0,427.8860778808594,6.1356587409973145,471.0957362651825,2645.815185546875,6734.41552734375,4194.724609375,72,lgp,mu+lambda,reward,halfcheetah,0,7200,6816.42333984375,6734.41552734375,6594.49267578125
73,73,-156.08738708496094,2158.99560546875,6875.29833984375,6606.3955078125,1687205862.2184114,0,630.3927001953125,6.135747909545898,477.2475733757019,2656.6533203125,6815.9609375,4901.71875,73,lgp,mu+lambda,reward,halfcheetah,0,7300,6875.29833984375,6815.9609375,6606.3955078125
74,74,-70.84541320800781,2318.18505859375,7078.0048828125,6671.0361328125,1687205868.3693407,0,1052.26953125,6.134023666381836,483.3985025882721,2642.81689453125,6705.27099609375,5606.79541015625,74,lgp,mu+lambda,reward,halfcheetah,0,7400,7078.0048828125,6705.27099609375,6671.0361328125
75,75,220.4885711669922,2041.5999755859375,6776.6796875,6639.12158203125,1687205874.521673,0,676.0541381835938,6.1345109939575195,489.5508348941803,2359.7021484375,6722.26953125,3975.443359375,75,lgp,mu+lambda,reward,halfcheetah,0,7500,6776.6796875,6722.26953125,6639.12158203125
76,76,377.3834533691406,2802.927490234375,6973.0498046875,6625.400390625,1687205880.6612184,0,2514.6201171875,6.121562480926514,495.6903803348541,2675.560302734375,6625.626953125,5820.2958984375,76,lgp,mu+lambda,reward,halfcheetah,0,7600,6973.0498046875,6625.626953125,6625.400390625
77,77,311.6687316894531,2568.0419921875,7119.3955078125,6897.28515625,1687205886.813856,0,1423.8348388671875,6.135169982910156,501.8430178165436,2710.115966796875,6923.455078125,5869.10986328125,77,lgp,mu+lambda,reward,halfcheetah,0,7700,7119.3955078125,6923.455078125,6897.28515625
78,78,35.02100372314453,2240.26708984375,6922.36572265625,6671.28515625,1687205892.9660609,0,822.5591430664062,6.134186744689941,507.99522280693054,2534.8837890625,6717.77001953125,4400.93603515625,78,lgp,mu+lambda,reward,halfcheetah,0,7800,6922.36572265625,6717.77001953125,6671.28515625
79,79,199.49818420410156,2193.577392578125,7040.76025390625,6807.54296875,1687205899.072292,0,662.3301391601562,6.088958263397217,514.1014540195465,2586.97802734375,6821.27490234375,4424.0595703125,79,lgp,mu+lambda,reward,halfcheetah,0,7900,7040.76025390625,6821.27490234375,6807.54296875
80,80,235.61192321777344,2522.41357421875,6764.99169921875,6716.55712890625,1687205905.2315803,0,893.1546020507812,6.139749050140381,520.2607421875,2635.994873046875,6744.30322265625,5444.7275390625,80,lgp,mu+lambda,reward,halfcheetah,0,8000,6764.99169921875,6744.30322265625,6716.55712890625
81,81,371.6183166503906,2703.97998046875,6999.69482421875,6836.2802734375,1687205911.4017026,0,2370.3037109375,6.150233268737793,526.430864572525,2648.79931640625,6876.8203125,5683.39599609375,81,lgp,mu+lambda,reward,halfcheetah,0,8100,6999.69482421875,6876.8203125,6836.2802734375
82,82,403.2892150878906,2438.923583984375,7054.2265625,6657.4130859375,1687205917.5720441,0,755.671630859375,6.150708198547363,532.6012060642242,2628.001220703125,6664.70849609375,5355.27783203125,82,lgp,mu+lambda,reward,halfcheetah,0,8200,7054.2265625,6664.70849609375,6657.4130859375
83,83,-131.17047119140625,2385.4462890625,6797.88525390625,6749.34130859375,1687205923.7419753,0,693.0787353515625,6.149697303771973,538.7711372375488,2795.232177734375,6774.8828125,5469.77001953125,83,lgp,mu+lambda,reward,halfcheetah,0,8300,6797.88525390625,6774.8828125,6749.34130859375
84,84,257.5325012207031,2227.253173828125,6795.814453125,6690.93701171875,1687205929.9131587,0,747.69140625,6.152379512786865,544.9423205852509,2490.8779296875,6698.1484375,3899.21728515625,84,lgp,mu+lambda,reward,halfcheetah,0,8400,6795.814453125,6698.1484375,6690.93701171875
85,85,-6.93199348449707,2294.36181640625,6933.47021484375,6693.18798828125,1687205936.0750968,0,779.4625854492188,6.133893966674805,551.1042587757111,2668.202880859375,6896.1611328125,5295.87548828125,85,lgp,mu+lambda,reward,halfcheetah,0,8500,6933.47021484375,6896.1611328125,6693.18798828125
86,86,9.027381896972656,1810.0537109375,6953.88330078125,6730.103515625,1687205942.2052004,0,519.9963989257812,6.096893310546875,557.2343623638153,2501.453857421875,6898.25537109375,3255.504638671875,86,lgp,mu+lambda,reward,halfcheetah,0,8600,6953.88330078125,6898.25537109375,6730.103515625
87,87,53.53923034667969,2287.764404296875,6767.26513671875,6728.41064453125,1687205948.3554997,0,685.5716552734375,6.118762969970703,563.3846616744995,2671.883544921875,6735.07568359375,5381.08447265625,87,lgp,mu+lambda,reward,halfcheetah,0,8700,6767.26513671875,6735.07568359375,6728.41064453125
88,88,13.4806489944458,2126.162353515625,6701.662109375,6631.5810546875,1687205954.5053692,0,570.2625732421875,6.117473125457764,569.5345311164856,2670.315185546875,6650.99755859375,4710.0673828125,88,lgp,mu+lambda,reward,halfcheetah,0,8800,6701.662109375,6650.99755859375,6631.5810546875
89,89,144.987548828125,2436.04736328125,6769.109375,6687.96044921875,1687205960.6598368,0,1355.623291015625,6.133979797363281,575.6889986991882,2584.41552734375,6729.541015625,4850.4970703125,89,lgp,mu+lambda,reward,halfcheetah,0,8900,6769.109375,6729.541015625,6687.96044921875
90,90,-64.18913269042969,2248.264404296875,6813.67724609375,6677.697265625,1687205966.772834,0,739.9132080078125,6.092860698699951,581.8019959926605,2680.4716796875,6725.14794921875,5549.8046875,90,lgp,mu+lambda,reward,halfcheetah,0,9000,6813.67724609375,6725.14794921875,6677.697265625
91,91,-64.01168823242188,2311.55859375,6859.87890625,6645.49072265625,1687205972.8811274,0,619.8161010742188,6.089766979217529,587.9102892875671,2717.081298828125,6705.03466796875,5352.6845703125,91,lgp,mu+lambda,reward,halfcheetah,0,9100,6859.87890625,6705.03466796875,6645.49072265625
92,92,291.20391845703125,2201.97265625,7082.09521484375,6848.697265625,1687205979.033362,0,685.032958984375,6.134263038635254,594.0625238418579,2571.578857421875,6888.19970703125,4454.27490234375,92,lgp,mu+lambda,reward,halfcheetah,0,9200,7082.09521484375,6888.19970703125,6848.697265625
93,93,250.35618591308594,2256.07861328125,6857.41748046875,6699.40771484375,1687205985.1338232,0,650.431396484375,6.0824127197265625,600.162985086441,2595.417236328125,6828.59375,5012.95703125,93,lgp,mu+lambda,reward,halfcheetah,0,9300,6857.41748046875,6828.59375,6699.40771484375
