,_step,training.fitness_1q,training.evaluation_time,training.top_k_fit.top_1_fit,training.run_id,training.generation,_timestamp,training.fitness_3q,training.fitness_mean,training.top_k_fit.top_0_fit,_runtime,training.fitness_std,training.fitness_median,training.top_k_fit.top_2_fit,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
33,33,1007.02294921875,1.4120005369186401,1013.2811279296875,3,33,1687171404.039477,48.595672607421875,380.5948486328125,1013.6258544921875,63.48247408866882,435.0428466796875,107.36126708984375,1012.569580078125,lgp,mu+lambda,reward,hopper,3,3300,1013.6258544921875,1013.2811279296875,1012.569580078125
34,34,1006.7542724609375,1.410845160484314,1011.5202026367188,3,34,1687171405.4720414,60.81120300292969,420.4878845214844,1011.6243286132812,64.91503834724426,433.958984375,121.5482177734375,1011.2847900390625,lgp,mu+lambda,reward,hopper,3,3400,1011.6243286132812,1011.5202026367188,1011.2847900390625
35,35,1007.8673095703125,1.4142740964889526,1013.5534057617188,3,35,1687171406.9062307,49.16704559326172,418.5045471191406,1016.0087280273438,66.34922766685486,441.5782775878906,138.54727172851562,1013.1564331054688,lgp,mu+lambda,reward,hopper,3,3500,1016.0087280273438,1013.5534057617188,1013.1564331054688
36,36,1006.67431640625,1.413406252861023,1017.3515014648438,3,36,1687171408.3384652,64.18307495117188,488.213623046875,1017.4046630859375,67.7814621925354,449.9415283203125,227.27630615234375,1017.24658203125,lgp,mu+lambda,reward,hopper,3,3600,1017.4046630859375,1017.3515014648438,1017.24658203125
37,37,1008.5468139648438,1.4141292572021484,1015.7584838867188,3,37,1687171409.771505,61.16635513305664,433.425537109375,1016.6096801757812,69.21450209617615,444.6244201660156,166.65728759765625,1014.935791015625,lgp,mu+lambda,reward,hopper,3,3700,1016.6096801757812,1015.7584838867188,1014.935791015625
38,38,1008.1350708007812,1.413596749305725,1017.75146484375,3,38,1687171411.2041678,59.47455596923828,413.01953125,1018.8822631835938,70.64716482162476,436.54638671875,118.21049499511719,1017.1489868164062,lgp,mu+lambda,reward,hopper,3,3800,1018.8822631835938,1017.75146484375,1017.1489868164062
39,39,1006.2392578125,1.4159252643585205,1017.2156982421875,3,39,1687171412.6389353,72.89178466796875,404.4134216308594,1019.0418701171875,72.08193230628967,417.18988037109375,188.57872009277344,1015.069091796875,lgp,mu+lambda,reward,hopper,3,3900,1019.0418701171875,1017.2156982421875,1015.069091796875
40,40,1007.6856689453125,1.4108459949493408,1014.7293701171875,3,40,1687171414.0692313,68.39366149902344,394.45648193359375,1015.8344116210938,73.51222825050354,427.4011535644531,137.74053955078125,1014.4898681640625,lgp,mu+lambda,reward,hopper,3,4000,1015.8344116210938,1014.7293701171875,1014.4898681640625
41,41,1007.882080078125,1.4137710332870483,1015.6181030273438,3,41,1687171415.5010035,57.942405700683594,415.8600769042969,1019.044677734375,74.9440004825592,425.2370910644531,178.83963012695312,1015.1782836914062,lgp,mu+lambda,reward,hopper,3,4100,1019.044677734375,1015.6181030273438,1015.1782836914062
42,42,1007.7411499023438,1.413184404373169,1016.527587890625,3,42,1687171416.9330816,57.898475646972656,372.9742431640625,1016.6033325195312,76.37607860565186,417.0130920410156,119.7348403930664,1013.9464111328125,lgp,mu+lambda,reward,hopper,3,4200,1016.6033325195312,1016.527587890625,1013.9464111328125
43,43,1009.887939453125,1.4145368337631226,1022.09716796875,3,43,1687171418.3658092,96.8770523071289,475.21929931640625,1025.5853271484375,77.80880618095398,425.1053771972656,256.97894287109375,1021.5338745117188,lgp,mu+lambda,reward,hopper,3,4300,1025.5853271484375,1022.09716796875,1021.5338745117188
44,44,1008.5596923828125,1.4147002696990967,1016.6392822265625,3,44,1687171419.7988288,62.82966232299805,424.75616455078125,1035.1629638671875,79.2418258190155,433.99530029296875,164.74871826171875,1015.2381591796875,lgp,mu+lambda,reward,hopper,3,4400,1035.1629638671875,1016.6392822265625,1015.2381591796875
45,45,1007.5950927734375,1.4136159420013428,1018.7142944335938,3,45,1687171421.231598,59.086971282958984,414.3397521972656,1047.151611328125,80.67459487915039,434.2291564941406,158.9942626953125,1018.14013671875,lgp,mu+lambda,reward,hopper,3,4500,1047.151611328125,1018.7142944335938,1018.14013671875
46,46,1007.4061889648438,1.414128303527832,1018.2613525390625,3,46,1687171422.6647065,58.901607513427734,422.92816162109375,1040.0611572265625,82.10770344734192,441.7408142089844,144.1761474609375,1017.567138671875,lgp,mu+lambda,reward,hopper,3,4600,1040.0611572265625,1018.2613525390625,1017.567138671875
47,47,1003.704833984375,1.4144246578216553,1022.54296875,3,47,1687171424.0987804,57.42755126953125,395.9947509765625,1049.436767578125,83.54177737236023,418.5794982910156,183.4005126953125,1019.2091674804688,lgp,mu+lambda,reward,hopper,3,4700,1049.436767578125,1022.54296875,1019.2091674804688
48,48,1008.30322265625,1.4136791229248047,1027.15576171875,3,48,1687171425.5311854,61.87744140625,462.8658752441406,1051.525146484375,84.97418236732483,444.243408203125,212.38330078125,1020.9611206054688,lgp,mu+lambda,reward,hopper,3,4800,1051.525146484375,1027.15576171875,1020.9611206054688
49,49,1007.1688232421875,1.4150010347366333,1024.123291015625,3,49,1687171426.96528,40.41845703125,374.5074157714844,1038.4462890625,86.40827703475952,439.0199890136719,79.47894287109375,1019.200439453125,lgp,mu+lambda,reward,hopper,3,4900,1038.4462890625,1024.123291015625,1019.200439453125
50,50,1006.4447021484375,1.4139207601547241,1028.878173828125,3,50,1687171428.3977413,63.28331756591797,-596.6210327148438,1045.6168212890625,87.84073829650879,9999.314453125,146.6273651123047,1017.944580078125,lgp,mu+lambda,reward,hopper,3,5000,1045.6168212890625,1028.878173828125,1017.944580078125
51,51,1000.0316162109375,1.4140777587890625,1037.9185791015625,3,51,1687171429.831001,37.4976806640625,426.08148193359375,1043.787841796875,89.27399802207947,440.3113708496094,169.25135803222656,1023.7135620117188,lgp,mu+lambda,reward,hopper,3,5100,1043.787841796875,1037.9185791015625,1023.7135620117188
52,52,1003.8523559570312,1.4591643810272217,1039.917236328125,3,52,1687171431.3104968,47.82971954345703,381.7986755371094,1045.2000732421875,90.75349378585815,434.5565490722656,129.18801879882812,1038.495361328125,lgp,mu+lambda,reward,hopper,3,5200,1045.2000732421875,1039.917236328125,1038.495361328125
53,53,1010.0527954101562,1.4465514421463013,1046.9593505859375,3,53,1687171432.775047,57.99690628051758,413.5299987792969,1048.68798828125,92.21804404258728,435.86083984375,131.80880737304688,1044.953857421875,lgp,mu+lambda,reward,hopper,3,5300,1048.68798828125,1046.9593505859375,1044.953857421875
54,54,1008.1207275390625,1.4356164932250977,1051.8359375,3,54,1687171434.226719,33.358394622802734,384.013427734375,1056.3619384765625,93.66971588134766,436.0509338378906,100.37445068359375,1045.7093505859375,lgp,mu+lambda,reward,hopper,3,5400,1056.3619384765625,1051.8359375,1045.7093505859375
55,55,1000.3916625976562,1.4284723997116089,1041.9454345703125,3,55,1687171435.6732068,52.37575912475586,414.624755859375,1042.5396728515625,95.11620378494263,435.80767822265625,157.99658203125,1041.3612060546875,lgp,mu+lambda,reward,hopper,3,5500,1042.5396728515625,1041.9454345703125,1041.3612060546875
56,56,1008.8341064453125,1.4270408153533936,1041.9686279296875,3,56,1687171437.1193066,67.65406799316406,456.2967834472656,1048.06689453125,96.56230354309082,448.8835754394531,180.60545349121094,1037.584716796875,lgp,mu+lambda,reward,hopper,3,5600,1048.06689453125,1041.9686279296875,1037.584716796875
57,57,998.741455078125,1.424629807472229,1046.9840087890625,3,57,1687171438.5620182,53.02107620239258,398.9794921875,1047.3861083984375,98.0050151348114,426.7903747558594,141.80726623535156,1045.2843017578125,lgp,mu+lambda,reward,hopper,3,5700,1047.3861083984375,1046.9840087890625,1045.2843017578125
58,58,1010.5240478515625,1.422844648361206,1047.64013671875,3,58,1687171440.004415,66.28128814697266,449.9079284667969,1051.829345703125,99.44741201400757,436.79229736328125,224.37380981445312,1044.1717529296875,lgp,mu+lambda,reward,hopper,3,5800,1051.829345703125,1047.64013671875,1044.1717529296875
59,59,1007.6905517578125,1.41885244846344,1056.246826171875,3,59,1687171441.4430773,60.231346130371094,408.5202331542969,1061.7879638671875,100.88607430458069,437.3905029296875,132.91162109375,1045.8951416015625,lgp,mu+lambda,reward,hopper,3,5900,1061.7879638671875,1056.246826171875,1045.8951416015625
60,60,1012.6644287109375,1.4185303449630737,1055.941650390625,3,60,1687171442.8799741,48.56187438964844,429.2571105957031,1056.8955078125,102.32297110557556,449.7427978515625,120.5277328491211,1048.4407958984375,lgp,mu+lambda,reward,hopper,3,6000,1056.8955078125,1055.941650390625,1048.4407958984375
61,61,1014.4217529296875,1.4191334247589111,1051.4141845703125,3,61,1687171444.3167112,59.45288848876953,427.0998229980469,1173.078125,103.75970816612244,447.6700134277344,138.53526306152344,1045.439453125,lgp,mu+lambda,reward,hopper,3,6100,1173.078125,1051.4141845703125,1045.439453125
62,62,993.7689208984375,1.4170271158218384,1155.56787109375,3,62,1687171445.751068,48.68376922607422,390.9485168457031,1176.367919921875,105.19406509399414,429.4188232421875,163.39808654785156,1064.8582763671875,lgp,mu+lambda,reward,hopper,3,6200,1176.367919921875,1155.56787109375,1064.8582763671875
63,63,1004.431640625,1.4195321798324585,1117.8851318359375,3,63,1687171447.188708,54.389442443847656,413.6024169921875,1123.9102783203125,106.63170504570007,435.186767578125,163.97789001464844,1089.62841796875,lgp,mu+lambda,reward,hopper,3,6300,1123.9102783203125,1117.8851318359375,1089.62841796875
64,64,989.015869140625,1.4205822944641113,1188.0924072265625,3,64,1687171448.625752,55.64155578613281,387.26983642578125,1206.51171875,108.06874895095825,428.1907653808594,145.9294891357422,1159.003173828125,lgp,mu+lambda,reward,hopper,3,6400,1206.51171875,1188.0924072265625,1159.003173828125
65,65,1004.269287109375,1.4206866025924683,1161.847412109375,3,65,1687171450.0641327,51.619911193847656,415.46575927734375,1177.216552734375,109.50712966918945,445.4148254394531,130.58615112304688,1155.6610107421875,lgp,mu+lambda,reward,hopper,3,6500,1177.216552734375,1161.847412109375,1155.6610107421875
66,66,923.8422241210938,1.4187253713607788,1146.915283203125,3,66,1687171451.5003116,39.31080627441406,359.0396423339844,1200.3450927734375,110.94330859184265,420.74560546875,157.5222930908203,1120.179443359375,lgp,mu+lambda,reward,hopper,3,6600,1200.3450927734375,1146.915283203125,1120.179443359375
67,67,1012.4779052734375,1.417493224143982,1192.2032470703125,3,67,1687171452.9350967,54.076873779296875,401.5090026855469,1209.524169921875,112.37809371948242,440.94635009765625,145.7715606689453,1175.0960693359375,lgp,mu+lambda,reward,hopper,3,6700,1209.524169921875,1192.2032470703125,1175.0960693359375
68,68,1003.771484375,1.4193767309188843,1177.573974609375,3,68,1687171454.3704915,59.191978454589844,458.0465393066406,1195.5108642578125,113.81348848342896,460.2815246582031,207.3843231201172,1173.924560546875,lgp,mu+lambda,reward,hopper,3,6800,1195.5108642578125,1177.573974609375,1173.924560546875
69,69,1002.1433715820312,1.4210731983184814,1173.27685546875,3,69,1687171455.807566,46.13813018798828,394.041015625,1190.2974853515625,115.25056290626526,447.7418212890625,115.57572174072266,1170.34765625,lgp,mu+lambda,reward,hopper,3,6900,1190.2974853515625,1173.27685546875,1170.34765625
70,70,1003.4464721679688,1.419068455696106,1197.9639892578125,3,70,1687171457.2431605,34.44044494628906,394.51123046875,1198.079833984375,116.68615746498108,461.2976989746094,113.4386215209961,1187.60595703125,lgp,mu+lambda,reward,hopper,3,7000,1198.079833984375,1197.9639892578125,1187.60595703125
71,71,995.9984130859375,1.419889211654663,1176.7967529296875,3,71,1687171458.6791267,57.22349166870117,408.10577392578125,1183.2022705078125,118.12212371826172,446.9961853027344,132.01345825195312,1164.177490234375,lgp,mu+lambda,reward,hopper,3,7100,1183.2022705078125,1176.7967529296875,1164.177490234375
72,72,994.89990234375,1.418684720993042,1169.5919189453125,3,72,1687171460.1140337,42.44055938720703,396.5777282714844,1189.5335693359375,119.55703067779541,428.4822692871094,210.4314727783203,1168.8836669921875,lgp,mu+lambda,reward,hopper,3,7200,1189.5335693359375,1169.5919189453125,1168.8836669921875
73,73,1013.4725341796875,1.4213978052139282,1184.643310546875,3,73,1687171461.5511749,62.090946197509766,429.26190185546875,1191.125732421875,120.99417185783386,463.20196533203125,141.31979370117188,1167.8582763671875,lgp,mu+lambda,reward,hopper,3,7300,1191.125732421875,1184.643310546875,1167.8582763671875
74,74,1034.032470703125,1.4199916124343872,1177.6087646484375,3,74,1687171462.9873629,48.67136001586914,414.4400634765625,1193.2960205078125,122.43035984039307,465.07061767578125,122.43949127197266,1175.200439453125,lgp,mu+lambda,reward,hopper,3,7400,1193.2960205078125,1177.6087646484375,1175.200439453125
75,75,1001.4481811523438,1.4219533205032349,1193.4981689453125,3,75,1687171464.4247603,41.76561737060547,421.8930358886719,1195.9339599609375,123.86775732040405,457.2735290527344,128.5915069580078,1189.6832275390625,lgp,mu+lambda,reward,hopper,3,7500,1195.9339599609375,1193.4981689453125,1189.6832275390625
76,76,1001.2332153320312,1.4195678234100342,1177.5618896484375,3,76,1687171465.8601243,35.786102294921875,392.9508056640625,1196.0206298828125,125.30312132835388,467.2782897949219,101.73860931396484,1174.1280517578125,lgp,mu+lambda,reward,hopper,3,7600,1196.0206298828125,1177.5618896484375,1174.1280517578125
77,77,1036.129638671875,1.4218289852142334,1180.863037109375,3,77,1687171467.2983446,39.44423294067383,442.0456848144531,1218.5850830078125,126.74134159088135,480.1270751953125,153.30873107910156,1177.1253662109375,lgp,mu+lambda,reward,hopper,3,7700,1218.5850830078125,1180.863037109375,1177.1253662109375
78,78,1003.9819946289062,1.4195966720581055,1196.9862060546875,3,78,1687171468.7343075,48.81614685058594,418.9515380859375,1199.267822265625,128.17730450630188,468.2329406738281,132.36090087890625,1183.7642822265625,lgp,mu+lambda,reward,hopper,3,7800,1199.267822265625,1196.9862060546875,1183.7642822265625
79,79,569.1407470703125,1.4220994710922241,1200.1275634765625,3,79,1687171470.172732,45.42892074584961,359.5627136230469,1200.2059326171875,129.61572909355164,452.9085388183594,114.47651672363281,1194.0906982421875,lgp,mu+lambda,reward,hopper,3,7900,1200.2059326171875,1200.1275634765625,1194.0906982421875
80,80,993.3225708007812,1.4198920726776123,1187.2529296875,3,80,1687171471.6084695,28.65363883972168,364.0092468261719,1210.15673828125,131.05146646499634,465.4314880371094,84.73776245117188,1178.758056640625,lgp,mu+lambda,reward,hopper,3,8000,1210.15673828125,1187.2529296875,1178.758056640625
81,81,1005.5279541015625,1.4211210012435913,1201.5123291015625,3,81,1687171473.0458848,73.59178161621094,485.5891418457031,1205.46728515625,132.48888182640076,469.73284912109375,249.68975830078125,1199.9984130859375,lgp,mu+lambda,reward,hopper,3,8100,1205.46728515625,1201.5123291015625,1199.9984130859375
82,82,1038.1151123046875,1.4203846454620361,1186.812255859375,3,82,1687171474.482261,73.97296142578125,466.59625244140625,1713.34619140625,133.92525792121887,490.0118408203125,190.29078674316406,1186.4652099609375,lgp,mu+lambda,reward,hopper,3,8200,1713.34619140625,1186.812255859375,1186.4652099609375
83,83,1062.1602783203125,1.4216735363006592,1204.052734375,3,83,1687171475.9199886,68.80242919921875,455.8982849121094,1720.140380859375,135.3629856109619,501.5826721191406,139.9951934814453,1201.9957275390625,lgp,mu+lambda,reward,hopper,3,8300,1720.140380859375,1204.052734375,1201.9957275390625
84,84,1000.676513671875,1.419783592224121,1183.115966796875,3,84,1687171477.3553967,63.311241149902344,427.1162109375,1212.45458984375,136.79839372634888,464.766357421875,161.59707641601562,1181.962158203125,lgp,mu+lambda,reward,hopper,3,8400,1212.45458984375,1183.115966796875,1181.962158203125
85,85,1007.6699829101562,1.4221731424331665,1189.289306640625,3,85,1687171478.792471,36.13385009765625,461.5392150878906,1474.5732421875,138.2354679107666,495.37945556640625,157.3492431640625,1186.856689453125,lgp,mu+lambda,reward,hopper,3,8500,1474.5732421875,1189.289306640625,1186.856689453125
86,86,1031.27197265625,1.4206360578536987,1204.3917236328125,3,86,1687171480.228223,55.31721496582031,459.04998779296875,1670.9454345703125,139.6712200641632,492.1954345703125,170.24415588378906,1197.4490966796875,lgp,mu+lambda,reward,hopper,3,8600,1670.9454345703125,1204.3917236328125,1197.4490966796875
87,87,1004.5296020507812,1.421273946762085,1199.4012451171875,3,87,1687171481.6646042,37.22916793823242,428.541015625,1540.55029296875,141.10760116577148,491.4422912597656,136.2352294921875,1182.7662353515625,lgp,mu+lambda,reward,hopper,3,8700,1540.55029296875,1199.4012451171875,1182.7662353515625
88,88,999.8934936523438,1.4214195013046265,1195.1612548828125,3,88,1687171483.1001744,48.11658477783203,410.6993713378906,1414.4888916015625,142.54317140579224,469.1119384765625,113.47277069091797,1192.1024169921875,lgp,mu+lambda,reward,hopper,3,8800,1414.4888916015625,1195.1612548828125,1192.1024169921875
89,89,989.402587890625,1.4206470251083374,1196.2470703125,3,89,1687171484.5366485,42.49393081665039,401.93359375,1711.516845703125,143.97964549064636,475.6347961425781,145.20953369140625,1185.5977783203125,lgp,mu+lambda,reward,hopper,3,8900,1711.516845703125,1196.2470703125,1185.5977783203125
90,90,993.5525512695312,1.420231580734253,1202.1907958984375,3,90,1687171485.9733112,59.54189682006836,401.0401611328125,1622.998779296875,145.41630816459656,466.21044921875,116.64675903320312,1190.195068359375,lgp,mu+lambda,reward,hopper,3,9000,1622.998779296875,1202.1907958984375,1190.195068359375
91,91,1001.6734619140625,1.4207348823547363,1207.5028076171875,3,91,1687171487.4104574,71.04373931884766,441.40960693359375,1343.50341796875,146.85345435142517,460.0577697753906,224.18051147460938,1186.6470947265625,lgp,mu+lambda,reward,hopper,3,9100,1343.50341796875,1207.5028076171875,1186.6470947265625
