,_step,training.run_id,training.fitness_3q,training.generation,training.fitness_mean,training.evaluation_time,training.fitness_1q,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,training.top_k_fit.top_1_fit,_runtime,_timestamp,training.fitness_std,training.fitness_median,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
18,18,0,47.01707458496094,18,438.6224060058594,2.0252695083618164,1002.3043823242188,1019.95263671875,1017.811767578125,1018.1242065429688,53.139644384384155,1686917209.7519674,450.86669921875,135.91714477539062,cgp,mu+lambda,hopper,5,1800,1019.95263671875,1018.1242065429688,1017.811767578125
19,19,0,52.338348388671875,19,423.51025390625,2.0199532508850098,997.5333251953125,1025.907958984375,1010.2291259765625,1011.2261352539062,55.17528033256531,1686917211.7876034,434.87359619140625,142.5289764404297,cgp,mu+lambda,hopper,5,1900,1025.907958984375,1011.2261352539062,1010.2291259765625
20,20,0,64.71448516845703,20,482.35089111328125,2.0201358795166016,1004.3338012695312,1021.9917602539062,1016.4336547851562,1019.8482055664062,57.21133065223694,1686917213.8236537,453.4956359863281,169.30908203125,cgp,mu+lambda,hopper,5,2000,1021.9917602539062,1019.8482055664062,1016.4336547851562
21,21,0,76.26183319091797,21,463.3562316894531,2.020416021347046,1003.1580810546875,1024.9638671875,1016.9786987304688,1019.0279541015625,59.24857187271118,1686917215.860895,449.41876220703125,150.81854248046875,cgp,mu+lambda,hopper,5,2100,1024.9638671875,1019.0279541015625,1016.9786987304688
22,22,0,70.15580749511719,22,553.0464477539062,2.125514030456543,1007.8267211914062,1025.801513671875,1016.7841186523438,1022.2569580078125,61.38982534408569,1686917218.0021484,453.9778747558594,562.0239868164062,cgp,mu+lambda,hopper,5,2200,1025.801513671875,1022.2569580078125,1016.7841186523438
23,23,0,76.28187561035156,23,539.3471069335938,2.091362714767456,1007.7069091796875,1025.25390625,1021.2925415039062,1021.5087890625,63.49692511558533,1686917220.1092482,450.2823486328125,431.47406005859375,cgp,mu+lambda,hopper,5,2300,1025.25390625,1021.5087890625,1021.2925415039062
24,24,0,51.339839935302734,24,504.99755859375,2.064042806625366,1009.336181640625,1023.1593627929688,1022.974853515625,1023.0812377929688,65.57648253440857,1686917222.1888056,466.18548583984375,246.4272003173828,cgp,mu+lambda,hopper,5,2400,1023.1593627929688,1023.0812377929688,1022.974853515625
25,25,0,56.98072052001953,25,-548.47900390625,2.0607314109802246,1005.6519165039062,1023.3626708984375,1022.2312622070312,1023.1443481445312,67.65276861190796,1686917224.2650917,10005.4013671875,143.7698516845703,cgp,mu+lambda,hopper,5,2500,1023.3626708984375,1023.1443481445312,1022.2312622070312
26,26,0,63.2449836730957,26,571.564453125,2.050372838973999,1016.2778930664062,1025.181396484375,1024.361328125,1024.973876953125,69.71862649917603,1686917226.3309495,464.9783020019531,950.4853515625,cgp,mu+lambda,hopper,5,2600,1025.181396484375,1024.973876953125,1024.361328125
27,27,0,75.62652587890625,27,503.45013427734375,2.0506973266601562,1017.6239013671875,1024.1246337890625,1022.3370971679688,1023.8658447265625,71.78454208374023,1686917228.3968651,451.8612976074219,223.19375610351562,cgp,mu+lambda,hopper,5,2700,1024.1246337890625,1023.8658447265625,1022.3370971679688
28,28,0,69.7411880493164,28,474.73956298828125,2.0504229068756104,1010.116455078125,1024.289794921875,1021.7239990234375,1022.8638305664062,73.8508472442627,1686917230.4631703,449.7271728515625,185.16439819335938,cgp,mu+lambda,hopper,5,2800,1024.289794921875,1022.8638305664062,1021.7239990234375
29,29,0,71.5271987915039,29,428.8123779296875,2.0543856620788574,1013.954345703125,1024.1724853515625,1023.7158813476562,1024.1151123046875,75.91972231864929,1686917232.5320454,436.9775085449219,147.44180297851562,cgp,mu+lambda,hopper,5,2900,1024.1724853515625,1024.1151123046875,1023.7158813476562
30,30,0,73.89974212646484,30,508.30999755859375,2.0488014221191406,1015.453857421875,1024.7261962890625,1024.390869140625,1024.4736328125,77.98203659057617,1686917234.5943596,446.7970886230469,261.638427734375,cgp,mu+lambda,hopper,5,3000,1024.7261962890625,1024.4736328125,1024.390869140625
31,31,0,57.84407043457031,31,-518.9734497070312,2.0478734970092773,1011.304931640625,1025.6243896484375,1023.4204711914062,1025.3922119140625,80.0449571609497,1686917236.6572802,10008.373046875,221.8160400390625,cgp,mu+lambda,hopper,5,3100,1025.6243896484375,1025.3922119140625,1023.4204711914062
32,32,0,68.79510498046875,32,503.0872497558594,2.04360294342041,1013.73828125,1022.4435424804688,1022.2252807617188,1022.4205322265625,82.1036446094513,1686917238.7159677,457.7486877441406,277.33917236328125,cgp,mu+lambda,hopper,5,3200,1022.4435424804688,1022.4205322265625,1022.2252807617188
33,33,0,55.69325256347656,33,-1514.8515625,2.0461013317108154,1012.2637939453125,1025.163818359375,1025.0115966796875,1025.1060791015625,84.16487216949463,1686917240.7771952,14076.6640625,258.1728820800781,cgp,mu+lambda,hopper,5,3300,1025.163818359375,1025.1060791015625,1025.0115966796875
34,34,0,62.905067443847656,34,-494.107421875,2.043673276901245,1014.4630126953125,1025.1083984375,1022.8670043945312,1023.5836791992188,86.22302007675171,1686917242.8353431,10011.2490234375,232.68658447265625,cgp,mu+lambda,hopper,5,3400,1025.1083984375,1023.5836791992188,1022.8670043945312
35,35,0,60.49524688720703,35,450.9331970214844,2.042229175567627,1001.078857421875,1024.03515625,1022.945068359375,1023.9779663085938,88.27975344657898,1686917244.8920765,438.45281982421875,171.79104614257812,cgp,mu+lambda,hopper,5,3500,1024.03515625,1023.9779663085938,1022.945068359375
36,36,0,52.18565368652344,36,-541.948486328125,2.043250560760498,1012.22314453125,1023.8014526367188,1023.3526000976562,1023.5913696289062,90.33837103843689,1686917246.950694,10006.052734375,173.9304656982422,cgp,mu+lambda,hopper,5,3600,1023.8014526367188,1023.5913696289062,1023.3526000976562
37,37,0,80.32044219970703,37,-479.284912109375,2.0518858432769775,1015.388671875,1023.9356079101562,1023.1871337890625,1023.3029174804688,92.40448141098022,1686917249.0168045,10012.248046875,229.35733032226562,cgp,mu+lambda,hopper,5,3700,1023.9356079101562,1023.3029174804688,1023.1871337890625
38,38,0,66.18389129638672,38,462.4903869628906,2.045839548110962,1015.940185546875,1025.0074462890625,1024.4058837890625,1024.97412109375,94.46535086631775,1686917251.077674,457.9349670410156,152.99005126953125,cgp,mu+lambda,hopper,5,3800,1025.0074462890625,1024.97412109375,1024.4058837890625
39,39,0,54.31031799316406,39,-565.4398193359375,2.0472943782806396,1015.2958984375,1025.5078125,1024.815673828125,1024.87451171875,96.52786183357239,1686917253.1401849,10004.2197265625,102.18675231933594,cgp,mu+lambda,hopper,5,3900,1025.5078125,1024.87451171875,1024.815673828125
40,40,0,58.2486686706543,40,434.95947265625,2.0406789779663086,1013.9989013671875,1023.1429443359375,1022.1588745117188,1022.2543334960938,98.58354711532593,1686917255.1958702,456.6176452636719,112.74098205566406,cgp,mu+lambda,hopper,5,4000,1023.1429443359375,1022.2543334960938,1022.1588745117188
41,41,0,55.893272399902344,41,428.5887451171875,2.0470738410949707,1014.9021606445312,1025.1932373046875,1024.3062744140625,1025.093994140625,100.6458728313446,1686917257.2581959,453.00457763671875,109.50643920898438,cgp,mu+lambda,hopper,5,4100,1025.1932373046875,1025.093994140625,1024.3062744140625
42,42,0,88.42054748535156,42,498.4339294433594,2.0968680381774902,1014.3428344726562,1024.871826171875,1023.777099609375,1024.3165283203125,102.76327395439148,1686917259.375597,446.44537353515625,241.86618041992188,cgp,mu+lambda,hopper,5,4200,1024.871826171875,1024.3165283203125,1023.777099609375
43,43,0,61.53173065185547,43,483.821044921875,2.057687520980835,1014.5588989257812,1025.7991943359375,1022.4479370117188,1024.8173828125,104.8408317565918,1686917261.4531548,461.1004333496094,144.2915802001953,cgp,mu+lambda,hopper,5,4300,1025.7991943359375,1024.8173828125,1022.4479370117188
44,44,0,67.27101135253906,44,-496.97857666015625,2.04550838470459,1016.30908203125,1024.886474609375,1023.6370849609375,1024.780517578125,106.90655326843262,1686917263.5188763,10010.951171875,230.8524169921875,cgp,mu+lambda,hopper,5,4400,1024.886474609375,1024.780517578125,1023.6370849609375
45,45,0,66.81671142578125,45,496.89581298828125,2.0436177253723145,1015.0009155273438,1023.4390869140625,1022.4905395507812,1023.1063232421875,108.96995878219604,1686917265.5822818,460.138916015625,201.30661010742188,cgp,mu+lambda,hopper,5,4500,1023.4390869140625,1023.1063232421875,1022.4905395507812
46,46,0,57.51447677612305,46,473.6900634765625,2.044358015060425,1014.01025390625,1023.6063842773438,1023.258056640625,1023.295166015625,111.03441667556763,1686917267.6467397,455.5185546875,186.73971557617188,cgp,mu+lambda,hopper,5,4600,1023.6063842773438,1023.295166015625,1023.258056640625
47,47,0,78.19853210449219,47,498.9300537109375,2.0408339500427246,1015.1881103515625,1025.5008544921875,1024.3592529296875,1025.272216796875,113.09542727470398,1686917269.7077503,444.9425354003906,260.5611267089844,cgp,mu+lambda,hopper,5,4700,1025.5008544921875,1025.272216796875,1024.3592529296875
48,48,0,51.287986755371094,48,446.13018798828125,2.0413854122161865,1010.38623046875,1024.1256103515625,1022.4920043945312,1022.5556030273438,115.15728378295898,1686917271.7696068,445.25,197.40350341796875,cgp,mu+lambda,hopper,5,4800,1024.1256103515625,1022.5556030273438,1022.4920043945312
49,49,0,66.3798828125,49,508.71734619140625,2.0338587760925293,1015.9033203125,1024.864013671875,1023.5827026367188,1024.04150390625,117.21122121810913,1686917273.8235443,452.7066955566406,259.76068115234375,cgp,mu+lambda,hopper,5,4900,1024.864013671875,1024.04150390625,1023.5827026367188
50,50,0,49.17212677001953,50,516.1572265625,2.0407521724700928,1011.7123413085938,1024.5084228515625,1022.7910766601562,1024.157470703125,119.2718915939331,1686917275.8842146,476.5152893066406,334.66644287109375,cgp,mu+lambda,hopper,5,5000,1024.5084228515625,1024.157470703125,1022.7910766601562
51,51,0,56.67833709716797,51,471.1932373046875,2.0433480739593506,1010.5670166015625,1026.0186767578125,1023.7083129882812,1025.5595703125,121.33384442329407,1686917277.9461675,453.808837890625,191.5854949951172,cgp,mu+lambda,hopper,5,5100,1026.0186767578125,1025.5595703125,1023.7083129882812
52,52,0,73.27619171142578,52,545.828369140625,2.0387396812438965,1008.4658203125,1025.2537841796875,1023.544189453125,1024.25537109375,123.387690782547,1686917280.0000138,459.07000732421875,498.0665588378906,cgp,mu+lambda,hopper,5,5200,1025.2537841796875,1024.25537109375,1023.544189453125
53,53,0,53.6961555480957,53,437.5276794433594,2.038365125656128,1000.34228515625,1024.806640625,1020.9244384765625,1024.6712646484375,125.44191789627075,1686917282.054241,449.59326171875,170.38099670410156,cgp,mu+lambda,hopper,5,5300,1024.806640625,1024.6712646484375,1020.9244384765625
54,54,0,67.68782043457031,54,480.7126770019531,2.0427894592285156,1001.2574462890625,1024.71142578125,1022.1019287109375,1022.9854736328125,127.50062870979309,1686917284.1129518,449.43707275390625,211.6599578857422,cgp,mu+lambda,hopper,5,5400,1024.71142578125,1022.9854736328125,1022.1019287109375
55,55,0,52.482933044433594,55,479.6207275390625,2.038520336151123,1012.2032470703125,1022.6785278320312,1022.0828857421875,1022.3253784179688,129.55496907234192,1686917286.167292,459.6191711425781,197.5774688720703,cgp,mu+lambda,hopper,5,5500,1022.6785278320312,1022.3253784179688,1022.0828857421875
56,56,0,54.29993438720703,56,452.70025634765625,2.040994882583618,1004.4219360351562,1023.2904052734375,1021.268310546875,1022.3112182617188,131.61134147644043,1686917288.2236645,463.2616882324219,122.74674987792969,cgp,mu+lambda,hopper,5,5600,1023.2904052734375,1022.3112182617188,1021.268310546875
57,57,0,66.11557006835938,57,497.53570556640625,2.0427658557891846,1012.636962890625,1024.3497314453125,1022.226318359375,1023.8746337890625,133.67197036743164,1686917290.2842934,459.6579895019531,203.2082977294922,cgp,mu+lambda,hopper,5,5700,1024.3497314453125,1023.8746337890625,1022.226318359375
58,58,0,95.66531372070312,58,617.1265869140625,2.040323257446289,1014.2321166992188,1024.4793701171875,1023.6456909179688,1023.6800537109375,135.72866582870483,1686917292.3409889,443.3915100097656,992.7982177734375,cgp,mu+lambda,hopper,5,5800,1024.4793701171875,1023.6800537109375,1023.6456909179688
59,59,0,75.31257629394531,59,561.6582641601562,2.0436341762542725,1015.088134765625,1025.16162109375,1023.5132446289062,1024.13232421875,137.7869577407837,1686917294.3992808,460.19293212890625,904.4869384765625,cgp,mu+lambda,hopper,5,5900,1025.16162109375,1024.13232421875,1023.5132446289062
60,60,0,59.82719421386719,60,-2543.153076171875,2.038612127304077,1015.5613403320312,1024.12451171875,1022.9608764648438,1023.6475830078125,139.84097456932068,1686917296.4532976,17145.240234375,113.54849243164062,cgp,mu+lambda,hopper,5,6000,1024.12451171875,1023.6475830078125,1022.9608764648438
61,61,0,59.807159423828125,61,462.3796081542969,2.039125919342041,1015.184814453125,1025.5452880859375,1024.2269287109375,1024.975830078125,141.89465022087097,1686917298.5069733,455.10528564453125,130.49649047851562,cgp,mu+lambda,hopper,5,6100,1025.5452880859375,1024.975830078125,1024.2269287109375
62,62,0,69.4512710571289,62,525.2543334960938,2.050154447555542,1016.2247314453125,1025.2318115234375,1023.4799194335938,1024.3114013671875,143.96011590957642,1686917300.572439,454.97509765625,293.7083740234375,cgp,mu+lambda,hopper,5,6200,1025.2318115234375,1024.3114013671875,1023.4799194335938
63,63,0,62.173545837402344,63,474.7842102050781,2.0465610027313232,1015.8394775390625,1026.1192626953125,1022.24658203125,1022.54248046875,146.02340817451477,1686917302.6357312,458.2224426269531,127.60971069335938,cgp,mu+lambda,hopper,5,6300,1026.1192626953125,1022.54248046875,1022.24658203125
64,64,0,61.45687484741211,64,547.9987182617188,2.0429553985595703,1016.4342651367188,1024.7188720703125,1023.6954956054688,1024.281982421875,148.0814175605774,1686917304.6937406,471.18084716796875,883.9639892578125,cgp,mu+lambda,hopper,5,6400,1024.7188720703125,1024.281982421875,1023.6954956054688
65,65,0,60.084903717041016,65,-537.9815673828125,2.0424466133117676,1011.6680908203125,1024.7769775390625,1023.914306640625,1024.646240234375,150.13931488990784,1686917306.751638,10006.9423828125,130.42935180664062,cgp,mu+lambda,hopper,5,6500,1024.7769775390625,1024.646240234375,1023.914306640625
66,66,0,55.762542724609375,66,429.8500671386719,2.0490965843200684,1009.991455078125,1024.6802978515625,1024.3302001953125,1024.640625,152.20399451255798,1686917308.8163176,453.7573547363281,116.86885070800781,cgp,mu+lambda,hopper,5,6600,1024.6802978515625,1024.640625,1024.3302001953125
67,67,0,65.16545104980469,67,485.9048767089844,2.051691770553589,1015.40234375,1025.0797119140625,1024.642822265625,1024.6761474609375,154.27069067955017,1686917310.8830137,455.05841064453125,246.90586853027344,cgp,mu+lambda,hopper,5,6700,1025.0797119140625,1024.6761474609375,1024.642822265625
68,68,0,63.03593444824219,68,-1497.34326171875,2.0424046516418457,1015.8283081054688,1024.4375,1022.5543212890625,1024.3338623046875,156.3291118144989,1686917312.9414349,14078.9765625,246.47988891601562,cgp,mu+lambda,hopper,5,6800,1024.4375,1024.3338623046875,1022.5543212890625
69,69,0,70.51116943359375,69,-457.0218505859375,2.0388283729553223,1017.0118408203125,1025.9710693359375,1023.8564453125,1025.8182373046875,158.38346099853516,1686917314.995784,10014.876953125,462.4743957519531,cgp,mu+lambda,hopper,5,6900,1025.9710693359375,1025.8182373046875,1023.8564453125
70,70,0,75.55522155761719,70,-2455.00537109375,2.0406553745269775,1014.8361206054688,1024.7498779296875,1023.7963256835938,1024.05517578125,160.43784189224243,1686917317.050165,17160.376953125,315.0472412109375,cgp,mu+lambda,hopper,5,7000,1024.7498779296875,1024.05517578125,1023.7963256835938
71,71,0,61.33623504638672,71,-1507.1826171875,2.039991855621338,1017.2279052734375,1024.0267333984375,1023.180908203125,1023.5201416015625,162.49377822875977,1686917319.1061013,14078.0419921875,190.72903442382812,cgp,mu+lambda,hopper,5,7100,1024.0267333984375,1023.5201416015625,1023.180908203125
72,72,0,68.52517700195312,72,-564.2576293945312,2.04042649269104,1010.528076171875,1023.5241088867188,1021.8583374023438,1022.3968505859375,164.54840803146362,1686917321.160731,10003.365234375,130.00344848632812,cgp,mu+lambda,hopper,5,7200,1023.5241088867188,1022.3968505859375,1021.8583374023438
73,73,0,45.511924743652344,73,-4465.916015625,2.03873348236084,1014.7682495117188,1023.7547607421875,1022.3760375976562,1022.692138671875,166.6016800403595,1686917323.214003,21921.77734375,354.81817626953125,cgp,mu+lambda,hopper,5,7300,1023.7547607421875,1022.692138671875,1022.3760375976562
74,74,0,39.19806671142578,74,-558.4857177734375,2.039764165878296,1013.7551879882812,1025.841796875,1024.615234375,1024.765625,168.6555302143097,1686917325.2678533,10004.841796875,114.27534484863281,cgp,mu+lambda,hopper,5,7400,1025.841796875,1024.765625,1024.615234375
75,75,0,72.91191864013672,75,-3451.42529296875,2.049593210220337,1018.4967041015625,1025.415283203125,1023.5232543945312,1023.7463989257812,170.71944093704224,1686917327.331764,19712.90625,525.8887329101562,cgp,mu+lambda,hopper,5,7500,1025.415283203125,1023.7463989257812,1023.5232543945312
76,76,0,56.28457260131836,76,-1457.0875244140625,2.044126272201538,1015.8018188476562,1025.0458984375,1024.4267578125,1024.9027099609375,172.77825284004211,1686917329.390576,14085.2919921875,660.2731323242188,cgp,mu+lambda,hopper,5,7600,1025.0458984375,1024.9027099609375,1024.4267578125
77,77,0,66.71316528320312,77,536.487548828125,2.0454277992248535,1014.8995361328125,1023.1871948242188,1022.2094116210938,1023.1588134765625,174.8387725353241,1686917331.4510956,460.597900390625,280.2281494140625,cgp,mu+lambda,hopper,5,7700,1023.1871948242188,1023.1588134765625,1022.2094116210938
78,78,0,50.91718673706055,78,-527.6167602539062,2.044802188873291,1010.62548828125,1024.9796142578125,1023.5617065429688,1024.384765625,176.89733910560608,1686917333.5096622,10007.552734375,183.92941284179688,cgp,mu+lambda,hopper,5,7800,1024.9796142578125,1024.384765625,1023.5617065429688
79,79,0,63.98495864868164,79,519.2957153320312,2.047271251678467,1013.2305908203125,1025.4891357421875,1024.0802001953125,1025.1134033203125,178.95847296714783,1686917335.570796,454.4096374511719,363.66619873046875,cgp,mu+lambda,hopper,5,7900,1025.4891357421875,1025.1134033203125,1024.0802001953125
80,80,0,65.73477172851562,80,-478.8185119628906,2.050955295562744,1015.1741943359375,1023.7596435546875,1023.4105834960938,1023.71142578125,181.02419638633728,1686917337.6365194,10012.7939453125,250.7486572265625,cgp,mu+lambda,hopper,5,8000,1023.7596435546875,1023.71142578125,1023.4105834960938
81,81,0,50.23966979980469,81,-5495.361328125,2.0560426712036133,1016.1159057617188,1023.2378540039062,1022.1493530273438,1022.4814453125,183.0932960510254,1686917339.705619,23880.38671875,226.7325897216797,cgp,mu+lambda,hopper,5,8100,1023.2378540039062,1022.4814453125,1022.1493530273438
82,82,0,73.17940521240234,82,581.0960693359375,2.054856538772583,1016.9091796875,1024.4609375,1023.2026977539062,1023.91552734375,185.16240644454956,1686917341.7747295,462.3759460449219,988.4017333984375,cgp,mu+lambda,hopper,5,8200,1024.4609375,1023.91552734375,1023.2026977539062
83,83,0,59.592403411865234,83,-463.2687072753906,2.0460622310638428,1016.42138671875,1023.8192749023438,1023.2769775390625,1023.7055053710938,187.22272419929504,1686917343.8350472,10014.2626953125,555.4801025390625,cgp,mu+lambda,hopper,5,8300,1023.8192749023438,1023.7055053710938,1023.2769775390625
84,84,0,87.05785369873047,84,567.1921997070312,2.048539638519287,1017.4649658203125,1023.8163452148438,1023.4117431640625,1023.5579833984375,189.28530263900757,1686917345.8976257,455.3128356933594,843.7282104492188,cgp,mu+lambda,hopper,5,8400,1023.8163452148438,1023.5579833984375,1023.4117431640625
85,85,0,59.14991760253906,85,-1555.4443359375,2.0455830097198486,1014.253173828125,1024.9530029296875,1023.6820678710938,1023.8634033203125,191.34542679786682,1686917347.9577498,14070.4775390625,160.77557373046875,cgp,mu+lambda,hopper,5,8500,1024.9530029296875,1023.8634033203125,1023.6820678710938
86,86,0,59.935935974121094,86,482.66326904296875,2.1261889934539795,1016.906494140625,1026.0562744140625,1024.9962158203125,1025.0601806640625,193.49069499969482,1686917350.103018,452.00830078125,221.9222412109375,cgp,mu+lambda,hopper,5,8600,1026.0562744140625,1025.0601806640625,1024.9962158203125
87,87,0,94.27978515625,87,-443.4076843261719,2.0771799087524414,1014.4151611328125,1025.02783203125,1024.153564453125,1024.6368408203125,195.5832269191742,1686917352.19555,10015.4443359375,357.413818359375,cgp,mu+lambda,hopper,5,8700,1025.02783203125,1024.6368408203125,1024.153564453125
88,88,0,54.52239990234375,88,-521.4136352539062,2.0554933547973633,1016.864501953125,1027.3857421875,1024.60009765625,1024.73779296875,197.6517744064331,1686917354.2640975,10008.373046875,209.36563110351562,cgp,mu+lambda,hopper,5,8800,1027.3857421875,1024.73779296875,1024.60009765625
89,89,0,61.730567932128906,89,-1482.6400146484375,2.051931858062744,1015.994873046875,1038.6702880859375,1024.0521240234375,1024.8585205078125,199.71766996383667,1686917356.329993,14081.5439453125,238.94766235351562,cgp,mu+lambda,hopper,5,8900,1038.6702880859375,1024.8585205078125,1024.0521240234375
90,90,0,52.93280029296875,90,-1463.520263671875,2.0282890796661377,1018.6943359375,1043.986083984375,1039.936767578125,1043.031982421875,201.76047372817993,1686917358.3727968,14083.9736328125,356.65142822265625,cgp,mu+lambda,hopper,5,9000,1043.986083984375,1043.031982421875,1039.936767578125
91,91,0,65.36807250976562,91,583.2453002929688,2.0960516929626465,1018.5111694335938,1045.3778076171875,1038.494384765625,1039.4002685546875,203.87218046188354,1686917360.4845035,452.14404296875,905.29638671875,cgp,mu+lambda,hopper,5,9100,1045.3778076171875,1039.4002685546875,1038.494384765625
92,92,0,55.21910095214844,92,-441.3444519042969,2.0105342864990234,1028.119873046875,1047.1268310546875,1041.776123046875,1042.7952880859375,205.8975110054016,1686917362.509834,10017.029296875,882.0203857421875,cgp,mu+lambda,hopper,5,9200,1047.1268310546875,1042.7952880859375,1041.776123046875
93,93,0,51.507057189941406,93,512.3851318359375,2.0067310333251953,1028.570556640625,1043.4761962890625,1038.6827392578125,1039.300048828125,207.9184274673462,1686917364.5307505,467.1257629394531,272.0723876953125,cgp,mu+lambda,hopper,5,9300,1043.4761962890625,1039.300048828125,1038.6827392578125
