,training.top_k_forward_reward.top_1_forward_reward,training.top_k_reward.top_1_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,_step,_runtime,training.run_id,training.top_k_fit.top_2_fit,training.evaluation_time,training.top_k_healthy_reward.top_0_healthy_reward,training.fitness_std,training.top_k_fit.top_1_fit,training.top_k_reward.top_2_reward,training.fitness_mean,training.top_k_forward_reward.top_2_forward_reward,training.fitness_1q,training.top_k_reward.top_0_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.generation,training.fitness_median,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.fitness_3q,training.top_k_fit.top_0_fit,_timestamp,training.top_k_ctrl_reward.top_1_ctrl_reward,solver,ea,fitness,environment,seed,training.evaluation
30,0,999.0,0,30,53.6785089969635,104,999,1.2812588214874268,0,384.9136047363281,999,999.0,236.1999969482422,0,181.25,999,0,30,33.0,0,0,0,7.0,999,1693558553.498287,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3000
31,0,999.0,0,31,55.01592993736267,104,999,1.2928040027618408,0,355.1274108886719,999,999.0,193.72999572753906,0,159.75,999,0,31,29.5,0,0,0,6.0,999,1693558554.835708,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3100
32,0,999.0,0,32,56.36205244064331,104,999,1.2470070123672485,0,357.7436828613281,999,999.0,196.5,0,75.5,999,0,32,29.0,0,0,0,6.0,999,1693558556.1818304,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3200
33,0,999.0,0,33,57.664865016937256,104,999,1.2450859546661377,0,348.33843994140625,999,999.0,175.30999755859375,0,36.25,999,0,33,28.5,0,0,0,6.0,999,1693558557.484643,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3300
34,0,999.0,0,34,59.01734185218811,104,999,1.3040016889572144,0,358.1531677246094,999,999.0,194.5800018310547,0,77.0,999,0,34,28.0,0,0,0,7.0,999,1693558558.8371198,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3400
35,0,999.0,0,35,60.370535135269165,104,999,1.2453608512878418,0,357.43572998046875,999,999.0,184.52999877929688,0,50.25,999,0,35,26.0,0,0,0,6.0,999,1693558560.190313,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3500
36,0,999.0,0,36,61.69580960273743,104,999,1.2707525491714478,0,351.1064453125,999,999.0,177.69000244140625,0,39.0,999,0,36,25.0,0,0,0,6.0,999,1693558561.5155876,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3600
37,0,999.0,0,37,63.07719612121582,104,999,1.282180905342102,0,383.3960266113281,999,999.0,220.9499969482422,0,74.75,999,0,37,32.0,0,0,0,6.0,999,1693558562.896974,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3700
38,0,999.0,0,38,64.40175127983093,104,999,1.282333254814148,0,363.9967956542969,999,999.0,209.05999755859375,0,132.5,999,0,38,31.0,0,0,0,7.75,999,1693558564.2215292,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3800
39,0,999.0,0,39,65.72091364860535,104,999,1.2773792743682861,0,315.5918884277344,999,999.0,152.5399932861328,0,67.0,999,0,39,30.0,0,0,0,7.0,999,1693558565.5406916,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,3900
