,training.generation,training.run_id,training.fitness_1q,training.top_k_fit.top_0_fit,training.top_k_reward.top_1_reward,training.fitness_3q,training.fitness_mean,training.evaluation_time,training.top_k_fit.top_1_fit,training.fitness_median,training.top_k_fit.top_2_fit,training.top_k_reward.top_0_reward,training.top_k_reward.top_2_reward,_step,_runtime,_timestamp,training.fitness_std,solver,ea,fitness,environment,seed,training.evaluation
10,10,2,5.088502407073975,18.636938095092773,-189.7994842529297,-0.5188207030296326,3.0785467624664307,17.180389404296875,16.959794998168945,0.22805121541023254,15.870186805725098,-224.6432342529297,-558.89892578125,10,207.50347757339478,1687564002.9134285,5.7799906730651855,cgp-large,mu+lambda,distance,ant,2,1000
11,11,2,7.895357608795166,20.186914443969727,-137.94674682617188,-0.1318947821855545,3.384404182434082,17.132543563842773,17.13267707824707,0.28025394678115845,16.16682243347168,268.0926513671875,55.75053787231445,11,224.65588331222534,1687564020.0658343,5.634582996368408,cgp-large,mu+lambda,distance,ant,2,1100
12,12,2,5.730684757232666,17.130815505981445,44.12543869018555,-0.0173491220921278,3.386556386947632,17.115934371948242,16.992650985717773,0.8662025928497314,15.691866874694824,170.83831787109375,156.65670776367188,12,241.79163217544556,1687564037.2015831,5.460445404052734,cgp-large,mu+lambda,distance,ant,2,1200
13,13,2,3.2699050903320312,19.106407165527344,-128.2301483154297,-0.14389927685260773,3.011605978012085,17.18661117553711,18.40149688720703,0.37494510412216187,18.234752655029297,-9.110621452331543,221.81715393066406,13,258.99735713005066,1687564054.407308,5.882806301116943,cgp-large,mu+lambda,distance,ant,2,1300
14,14,2,3.3064889907836914,19.519617080688477,-38.75908279418945,-0.247662752866745,2.878357410430908,17.341270446777344,17.679346084594727,0.17091886699199677,16.14924430847168,-325.0754699707031,-27.252853393554688,14,276.35847210884094,1687564071.768423,5.772210121154785,cgp-large,mu+lambda,distance,ant,2,1400
15,15,2,2.8163363933563232,21.601850509643555,76.92343139648438,-0.228541299700737,3.0916244983673096,17.314252853393555,18.51933479309082,0.27298426628112793,17.9835205078125,59.92092514038086,37.57550048828125,15,293.6932828426361,1687564089.1032338,6.024685382843018,cgp-large,mu+lambda,distance,ant,2,1500
16,16,2,2.7724595069885254,18.93303108215332,89.51079559326172,-0.14298468828201294,2.8839383125305176,17.313405990600586,16.925527572631836,0.23409375548362732,16.771373748779297,381.8523254394531,-8.79255199432373,16,311.0259747505188,1687564106.4359257,5.9693708419799805,cgp-large,mu+lambda,distance,ant,2,1600
17,17,2,9.983010292053223,18.6142520904541,100.81896209716797,-0.006810114718973637,4.082343578338623,17.299840927124023,18.443206787109375,0.500605583190918,17.77202796936035,-56.1745719909668,-50.254791259765625,17,328.3474454879761,1687564123.7573965,6.473574638366699,cgp-large,mu+lambda,distance,ant,2,1700
18,18,2,4.801764011383057,19.237817764282227,60.59276580810547,-0.12068980932235718,3.3553466796875,17.268280029296875,18.21852684020996,0.28194159269332886,17.23058319091797,128.36996459960938,167.4341583251953,18,345.635537147522,1687564141.045488,6.195444107055664,cgp-large,mu+lambda,distance,ant,2,1800
19,19,2,2.2558438777923584,17.356937408447266,215.17835998535156,-0.18408513069152832,2.8638060092926025,17.1461124420166,16.85586929321289,0.2457173466682434,16.845388412475586,293.4058532714844,-264.8900451660156,19,362.7998354434967,1687564158.2097864,6.139087200164795,cgp-large,mu+lambda,distance,ant,2,1900
20,20,2,6.162792682647705,16.552135467529297,252.712646484375,-0.11546367406845093,3.601918935775757,17.077600479125977,16.273359298706055,0.9107939004898071,16.245203018188477,-268.0187072753906,-236.90777587890625,20,379.94879388809204,1687564175.3587449,6.024352073669434,cgp-large,mu+lambda,distance,ant,2,2000
21,21,2,8.35908031463623,19.363555908203125,333.5941467285156,-0.17705632746219635,4.066863536834717,17.279682159423828,19.335527420043945,0.7344499230384827,18.236433029174805,-427.4540100097656,-43.02638626098633,21,397.263546705246,1687564192.6734977,6.362051486968994,cgp-large,mu+lambda,distance,ant,2,2100
22,22,2,5.0509538650512695,18.58553695678711,244.9259796142578,-0.13815926015377045,3.482337474822998,17.250547409057617,18.351490020751953,0.35850539803504944,16.481689453125,-473.34918212890625,-540.9982299804688,22,414.5480523109436,1687564209.9580033,6.077931880950928,cgp-large,mu+lambda,distance,ant,2,2200
23,23,2,6.223389148712158,18.146360397338867,202.39437866210938,-0.18013355135917664,3.473515510559082,17.27528190612793,17.880298614501953,0.34462571144104004,17.434389114379883,177.37806701660156,409.381591796875,23,431.8654856681824,1687564227.2754366,6.255865097045898,cgp-large,mu+lambda,distance,ant,2,2300
24,24,2,5.984273433685303,18.707109451293945,237.72515869140625,-0.07132230699062347,3.65744948387146,17.2979736328125,18.539962768554688,0.46625930070877075,17.2060546875,256.6729736328125,-541.8260498046875,24,449.22439670562744,1687564244.6343477,6.3738555908203125,cgp-large,mu+lambda,distance,ant,2,2400
25,25,2,9.042112350463867,18.420854568481445,-28.835363388061523,-0.023360595107078552,4.098576068878174,17.296510696411133,18.031024932861328,0.7524877786636353,17.241472244262695,-719.618408203125,-340.6466369628906,25,466.5403480529785,1687564261.950299,6.319563865661621,cgp-large,mu+lambda,distance,ant,2,2500
26,26,2,9.850212097167969,20.66956901550293,-781.59423828125,-0.24383507668972015,4.4640936851501465,17.273136138916016,20.328874588012695,0.6790816783905029,18.57712745666504,338.575927734375,219.30712890625,26,483.83018350601196,1687564279.2401345,6.84309196472168,cgp-large,mu+lambda,distance,ant,2,2600
27,27,2,10.211175918579102,19.942747116088867,-98.91946411132812,0.03354303911328316,4.756431579589844,17.26473617553711,19.24498176574707,1.3219707012176514,18.719636917114258,-519.228271484375,-40.64436340332031,27,501.11362409591675,1687564296.523575,6.675461769104004,cgp-large,mu+lambda,distance,ant,2,2700
28,28,2,9.616903305053711,19.92534828186035,-599.8024291992188,-0.2240026593208313,4.047297954559326,17.267810821533203,19.13409423828125,0.4790266752243042,19.062610626220703,-491.9355163574219,-419.38568115234375,28,518.3988382816315,1687564313.8087893,6.8254008293151855,cgp-large,mu+lambda,distance,ant,2,2800
29,29,2,12.74339485168457,24.39826011657715,-134.9479522705078,-0.016782604157924652,5.197492599487305,17.258974075317383,20.80095672607422,1.1079697608947754,20.038330078125,127.44837951660156,-465.9110107421875,29,535.6750526428223,1687564331.0850036,7.26082706451416,cgp-large,mu+lambda,distance,ant,2,2900
30,30,2,6.3974690437316895,20.579360961914062,-139.8356170654297,-0.18526342511177063,3.8414433002471924,17.25659942626953,19.21430778503418,0.7389352321624756,18.975017547607422,5.87028169631958,-74.06043243408203,30,552.9531815052032,1687564348.3631325,6.503324508666992,cgp-large,mu+lambda,distance,ant,2,3000
31,31,2,11.345277786254883,27.0089168548584,239.77024841308594,-0.06974777579307556,5.217226505279541,17.07763671875,24.164134979248047,1.0250191688537598,21.739971160888672,-908.5396728515625,109.51326751708984,31,570.0527646541595,1687564365.4627156,7.458963871002197,cgp-large,mu+lambda,distance,ant,2,3100
32,32,2,6.238893508911133,24.24392318725586,47.935760498046875,-0.22556310892105103,4.066670894622803,17.029705047607422,23.784194946289062,0.6352503299713135,22.461610794067383,187.03280639648438,182.74679565429688,32,587.1032471656799,1687564382.5131981,7.172693729400635,cgp-large,mu+lambda,distance,ant,2,3200
33,33,2,12.453741073608398,24.495853424072266,181.5347900390625,0.23159632086753845,5.838536739349365,17.043052673339844,22.99326515197754,2.694753646850586,22.6267147064209,149.31048583984375,106.71512603759766,33,604.1658301353455,1687564399.575781,7.379044532775879,cgp-large,mu+lambda,distance,ant,2,3300
34,34,2,12.029335021972656,26.12615394592285,215.9532470703125,0.0,5.619879722595215,17.027881622314453,25.111040115356445,0.8946164846420288,23.991724014282227,91.84114837646484,203.19859313964844,34,621.2150020599365,1687564416.624953,8.321439743041992,cgp-large,mu+lambda,distance,ant,2,3400
35,35,2,14.538352966308594,26.595172882080078,178.7447052001953,0.19847862422466278,6.896400451660156,17.342390060424805,25.65793228149414,2.0013346672058105,25.6505184173584,-295.04217529296875,-315.2189025878906,35,638.5779149532318,1687564433.987866,8.677860260009766,cgp-large,mu+lambda,distance,ant,2,3500
36,36,2,9.343517303466797,25.448471069335938,-254.9938201904297,0.07613213360309601,5.295046329498291,17.3264217376709,24.448246002197266,1.1231037378311157,22.868328094482422,-439.7887878417969,-68.0863037109375,36,655.9251182079315,1687564451.3350692,8.159136772155762,cgp-large,mu+lambda,distance,ant,2,3600
37,37,2,14.43757438659668,26.137420654296875,276.4065856933594,-0.015210178680717945,6.2548370361328125,17.25870704650879,26.005046844482422,0.9501738548278809,25.775339126586914,214.05117797851562,-170.58641052246094,37,673.2238619327545,1687564468.633813,9.399775505065918,cgp-large,mu+lambda,distance,ant,2,3700
38,38,2,12.43028736114502,25.914531707763672,-105.95510864257812,-0.030181750655174255,6.12384557723999,17.000774383544922,24.860130310058594,1.7248491048812866,24.742443084716797,-108.6040267944336,263.2822570800781,38,690.2724370956421,1687564485.682388,8.635631561279297,cgp-large,mu+lambda,distance,ant,2,3800
39,39,2,15.465143203735352,27.982276916503906,-104.6558609008789,0.018837332725524902,7.170198917388916,17.02693748474121,26.99949073791504,1.5100951194763184,25.79204559326172,39.912864685058594,-91.39356994628906,39,707.3298292160034,1687564502.7397802,9.504820823669434,cgp-large,mu+lambda,distance,ant,2,3900
40,40,2,17.218082427978516,28.479822158813477,160.88369750976562,0.15461081266403198,8.137442588806152,17.297407150268555,26.500864028930664,3.3072800636291504,26.228296279907227,267.1255187988281,223.98045349121094,40,724.6444892883301,1687564520.0544403,9.346155166625977,cgp-large,mu+lambda,distance,ant,2,4000
41,41,2,15.540943145751953,27.219587326049805,0.52498859167099,0.1930132657289505,7.661468982696533,17.28218650817871,27.110170364379883,3.2366557121276855,25.15506362915039,14.456232070922852,-539.4584350585938,41,741.9452795982361,1687564537.3552306,9.132609367370605,cgp-large,mu+lambda,distance,ant,2,4100
42,42,2,18.464305877685547,26.175128936767578,13.49879264831543,0.34772366285324097,7.899998664855957,17.281339645385742,25.562177658081055,2.8689088821411133,25.545358657836914,-26.93695068359375,1.4490476846694946,42,759.2439923286438,1687564554.6539433,9.477256774902344,cgp-large,mu+lambda,distance,ant,2,4200
43,43,2,16.310049057006836,26.919143676757812,-94.01595306396484,0.20918481051921844,8.128277778625488,17.270366668701172,26.662212371826172,4.044721603393555,26.306541442871094,333.7919616699219,31.266098022460938,43,776.5321111679077,1687564571.9420621,9.510917663574219,cgp-large,mu+lambda,distance,ant,2,4300
44,44,2,16.49124526977539,28.090299606323242,48.1699104309082,-0.03567230701446533,7.453959941864014,17.32470703125,27.933704376220703,1.9086685180664062,27.340723037719727,-132.61996459960938,93.33361053466797,44,793.8741528987885,1687564589.2841039,10.035133361816406,cgp-large,mu+lambda,distance,ant,2,4400
45,45,2,19.667123794555664,29.052587509155273,1.8259607553482056,0.06913067400455475,8.469959259033203,17.297746658325195,28.61035919189453,2.9740614891052246,27.109962463378906,160.8632354736328,-10.989123344421387,45,811.193115234375,1687564606.6030662,10.443464279174805,cgp-large,mu+lambda,distance,ant,2,4500
46,46,2,16.22078514099121,28.14132308959961,170.6924285888672,0.3120548725128174,8.481176376342773,17.281147003173828,27.897747039794922,3.754883289337158,27.080087661743164,286.656982421875,59.36256408691406,46,828.4912505149841,1687564623.9012015,9.985333442687988,cgp-large,mu+lambda,distance,ant,2,4600
47,47,2,12.357585906982422,28.99435806274414,-40.65004348754883,0.11173061281442642,7.28022575378418,17.278303146362305,28.424251556396484,2.6463623046875,28.268943786621094,27.574676513671875,37.433204650878906,47,845.7868452072144,1687564641.1967962,9.556938171386719,cgp-large,mu+lambda,distance,ant,2,4700
48,48,2,15.956372261047363,29.434892654418945,-130.81182861328125,0.066047303378582,7.354691982269287,17.30031394958496,28.652870178222656,1.6513198614120483,27.818510055541992,-135.43057250976562,-190.8927459716797,48,863.1045854091644,1687564658.5145364,10.273016929626465,cgp-large,mu+lambda,distance,ant,2,4800
49,49,2,14.10592269897461,29.03989028930664,-139.50123596191406,0.03736655414104462,7.869088649749756,17.121685028076172,28.219039916992188,2.372239112854004,27.29448890686035,-77.72071838378906,-689.3138427734375,49,880.2636353969574,1687564675.6735864,10.087540626525879,cgp-large,mu+lambda,distance,ant,2,4900
50,50,2,14.227416038513184,30.040998458862305,38.6130485534668,0.06594206392765045,8.038355827331543,17.06897735595703,29.102401733398438,2.7611660957336426,28.656291961669922,15.16036319732666,42.003623962402344,50,897.3529269695282,1687564692.762878,10.230496406555176,cgp-large,mu+lambda,distance,ant,2,5000
51,51,2,16.33563995361328,27.912532806396484,28.09766960144043,0.0955384373664856,7.095823764801025,16.989896774291992,27.450794219970703,1.5106024742126465,27.217092514038086,-27.25547981262207,56.776973724365234,51,914.3628149032593,1687564709.7727659,10.413254737854004,cgp-large,mu+lambda,distance,ant,2,5100
52,52,2,17.09402847290039,28.917072296142578,-133.95252990722656,0.11125500500202179,8.19978141784668,17.199697494506836,28.383310317993164,3.7710299491882324,27.070695877075195,-106.69051361083984,-25.733366012573242,52,931.5819737911224,1687564726.9919248,10.15105152130127,cgp-large,mu+lambda,distance,ant,2,5200
53,53,2,17.796104431152344,29.78247833251953,12.64813232421875,0.1348913311958313,7.913593769073486,17.047924041748047,28.72076416015625,2.065852403640747,28.279796600341797,165.7860565185547,413.6275634765625,53,948.6498157978058,1687564744.0597668,10.380316734313965,cgp-large,mu+lambda,distance,ant,2,5300
54,54,2,15.759051322937012,29.59066390991211,29.303438186645508,0.1685158610343933,8.428939819335938,17.1143856048584,28.28838348388672,2.7613606452941895,28.04029655456543,230.20724487304688,-3.3583760261535645,54,965.7836728096008,1687564761.1936238,10.3357515335083,cgp-large,mu+lambda,distance,ant,2,5400
55,55,2,17.685911178588867,29.113584518432617,37.94194793701172,0.09900602698326111,8.369050979614258,17.05337905883789,28.774547576904297,2.418245792388916,28.549421310424805,39.49964141845703,153.1018524169922,55,982.8571555614471,1687564778.2671065,10.696602821350098,cgp-large,mu+lambda,distance,ant,2,5500
56,56,2,19.430084228515625,29.159534454345703,-313.6788330078125,0.15986007452011108,8.621310234069824,17.00348663330078,29.015214920043945,2.7135932445526123,28.246376037597656,-110.72870635986328,-338.123291015625,56,999.8800444602966,1687564795.2899954,10.783676147460938,cgp-large,mu+lambda,distance,ant,2,5600
57,57,2,16.18367576599121,30.697547912597656,-79.73873901367188,0.1496300846338272,7.796457767486572,17.122699737548828,29.391023635864258,1.952237844467163,28.626070022583008,-122.32228088378906,-134.3238983154297,57,1017.025646686554,1687564812.4355977,10.658829689025879,cgp-large,mu+lambda,distance,ant,2,5700
58,58,2,18.77289581298828,30.458873748779297,427.3369445800781,0.2570993900299072,8.085410118103027,17.076705932617188,29.079999923706055,2.4576869010925293,28.077529907226562,305.0065612792969,308.1325988769531,58,1034.1247563362122,1687564829.5347073,10.22719669342041,cgp-large,mu+lambda,distance,ant,2,5800
59,59,2,18.500328063964844,30.980539321899414,269.44036865234375,0.14380955696105957,8.276808738708496,17.105331420898438,29.03036117553711,2.5641329288482666,28.806310653686523,102.68789672851562,203.3490447998047,59,1051.2513115406036,1687564846.6612625,10.481590270996094,cgp-large,mu+lambda,distance,ant,2,5900
60,60,2,20.16832733154297,31.622385025024414,161.32098388671875,0.13516052067279816,8.88805866241455,17.174476623535156,29.031972885131836,3.244030475616455,29.010425567626953,12.183809280395508,-177.07810974121094,60,1068.4589304924011,1687564863.8688815,10.908673286437988,cgp-large,mu+lambda,distance,ant,2,6000
61,61,2,19.31998062133789,31.40130043029785,183.88796997070312,-0.04522857442498207,8.247588157653809,17.219812393188477,28.610567092895508,1.745377779006958,28.58829116821289,302.3633728027344,331.7444763183594,61,1085.7676873207092,1687564881.1776383,11.508868217468262,cgp-large,mu+lambda,distance,ant,2,6100
62,62,2,17.066993713378906,29.931793212890625,40.27165222167969,0.0026695849373936653,7.567698955535889,17.218358993530273,28.326122283935547,0.8851721882820129,28.120540618896484,390.0027160644531,3.1094236373901367,62,1103.0597326755524,1687564898.4696836,10.760218620300293,cgp-large,mu+lambda,distance,ant,2,6200
63,63,2,19.318191528320312,29.039724349975586,63.8117561340332,0.06790100038051605,8.684802055358887,17.232723236083984,28.785451889038086,2.51261568069458,28.7424373626709,175.97286987304688,43.67300796508789,63,1120.3539242744446,1687564915.7638752,10.83409595489502,cgp-large,mu+lambda,distance,ant,2,6300
64,64,2,22.066028594970703,29.250818252563477,-9.147785186767578,-0.002424421487376094,9.38053035736084,17.199867248535156,28.47705841064453,3.366849422454834,27.930875778198242,-280.1518859863281,-239.66993713378906,64,1137.6153764724731,1687564933.0253274,10.78929328918457,cgp-large,mu+lambda,distance,ant,2,6400
65,65,2,14.042612075805664,30.83401107788086,6.0910468101501465,0.10660370439291,7.955086708068848,17.24440574645996,28.941659927368164,1.6788694858551025,28.496389389038086,156.63999938964844,94.20452880859375,65,1154.894245147705,1687564950.3041961,10.616138458251953,cgp-large,mu+lambda,distance,ant,2,6500
66,66,2,18.06782341003418,30.277313232421875,44.21857833862305,-0.0063738347962498665,8.073869705200195,17.239078521728516,30.073415756225586,2.0057427883148193,29.006261825561523,-212.99240112304688,-20.736576080322266,66,1172.163039445877,1687564967.5729904,10.944290161132812,cgp-large,mu+lambda,distance,ant,2,6600
67,67,2,18.723018646240234,28.951980590820312,12.987937927246094,0.21346750855445862,9.135903358459473,17.126508712768555,28.633825302124023,3.579014778137207,28.518028259277344,220.3302459716797,195.4674530029297,67,1189.3179235458374,1687564984.7278745,10.629875183105469,cgp-large,mu+lambda,distance,ant,2,6700
68,68,2,22.585567474365234,31.914409637451172,6.52766227722168,0.27116858959198,9.208573341369629,17.243253707885742,28.89594268798828,3.1455705165863037,28.720277786254883,300.2365417480469,24.384057998657227,68,1206.5903341770172,1687565002.0002851,11.089828491210938,cgp-large,mu+lambda,distance,ant,2,6800
69,69,2,13.816817283630371,29.57278823852539,236.86521911621094,-0.004570280201733112,8.166141510009766,17.24969482421875,29.082902908325195,2.9807987213134766,28.17580223083496,197.73667907714844,-46.42253494262695,69,1223.8693659305573,1687565019.279317,10.457000732421875,cgp-large,mu+lambda,distance,ant,2,6900
70,70,2,23.728151321411133,31.135255813598633,-81.93024444580078,0.18835380673408508,9.536813735961914,17.25514793395996,29.006498336791992,2.876584529876709,28.431251525878906,261.8554992675781,494.1726379394531,70,1241.153414964676,1687565036.563366,11.29914665222168,cgp-large,mu+lambda,distance,ant,2,7000
71,71,2,19.22121810913086,30.241384506225586,186.25726318359375,0.01901213824748993,9.045883178710938,17.239057540893555,30.117918014526367,3.189423084259033,28.627370834350586,301.7738342285156,313.69921875,71,1258.421820640564,1687565053.8317716,10.633081436157227,cgp-large,mu+lambda,distance,ant,2,7100
72,72,2,19.610708236694336,31.539588928222656,-18.461257934570312,0.1060163751244545,8.38314437866211,17.369640350341797,28.68813705444336,1.5353353023529053,28.36629295349121,28.93573760986328,186.28761291503906,72,1275.8154327869415,1687565071.2253838,10.951033592224121,cgp-large,mu+lambda,distance,ant,2,7200
73,73,2,19.659011840820312,29.485977172851562,77.78048706054688,0.11725764721632004,8.841716766357422,17.186988830566406,29.203580856323242,2.5442147254943848,28.832672119140625,-182.18679809570312,323.6412658691406,73,1293.0218942165375,1687565088.4318452,11.071781158447266,cgp-large,mu+lambda,distance,ant,2,7300
74,74,2,19.329177856445312,31.571395874023438,-58.39847183227539,0.09313149750232697,9.1096830368042,17.18663787841797,30.498435974121094,2.9794039726257324,28.750747680664062,-12.02143669128418,220.0892791748047,74,1310.2436985969543,1687565105.6536496,11.078402519226074,cgp-large,mu+lambda,distance,ant,2,7400
75,75,2,14.585527420043945,32.156494140625,-133.69229125976562,0.12229979783296585,8.308409690856934,17.255002975463867,28.743452072143555,2.7438502311706543,28.72848129272461,25.45134735107422,4.806966304779053,75,1327.5432562828064,1687565122.9532073,10.934597969055176,cgp-large,mu+lambda,distance,ant,2,7500
76,76,2,16.152326583862305,31.855785369873047,-49.56130599975586,0.08968953788280487,9.023459434509277,17.270526885986328,31.625734329223633,3.00058650970459,31.060012817382812,-22.013887405395508,3.386566638946533,76,1344.830320596695,1687565140.2402716,10.960859298706055,cgp-large,mu+lambda,distance,ant,2,7600
77,77,2,17.732219696044922,31.75009536743164,293.020751953125,0.11449221521615982,8.507486343383789,17.29959487915039,31.19593048095703,2.057199239730835,29.67753028869629,-16.475465774536133,-7.477189540863037,77,1362.1472816467285,1687565157.5572326,11.249042510986328,cgp-large,mu+lambda,distance,ant,2,7700
78,78,2,18.4399471282959,31.25174331665039,-12.316044807434082,-0.08126857131719589,8.867851257324219,17.30368995666504,30.720422744750977,3.488673686981201,30.439559936523438,-2.4555153846740723,1.2984464168548584,78,1379.4685826301575,1687565174.8785336,11.552449226379395,cgp-large,mu+lambda,distance,ant,2,7800
79,79,2,22.1181697845459,32.56984329223633,-56.48798370361328,0.09835842251777649,9.71451473236084,17.297208786010742,30.39264488220215,3.5228567123413086,29.881311416625977,16.016267776489258,71.02094268798828,79,1396.7821772098541,1687565192.1921282,11.305610656738281,cgp-large,mu+lambda,distance,ant,2,7900
80,80,2,20.86701774597168,31.53561019897461,202.69577026367188,0.08833904564380646,8.995800018310547,17.373743057250977,30.3983097076416,2.2751216888427734,29.029420852661133,-28.231983184814453,250.0471649169922,80,1414.1718890666962,1687565209.58184,11.27983570098877,cgp-large,mu+lambda,distance,ant,2,8000
81,81,2,19.37174415588379,32.22059631347656,27.08652687072754,0.0806616023182869,9.311262130737305,17.289533615112305,30.722946166992188,3.0980191230773926,30.216129302978516,-23.229171752929688,-83.08609008789062,81,1431.4784858226776,1687565226.8884368,11.329257011413574,cgp-large,mu+lambda,distance,ant,2,8100
82,82,2,15.181411743164062,31.798372268676758,-208.29306030273438,0.05854576826095581,8.512829780578613,17.279586791992188,30.67169952392578,2.149651527404785,30.020612716674805,13.738121032714844,-142.6178741455078,82,1448.7758345603943,1687565244.1857855,10.796175956726074,cgp-large,mu+lambda,distance,ant,2,8200
83,83,2,13.232791900634766,31.382627487182617,-15.87661075592041,0.006642124615609646,8.090383529663086,17.269929885864258,30.443737030029297,1.211439847946167,30.215641021728516,26.212318420410156,11.482325553894043,83,1466.063462972641,1687565261.473414,11.228531837463379,cgp-large,mu+lambda,distance,ant,2,8300
84,84,2,18.674413681030273,31.717784881591797,6.279692649841309,0.011760941706597805,9.41754150390625,17.27994155883789,30.543251037597656,4.348855972290039,30.02770233154297,-15.93179988861084,-146.71791076660156,84,1483.3603262901306,1687565278.7702773,11.107563018798828,cgp-large,mu+lambda,distance,ant,2,8400
85,85,2,17.06024742126465,31.847320556640625,19.861852645874023,0.04574953392148018,8.750606536865234,17.265466690063477,31.27065086364746,2.878142833709717,29.774250030517578,-2.487694501876831,-0.9912643432617188,85,1500.642573595047,1687565296.0525246,11.122666358947754,cgp-large,mu+lambda,distance,ant,2,8500
86,86,2,13.486886024475098,32.512638092041016,-1.378343105316162,0.06147308275103569,8.362619400024414,17.269512176513672,32.071746826171875,1.9122122526168823,31.204145431518555,0.6594696044921875,4.0655341148376465,86,1517.9284272193909,1687565313.3383782,10.907922744750977,cgp-large,mu+lambda,distance,ant,2,8600
87,87,2,16.026588439941406,34.79308319091797,93.90547943115234,0.08609505742788315,9.155980110168457,17.357973098754883,31.624235153198242,4.555293560028076,30.05907440185547,95.61869049072266,-38.453758239746094,87,1535.304312467575,1687565330.7142634,11.577457427978516,cgp-large,mu+lambda,distance,ant,2,8700
88,88,2,22.458593368530273,33.56096267700195,86.7567138671875,0.05535528063774109,9.169875144958496,17.137767791748047,33.12047576904297,2.367466449737549,31.928756713867188,25.714418411254883,96.75395965576172,88,1552.458871126175,1687565347.868822,12.06207275390625,cgp-large,mu+lambda,distance,ant,2,8800
89,89,2,13.375105857849121,34.378604888916016,-100000.0,0.00931799691170454,8.371674537658691,17.113779067993164,34.02976989746094,1.3866462707519531,31.299840927124023,-100000.0,124.5993423461914,89,1569.589158296585,1687565364.9991093,11.64162540435791,cgp-large,mu+lambda,distance,ant,2,8900
90,90,2,20.10620880126953,39.3782958984375,105.54708862304688,0.009976370260119438,9.796307563781738,17.185422897338867,33.879173278808594,3.116748332977295,33.6907844543457,-123.9837417602539,113.43234252929688,90,1586.790503501892,1687565382.2004545,12.106461524963379,cgp-large,mu+lambda,distance,ant,2,9000
