,training.generation,training.fitness_median,training.evaluation_time,training.top_k_fit.top_0_fit,training.run_id,training.fitness_1q,training.fitness_3q,training.fitness_std,training.top_k_fit.top_2_fit,_runtime,_timestamp,training.fitness_mean,training.top_k_fit.top_1_fit,_step,solver,ea,environment,seed
10,10,94.22613525390625,2.0228357315063477,997.03564453125,0,432.3179931640625,25.74172592163086,9977.1103515625,984.36328125,36.85432505607605,1686908891.795742,-764.1077880859375,996.3290405273438,10,cgp,mu+lambda,hopper,1
11,11,127.25166320800781,1.9832857847213745,1006.3825073242188,0,537.87646484375,58.22801971435547,308.18096923828125,1004.7302856445312,38.85136103630066,1686908893.792778,297.0608825683594,1004.802978515625,11,cgp,mu+lambda,hopper,1
12,12,126.9814224243164,2.0200510025024414,1008.5047607421875,0,562.7151489257812,37.53643035888672,310.0019836425781,1005.5388793945312,40.88501572608948,1686908895.8264327,281.447265625,1006.0580444335938,12,cgp,mu+lambda,hopper,1
13,13,102.40652465820312,2.017974615097046,1005.7688598632812,0,526.6195068359375,53.445640563964844,319.7434387207031,1005.6439819335938,42.91712784767151,1686908897.8585448,279.7240295410156,1005.6985473632812,13,cgp,mu+lambda,hopper,1
14,14,115.5327377319336,1.9861074686050415,1006.3547973632812,0,510.6553649902344,40.51693344116211,14044.4169921875,1005.104248046875,44.917513370513916,1686908899.8589303,-1716.789306640625,1006.2179565429688,14,cgp,mu+lambda,hopper,1
15,15,125.45719146728516,2.01908278465271,1006.1901245117188,0,604.6885375976562,46.47867965698242,9987.8349609375,1005.4115600585938,46.950825929641724,1686908901.892243,-686.7159423828125,1005.74560546875,15,cgp,mu+lambda,hopper,1
16,16,199.08938598632812,2.0181024074554443,1006.8099365234375,0,696.5961303710938,65.15754699707031,374.1727600097656,1006.173583984375,48.98184585571289,1686908903.9232628,369.3121032714844,1006.4873657226562,16,cgp,mu+lambda,hopper,1
17,17,188.57925415039062,2.0186588764190674,1006.7412719726562,0,850.443115234375,48.88972854614258,392.48663330078125,1006.045166015625,51.01516342163086,1686908905.9565804,368.84521484375,1006.3984375,17,cgp,mu+lambda,hopper,1
18,18,149.1632843017578,2.021087408065796,1007.2935180664062,0,570.7155151367188,55.16189956665039,369.7679138183594,1006.1871337890625,53.05007314682007,1686908907.9914901,340.521240234375,1006.6361083984375,18,cgp,mu+lambda,hopper,1
19,19,133.22671508789062,2.0143606662750244,1007.2615356445312,0,994.5591430664062,52.29551696777344,401.7841796875,1006.3037109375,55.07851552963257,1686908910.0199325,368.562255859375,1006.8873291015625,19,cgp,mu+lambda,hopper,1
20,20,106.89140319824219,2.0201220512390137,1006.5357666015625,0,353.46624755859375,52.56419372558594,373.3877868652344,1005.957763671875,57.11307168006897,1686908912.0544887,310.73968505859375,1006.031982421875,20,cgp,mu+lambda,hopper,1
21,21,97.64431762695312,2.0198211669921875,1006.50830078125,0,540.1845703125,48.535926818847656,380.5626525878906,1005.981689453125,59.147315979003906,1686908914.088733,325.75103759765625,1006.3799438476562,21,cgp,mu+lambda,hopper,1
22,22,227.03671264648438,2.0179848670959473,1006.8136596679688,0,604.9212646484375,54.280269622802734,378.3729553222656,1006.1285400390625,61.180428981781006,1686908916.121846,371.1402893066406,1006.448974609375,22,cgp,mu+lambda,hopper,1
23,23,169.5782470703125,2.0250906944274902,1006.0178833007812,0,997.0128784179688,49.994441986083984,9997.65625,1005.956787109375,63.21671438217163,1686908918.1581314,-607.3577880859375,1005.9909057617188,23,cgp,mu+lambda,hopper,1
24,24,181.0248260498047,2.016676425933838,1014.2303466796875,0,884.5145263671875,48.293670654296875,396.92816162109375,1006.261474609375,65.24725151062012,1686908920.1886685,360.01470947265625,1006.487060546875,24,cgp,mu+lambda,hopper,1
25,25,199.94708251953125,2.0181081295013428,1007.9083862304688,0,449.0332336425781,59.56865692138672,356.8683166503906,1006.3684692382812,67.27871203422546,1686908922.220129,335.9734802246094,1007.7432861328125,25,cgp,mu+lambda,hopper,1
26,26,123.61447143554688,2.007286548614502,1012.5466918945312,0,598.8380737304688,52.147239685058594,9991.58984375,1006.118896484375,69.30019474029541,1686908924.2416117,-657.7821655273438,1006.5625,26,cgp,mu+lambda,hopper,1
27,27,108.33706665039062,2.00938081741333,1013.42236328125,0,988.2094116210938,51.00824737548828,404.54541015625,1006.4561157226562,71.32273435592651,1686908926.2641513,362.6999206542969,1006.5430908203125,27,cgp,mu+lambda,hopper,1
28,28,128.88021850585938,2.0088632106781006,1012.81884765625,0,378.59063720703125,48.64749526977539,367.9186706542969,1005.9581298828125,73.34520316123962,1686908928.2866201,312.7536926269531,1008.5955810546875,28,cgp,mu+lambda,hopper,1
29,29,105.99824523925781,2.0146689414978027,1010.560302734375,0,848.0049438476562,48.573158264160156,400.33538818359375,1007.9190063476562,75.37457537651062,1686908930.3159924,341.9983825683594,1009.0459594726562,29,cgp,mu+lambda,hopper,1
30,30,152.33575439453125,2.0102217197418213,1013.327880859375,0,702.289306640625,46.248748779296875,9992.5673828125,1006.4312744140625,77.3986496925354,1686908932.3400667,-650.2889404296875,1006.4767456054688,30,cgp,mu+lambda,hopper,1
31,31,223.71160888671875,2.0088279247283936,1017.2430419921875,0,1002.7965698242188,49.077911376953125,420.37542724609375,1013.6820068359375,79.42038583755493,1686908934.3618028,406.38006591796875,1014.5900268554688,31,cgp,mu+lambda,hopper,1
32,32,161.12120056152344,2.00484299659729,1017.5589599609375,0,791.7957153320312,60.1993293762207,9994.359375,1013.9901733398438,81.43922138214111,1686908936.3806384,-633.999267578125,1014.1624755859375,32,cgp,mu+lambda,hopper,1
33,33,110.85498046875,2.0084245204925537,1017.0626220703125,0,1004.0904541015625,57.810890197753906,410.7391357421875,1016.2373046875,83.46154546737671,1686908938.4029624,374.5707702636719,1016.2643432617188,33,cgp,mu+lambda,hopper,1
34,34,140.10760498046875,2.0126709938049316,1017.4224853515625,0,618.9686279296875,51.44717025756836,14055.3271484375,1015.498291015625,85.48865032196045,1686908940.4300673,-1650.042724609375,1016.2154541015625,34,cgp,mu+lambda,hopper,1
35,35,164.4881134033203,1.9878149032592773,1017.9503784179688,0,1006.4039306640625,53.741600036621094,406.87933349609375,1017.7745971679688,87.48987913131714,1686908942.431296,379.7106018066406,1017.873779296875,35,cgp,mu+lambda,hopper,1
36,36,173.53317260742188,2.0164294242858887,1017.7916870117188,0,1003.5585327148438,46.26636505126953,14059.830078125,1017.0978393554688,89.52057337760925,1686908944.4619904,-1622.3719482421875,1017.3465576171875,36,cgp,mu+lambda,hopper,1
37,37,116.21067810058594,2.0257883071899414,1017.4675903320312,0,1007.347900390625,51.34797668457031,415.20751953125,1016.4172973632812,91.56122851371765,1686908946.5026455,374.5643310546875,1017.3204956054688,37,cgp,mu+lambda,hopper,1
38,38,215.09536743164062,2.0288267135620117,1017.4520263671875,0,1010.0224609375,51.99745559692383,425.41522216796875,1017.3639526367188,93.60286831855774,1686908948.5442853,418.5606994628906,1017.37060546875,38,cgp,mu+lambda,hopper,1
39,39,156.64434814453125,2.023620128631592,1017.380126953125,0,1009.60888671875,52.03181457519531,408.80682373046875,1016.9290771484375,95.64072060585022,1686908950.5821376,376.6321105957031,1017.220947265625,39,cgp,mu+lambda,hopper,1
40,40,144.45628356933594,2.0157840251922607,1017.998046875,0,762.5969848632812,54.89360046386719,401.34332275390625,1017.512451171875,97.66977715492249,1686908952.6111941,354.1517639160156,1017.9346923828125,40,cgp,mu+lambda,hopper,1
41,41,97.15605926513672,2.0201292037963867,1016.8522338867188,0,582.7601928710938,47.126243591308594,398.1393737792969,1016.2686157226562,99.70446538925171,1686908954.6458824,347.8067932128906,1016.48828125,41,cgp,mu+lambda,hopper,1
42,42,157.30877685546875,2.020573139190674,1018.128662109375,0,1003.7813720703125,54.698150634765625,9996.185546875,1017.2147827148438,101.7390124797821,1686908956.6804295,-622.5015258789062,1017.6331787109375,42,cgp,mu+lambda,hopper,1
43,43,102.76936340332031,2.0188181400299072,1017.7049560546875,0,721.3079223632812,44.26616287231445,402.25860595703125,1017.1891479492188,103.7722053527832,1686908958.7136223,354.2589111328125,1017.290283203125,43,cgp,mu+lambda,hopper,1
44,44,163.1045379638672,2.0158114433288574,1018.1009521484375,0,752.0657348632812,63.973228454589844,395.75421142578125,1017.300537109375,105.80248188972473,1686908960.7438989,369.1463317871094,1017.8865356445312,44,cgp,mu+lambda,hopper,1
45,45,138.57435607910156,1.99037766456604,1018.290771484375,0,863.5286865234375,57.932456970214844,406.7810363769531,1017.0302124023438,107.80622434616089,1686908962.7476413,380.9673767089844,1017.0638427734375,45,cgp,mu+lambda,hopper,1
46,46,116.74715423583984,2.0138800144195557,1019.0435180664062,0,939.99755859375,50.68091583251953,9994.8408203125,1017.0234985351562,109.83437538146973,1686908964.7757924,-634.1812133789062,1017.4005126953125,46,cgp,mu+lambda,hopper,1
47,47,102.44291687011719,2.018015146255493,1017.206298828125,0,1004.1926879882812,43.15005874633789,426.2964172363281,1017.1766967773438,111.8664002418518,1686908966.8078172,378.81475830078125,1017.2041015625,47,cgp,mu+lambda,hopper,1
48,48,99.66149139404297,1.9780162572860718,1018.3082275390625,0,611.1456909179688,41.86610794067383,405.1376953125,1016.7158813476562,113.85907030105591,1686908968.8004873,334.8974914550781,1017.64599609375,48,cgp,mu+lambda,hopper,1
49,49,181.59271240234375,2.016380786895752,1017.9304809570312,0,1011.1766967773438,56.51122283935547,429.9172668457031,1016.9215698242188,115.88850593566895,1686908970.829923,421.6355285644531,1017.116455078125,49,cgp,mu+lambda,hopper,1
50,50,97.71337890625,2.0166635513305664,1017.5982055664062,0,738.8646240234375,34.531036376953125,407.0401916503906,1016.9526977539062,117.91817212104797,1686908972.859589,335.3826599121094,1016.9754028320312,50,cgp,mu+lambda,hopper,1
51,51,144.01754760742188,2.017857074737549,1017.6593017578125,0,1007.4578247070312,48.57819747924805,410.7047424316406,1016.9546508789062,119.9494161605835,1686908974.8908331,376.3426513671875,1017.0472412109375,51,cgp,mu+lambda,hopper,1
52,52,105.06227111816406,2.0118374824523926,1017.7361450195312,0,552.1314697265625,46.05788040161133,393.68212890625,1017.0415649414062,121.97493505477905,1686908976.916352,339.40716552734375,1017.7124633789062,52,cgp,mu+lambda,hopper,1
53,53,121.49785614013672,2.011415958404541,1018.443115234375,0,1010.8169555664062,48.69224548339844,420.7467041015625,1017.0381469726562,124.000643491745,1686908978.9420605,370.96099853515625,1017.6486206054688,53,cgp,mu+lambda,hopper,1
54,54,107.505126953125,2.01472806930542,1018.041015625,0,384.14642333984375,46.348514556884766,384.4818420410156,1017.0050048828125,126.03065919876099,1686908980.9720762,320.2414855957031,1017.7587890625,54,cgp,mu+lambda,hopper,1
55,55,134.1758575439453,2.0157511234283447,1018.4526977539062,0,999.4422607421875,43.179168701171875,411.76666259765625,1017.076171875,128.06383085250854,1686908983.0052478,370.35992431640625,1017.1956176757812,55,cgp,mu+lambda,hopper,1
56,56,122.84227752685547,2.0167224407196045,1018.1517333984375,0,1001.5201416015625,56.04210662841797,408.2798767089844,1017.2982177734375,130.0983920097351,1686908985.039809,359.6262512207031,1017.3696899414062,56,cgp,mu+lambda,hopper,1
57,57,110.53474426269531,2.01369309425354,1017.4686279296875,0,627.5989990234375,45.66626739501953,401.66400146484375,1017.0409545898438,132.12700009346008,1686908987.068417,329.63226318359375,1017.4336547851562,57,cgp,mu+lambda,hopper,1
58,58,132.58958435058594,2.0171003341674805,1018.4777221679688,0,1003.862060546875,55.11459732055664,413.3119201660156,1016.2396850585938,134.1578950881958,1686908989.099312,367.6466064453125,1016.7897338867188,58,cgp,mu+lambda,hopper,1
59,59,112.57427978515625,2.0192151069641113,1016.8230590820312,0,517.6395263671875,46.0146598815918,394.9518737792969,1016.3887939453125,136.19126725196838,1686908991.1326842,339.6495361328125,1016.7379760742188,59,cgp,mu+lambda,hopper,1
60,60,103.91560363769531,2.019287586212158,1018.3890380859375,0,1002.254638671875,48.986175537109375,414.4141540527344,1017.268310546875,138.2243733406067,1686908993.1657903,345.5574951171875,1017.98291015625,60,cgp,mu+lambda,hopper,1
61,61,131.0228729248047,2.016439199447632,1017.111572265625,0,1007.7055053710938,63.67653274536133,9998.6630859375,1016.55322265625,140.25514459609985,1686908995.1965616,-601.2772827148438,1017.0537719726562,61,cgp,mu+lambda,hopper,1
62,62,124.44111633300781,2.016906976699829,1017.710693359375,0,1010.057373046875,44.58905029296875,423.4915466308594,1017.494384765625,142.28614330291748,1686908997.2275603,370.5967102050781,1017.6100463867188,62,cgp,mu+lambda,hopper,1
63,63,128.93394470214844,2.0187230110168457,1017.8280029296875,0,1004.1051025390625,49.55862808227539,408.06549072265625,1017.5363159179688,144.3193860054016,1686908999.260803,367.9913330078125,1017.6581420898438,63,cgp,mu+lambda,hopper,1
64,64,116.63008117675781,2.024033308029175,1017.6221313476562,0,1009.43603515625,43.936038970947266,9993.4404296875,1017.4495239257812,146.35795283317566,1686909001.2993698,-651.8191528320312,1017.4642333984375,64,cgp,mu+lambda,hopper,1
65,65,108.84677124023438,2.0054726600646973,1017.6265258789062,0,1011.2427978515625,45.8293571472168,421.9720764160156,1017.1566772460938,148.37656497955322,1686909003.317982,379.82073974609375,1017.4937133789062,65,cgp,mu+lambda,hopper,1
66,66,97.11338806152344,2.0098323822021484,1017.90576171875,0,1011.5095825195312,48.21605682373047,413.8692626953125,1017.3545532226562,150.39969205856323,1686909005.341109,380.37017822265625,1017.4615478515625,66,cgp,mu+lambda,hopper,1
67,67,121.41975402832031,2.009671926498413,1018.2393798828125,0,1003.1405029296875,45.70375061035156,410.0349426269531,1017.2567138671875,152.42210960388184,1686909007.3635266,359.06402587890625,1017.7696533203125,67,cgp,mu+lambda,hopper,1
68,68,136.51751708984375,2.0089540481567383,1018.26513671875,0,1008.35888671875,44.01414489746094,423.8074951171875,1016.3919677734375,154.44445943832397,1686909009.3858764,385.1031799316406,1017.3716430664062,68,cgp,mu+lambda,hopper,1
69,69,104.71043395996094,2.0287160873413086,1017.4287719726562,0,443.87628173828125,44.22896957397461,392.5623779296875,1016.7906494140625,156.49560070037842,1686909011.4370177,330.91351318359375,1017.26025390625,69,cgp,mu+lambda,hopper,1
70,70,126.17155456542969,2.0888168811798096,1017.6721801757812,0,1008.8865356445312,47.26911926269531,418.42230224609375,1017.0599975585938,158.60349559783936,1686909013.5449126,377.6929626464844,1017.5751953125,70,cgp,mu+lambda,hopper,1
71,71,107.10536193847656,2.0662503242492676,1022.9821166992188,0,1012.101318359375,47.261566162109375,423.3597106933594,1017.7279052734375,160.68737030029297,1686909015.6287873,384.5146484375,1018.0943603515625,71,cgp,mu+lambda,hopper,1
72,72,230.2016143798828,2.1395394802093506,1018.143310546875,0,1007.767578125,46.12084197998047,424.6502990722656,1017.9143676757812,162.84304666519165,1686909017.7844636,416.9284362792969,1018.0474853515625,72,cgp,mu+lambda,hopper,1
73,73,177.99688720703125,2.1093122959136963,1017.6550903320312,0,555.8209838867188,50.224952697753906,376.34326171875,1017.6044311523438,164.96875143051147,1686909019.9101684,344.0912780761719,1017.62353515625,73,cgp,mu+lambda,hopper,1
74,74,142.95480346679688,2.051776885986328,1017.9797973632812,0,999.81591796875,49.00019073486328,14059.0810546875,1017.1539916992188,167.0368070602417,1686909021.978224,-1627.4224853515625,1017.5155639648438,74,cgp,mu+lambda,hopper,1
75,75,100.42921447753906,2.0514910221099854,1018.2671508789062,0,406.1712341308594,50.557220458984375,398.80242919921875,1017.630859375,169.10358428955078,1686909024.0450013,322.9441833496094,1018.0657958984375,75,cgp,mu+lambda,hopper,1
76,76,129.53152465820312,2.0442404747009277,1017.9923706054688,0,1004.4605712890625,45.71978759765625,407.48388671875,1017.3241577148438,171.16379690170288,1686909026.1052139,357.91949462890625,1017.434814453125,76,cgp,mu+lambda,hopper,1
77,77,126.1151123046875,2.0445470809936523,1019.097900390625,0,809.5780639648438,44.36414337158203,404.1777038574219,1017.3804931640625,173.22572898864746,1686909028.167146,364.44232177734375,1017.57763671875,77,cgp,mu+lambda,hopper,1
78,78,105.23831176757812,2.0443577766418457,1017.8577880859375,0,696.1597290039062,47.88325500488281,401.8926696777344,1016.88916015625,175.2900025844574,1686909030.2314196,336.2581481933594,1017.2470703125,78,cgp,mu+lambda,hopper,1
79,79,93.8796157836914,2.031560182571411,1017.9391479492188,0,1002.1806640625,47.153045654296875,410.5796813964844,1017.4312744140625,177.3430154323578,1686909032.2844324,345.8533630371094,1017.5814819335938,79,cgp,mu+lambda,hopper,1
80,80,127.32986450195312,2.0275957584381104,1018.103515625,0,958.6419677734375,42.79012680053711,9994.3056640625,1016.9710083007812,179.39036083221436,1686909034.3317778,-641.3803100585938,1017.6517944335938,80,cgp,mu+lambda,hopper,1
81,81,165.1304168701172,2.0718557834625244,1017.9668579101562,0,1011.2388305664062,57.89946365356445,405.79150390625,1017.3316040039062,181.48662996292114,1686909036.428047,377.05224609375,1017.4915161132812,81,cgp,mu+lambda,hopper,1
82,82,130.95684814453125,2.0941808223724365,1017.6800537109375,0,1009.0069580078125,50.84712600708008,426.20751953125,1017.4874267578125,183.60921144485474,1686909038.5506284,382.8580627441406,1017.5136108398438,82,cgp,mu+lambda,hopper,1
83,83,140.27601623535156,2.0502254962921143,1018.3545532226562,0,1008.7197265625,53.21596908569336,9993.76953125,1017.344970703125,185.69395470619202,1686909040.6353717,-643.2451171875,1018.0452880859375,83,cgp,mu+lambda,hopper,1
84,84,137.95440673828125,2.126368999481201,1017.9978637695312,0,1010.4636840820312,51.699954986572266,419.7499694824219,1017.6224975585938,187.83419394493103,1686909042.775611,384.9722595214844,1017.7388305664062,84,cgp,mu+lambda,hopper,1
85,85,125.15007781982422,2.0925121307373047,1017.9412841796875,0,1000.252197265625,51.315250396728516,411.80621337890625,1017.5655517578125,189.9407844543457,1686909044.8822014,372.25341796875,1017.83935546875,85,cgp,mu+lambda,hopper,1
86,86,109.40904235839844,2.069248676300049,1018.1446533203125,0,1003.7745361328125,44.852054595947266,408.486328125,1017.5961303710938,192.02510523796082,1686909046.9665222,361.1249084472656,1017.8341064453125,86,cgp,mu+lambda,hopper,1
87,87,155.744873046875,2.0314183235168457,1017.4961547851562,0,478.656982421875,60.98856735229492,381.9319152832031,1017.3920288085938,194.07162261009216,1686909049.0130396,344.71844482421875,1017.4450073242188,87,cgp,mu+lambda,hopper,1
88,88,140.31689453125,2.061386823654175,1018.0375366210938,0,586.6966552734375,44.010719299316406,9992.5302734375,1017.7391357421875,196.14855313301086,1686909051.08997,-653.9389038085938,1017.9277954101562,88,cgp,mu+lambda,hopper,1
89,89,166.13844299316406,2.0567519664764404,1018.684814453125,0,673.419677734375,52.50465774536133,395.16644287109375,1017.90625,198.21938252449036,1686909053.1607995,368.5841064453125,1018.3800048828125,89,cgp,mu+lambda,hopper,1
90,90,133.28866577148438,2.0471460819244385,1018.5037841796875,0,1011.91357421875,49.73851776123047,425.2651062011719,1017.3624877929688,200.28096437454224,1686909055.2223814,399.9437561035156,1017.546142578125,90,cgp,mu+lambda,hopper,1
91,91,147.98257446289062,2.0399041175842285,1017.615234375,0,1009.0376586914062,49.720096588134766,421.4123840332031,1017.2529907226562,202.3354527950287,1686909057.2768698,382.85546875,1017.37353515625,91,cgp,mu+lambda,hopper,1
92,92,126.81269836425781,2.0411555767059326,1017.7225952148438,0,1006.7138671875,51.263519287109375,414.0697021484375,1017.145751953125,204.39116096496582,1686909059.332578,364.0513916015625,1017.4638061523438,92,cgp,mu+lambda,hopper,1
93,93,137.43557739257812,2.03584361076355,1018.0756225585938,0,1007.4774169921875,49.898399353027344,414.2239074707031,1016.5792846679688,206.44087862968445,1686909061.3822956,367.0580749511719,1017.0252075195312,93,cgp,mu+lambda,hopper,1
94,94,133.12796020507812,2.0371029376983643,1018.33642578125,0,1000.2476806640625,50.56254577636719,407.503662109375,1017.875732421875,208.49248337745667,1686909063.4339004,360.50726318359375,1018.2704467773438,94,cgp,mu+lambda,hopper,1
95,95,108.81024169921875,2.0383353233337402,1017.9019775390625,0,1003.9566650390625,53.8266716003418,414.2484130859375,1017.23486328125,210.54486918449402,1686909065.4862862,376.38494873046875,1017.4488525390625,95,cgp,mu+lambda,hopper,1
96,96,139.6373291015625,2.041152000427246,1019.8316650390625,0,948.1370849609375,56.126243591308594,408.4750671386719,1017.1455078125,212.6012876033783,1686909067.5427046,365.06689453125,1018.00341796875,96,cgp,mu+lambda,hopper,1
97,97,92.43731689453125,2.0374648571014404,1018.4668579101562,0,843.7001953125,46.76852035522461,407.27294921875,1017.4050903320312,214.65266251564026,1686909069.5940795,335.3318786621094,1017.5505981445312,97,cgp,mu+lambda,hopper,1
98,98,112.19625854492188,2.0353403091430664,1018.631103515625,0,772.3447265625,55.90471649169922,403.4891662597656,1017.840576171875,216.70321559906006,1686909071.6446326,340.4963073730469,1018.0114135742188,98,cgp,mu+lambda,hopper,1
99,99,101.09199523925781,2.0431432723999023,1017.8798217773438,0,485.4163818359375,42.76365280151367,392.9770202636719,1017.3533935546875,218.7629017829895,1686909073.7043188,332.8121337890625,1017.5393676757812,99,cgp,mu+lambda,hopper,1
100,100,163.66085815429688,2.041116237640381,1018.6692504882812,0,853.3260498046875,48.80162048339844,398.8429260253906,1016.8798217773438,220.8190734386444,1686909075.7604904,365.1418762207031,1017.1668090820312,100,cgp,mu+lambda,hopper,1
101,101,147.057373046875,2.042908191680908,1018.08837890625,0,1001.8058471679688,55.421512603759766,404.1942138671875,1017.3580322265625,222.8756241798401,1686909077.8170412,374.9706115722656,1017.5582885742188,101,cgp,mu+lambda,hopper,1
102,102,134.0296173095703,2.0387861728668213,1018.156005859375,0,528.318603515625,43.95271301269531,395.54107666015625,1017.1824340820312,224.92994689941406,1686909079.8713639,331.577880859375,1017.8486938476562,102,cgp,mu+lambda,hopper,1
103,103,175.90975952148438,2.041733741760254,1018.0902709960938,0,600.9046630859375,49.17314147949219,386.7790832519531,1017.2147216796875,226.98690223693848,1686909081.9283192,345.39013671875,1017.5781860351562,103,cgp,mu+lambda,hopper,1
104,104,92.525634765625,2.0399646759033203,1018.53076171875,0,977.8712768554688,55.73002624511719,420.6231994628906,1017.9113159179688,229.0418016910553,1686909083.9832187,353.70513916015625,1018.136474609375,104,cgp,mu+lambda,hopper,1
105,105,149.5328369140625,2.0419836044311523,1017.6793823242188,0,677.681884765625,41.10049057006836,401.40155029296875,1016.4317016601562,231.09982895851135,1686909086.041246,344.0181884765625,1017.007080078125,105,cgp,mu+lambda,hopper,1
106,106,105.75233459472656,2.040665864944458,1017.9255981445312,0,840.429443359375,47.599891662597656,405.34222412109375,1017.3904418945312,233.15605187416077,1686909088.0974689,357.68109130859375,1017.5487060546875,106,cgp,mu+lambda,hopper,1
107,107,133.34432983398438,2.0312647819519043,1017.9917602539062,0,1011.2147216796875,41.904205322265625,412.420654296875,1017.6934204101562,235.2033486366272,1686909090.1447656,361.38623046875,1017.8594360351562,107,cgp,mu+lambda,hopper,1
108,108,147.2161865234375,2.033590078353882,1017.6573486328125,0,1010.177734375,48.623802185058594,412.708984375,1017.5017700195312,237.2524151802063,1686909092.1938322,373.39398193359375,1017.6292114257812,108,cgp,mu+lambda,hopper,1
109,109,129.38388061523438,2.03896427154541,1018.0025024414062,0,765.62451171875,59.87154006958008,398.52288818359375,1016.7681884765625,239.31035923957825,1686909094.2517762,349.4635009765625,1016.7938842773438,109,cgp,mu+lambda,hopper,1
110,110,170.15139770507812,2.05444073677063,1017.7172241210938,0,1008.334716796875,54.638267517089844,415.5825500488281,1017.5095825195312,241.39534783363342,1686909096.3367648,408.2326965332031,1017.5751342773438,110,cgp,mu+lambda,hopper,1
111,111,82.03746795654297,2.0445263385772705,1017.7498168945312,0,386.1828308105469,43.527156829833984,402.5263977050781,1016.9104614257812,243.45246958732605,1686909098.3938866,313.43939208984375,1017.6950073242188,111,cgp,mu+lambda,hopper,1
112,112,104.51888275146484,2.044893741607666,1017.5885009765625,0,660.4852294921875,46.94691467285156,400.8860778808594,1017.114013671875,245.51082015037537,1686909100.4522371,339.6846923828125,1017.2973022460938,112,cgp,mu+lambda,hopper,1
113,113,119.43705749511719,2.040816068649292,1018.8368530273438,0,1010.013916015625,49.73530578613281,427.82830810546875,1017.835205078125,247.56451511383057,1686909102.505932,385.61029052734375,1018.0489501953125,113,cgp,mu+lambda,hopper,1
114,114,263.681396484375,2.050530433654785,1017.9453125,0,1004.2302856445312,54.35295104980469,397.7019958496094,1017.0831298828125,249.6276617050171,1686909104.5690787,407.0702209472656,1017.3606567382812,114,cgp,mu+lambda,hopper,1
115,115,166.58786010742188,2.034702777862549,1017.5529174804688,0,497.09832763671875,53.98992919921875,380.22216796875,1017.2670288085938,251.6753966808319,1686909106.6168137,341.0329895019531,1017.398681640625,115,cgp,mu+lambda,hopper,1
116,116,100.0574951171875,2.038693428039551,1018.234130859375,0,453.0471496582031,43.56120300292969,393.8900146484375,1017.8299560546875,253.7274215221405,1686909108.6688385,326.09246826171875,1018.0985717773438,116,cgp,mu+lambda,hopper,1
117,117,211.27142333984375,2.040487766265869,1018.4007568359375,0,1007.4417724609375,56.5222053527832,401.0334777832031,1017.2748413085938,255.78023052215576,1686909110.7216475,382.7605285644531,1018.0582885742188,117,cgp,mu+lambda,hopper,1
