,training.generation,training.fitness_mean,_timestamp,training.fitness_1q,training.fitness_3q,training.top_k_fit.top_0_fit,_step,training.fitness_median,training.evaluation_time,training.fitness_std,training.top_k_fit.top_1_fit,_runtime,training.run_id,training.top_k_fit.top_2_fit,solver,ea,environment,seed
16,16,416.63037109375,1686925559.1443424,832.9283447265625,69.10465240478516,1009.793212890625,16,176.5931396484375,2.084639549255371,396.4755859375,1008.8997192382812,50.35598850250244,0,1005.7462158203125,cgp,mu+lambda,hopper,9
17,17,404.1536560058594,1686925561.231504,885.7249755859375,69.07376098632812,1023.135009765625,17,178.7351837158203,2.073253631591797,405.5157470703125,1010.1141357421875,52.44315004348755,0,1008.6698608398438,cgp,mu+lambda,hopper,9
18,18,365.50048828125,1686925563.3145392,924.82763671875,55.63943099975586,1007.7158203125,18,131.14596557617188,2.068594217300415,407.932861328125,1006.5403442382812,54.526185274124146,0,1004.5882568359375,cgp,mu+lambda,hopper,9
19,19,377.27630615234375,1686925565.3973591,943.3370361328125,55.07829284667969,1007.9384765625,19,136.22950744628906,2.067413330078125,408.2886657714844,1005.53369140625,56.60900521278381,0,1001.753173828125,cgp,mu+lambda,hopper,9
20,20,387.1296081542969,1686925567.5030205,994.0199584960938,47.94114685058594,1011.3506469726562,20,104.62442016601562,2.0932302474975586,431.28643798828125,1009.3225708007812,58.71466660499573,0,1003.890625,cgp,mu+lambda,hopper,9
21,21,401.82470703125,1686925569.5875196,995.351318359375,49.099544525146484,1012.5936889648438,21,127.90863037109375,2.0717897415161133,434.6159973144531,1009.2747802734375,60.79916572570801,0,1005.3994140625,cgp,mu+lambda,hopper,9
22,22,390.10595703125,1686925571.6815588,996.634521484375,38.705039978027344,1016.7288208007812,22,92.430419921875,2.082836627960205,444.5159912109375,1007.5498657226562,62.89320492744446,0,1007.4598999023438,cgp,mu+lambda,hopper,9
23,23,409.6184387207031,1686925573.7653525,996.880126953125,47.980350494384766,1013.6354370117188,23,109.45130157470703,2.071784257888794,445.5449523925781,1008.0994262695312,64.97699856758118,0,1005.996337890625,cgp,mu+lambda,hopper,9
24,24,-655.7988891601562,1686925575.8530965,984.70654296875,50.53805923461914,1006.6972045898438,24,103.7194595336914,2.074800729751587,9992.505859375,1006.5192260742188,67.06474256515503,0,1005.1415405273438,cgp,mu+lambda,hopper,9
25,25,435.0832824707031,1686925577.9402192,993.0890502929688,51.9853401184082,1013.3973388671875,25,153.47637939453125,2.0736260414123535,441.1803283691406,1009.3463134765625,69.15186524391174,0,1007.528076171875,cgp,mu+lambda,hopper,9
26,26,430.1961669921875,1686925580.0276427,998.4974975585938,51.757957458496094,1015.8364868164062,26,113.52698516845703,2.0738837718963623,445.4297180175781,1014.9909057617188,71.23928880691528,0,1012.0634155273438,cgp,mu+lambda,hopper,9
27,27,413.3358459472656,1686925582.1108098,998.5379638671875,52.56165313720703,1018.988525390625,27,112.15636444091797,2.070075511932373,442.02789306640625,1016.5150146484375,73.32245588302612,0,1011.8746948242188,cgp,mu+lambda,hopper,9
28,28,450.2327575683594,1686925584.1964974,998.537109375,51.02763748168945,1018.2939453125,28,201.36260986328125,2.072309970855713,444.2250061035156,1016.3174438476562,75.40814352035522,0,1016.1710205078125,cgp,mu+lambda,hopper,9
29,29,420.0759582519531,1686925586.283674,998.004150390625,54.51589584350586,1017.7745361328125,29,151.30029296875,2.0745041370391846,441.44439697265625,1016.8505859375,77.49532008171082,0,1016.3326416015625,cgp,mu+lambda,hopper,9
30,30,380.65093994140625,1686925588.3680644,998.9840698242188,57.84019470214844,1018.656982421875,30,112.65541076660156,2.072768211364746,432.6351318359375,1017.103759765625,79.57971048355103,0,1013.7550048828125,cgp,mu+lambda,hopper,9
31,31,412.1558837890625,1686925590.466454,1000.2998046875,59.52185821533203,1016.5299072265625,31,123.8056640625,2.084859848022461,444.37286376953125,1016.1849975585938,81.67810010910034,0,1014.0601196289062,cgp,mu+lambda,hopper,9
32,32,421.7428283691406,1686925592.5895545,998.5240478515625,59.57957458496094,1017.8409423828125,32,162.85934448242188,2.109248161315918,428.76080322265625,1017.2376098632812,83.80120062828064,0,1016.661865234375,cgp,mu+lambda,hopper,9
33,33,487.7482604980469,1686925594.741185,1004.2468872070312,51.56731033325195,1020.8082885742188,33,218.9327392578125,2.1390116214752197,465.5005187988281,1017.2030029296875,85.95283102989197,0,1015.983642578125,cgp,mu+lambda,hopper,9
34,34,445.7654724121094,1686925596.8707712,1004.4468994140625,65.98634338378906,1023.4163818359375,34,207.62509155273438,2.1164023876190186,442.4111022949219,1016.9169921875,88.08241724967957,0,1016.7616577148438,cgp,mu+lambda,hopper,9
35,35,441.1257629394531,1686925598.9885843,1005.3167114257812,56.38916778564453,1018.9699096679688,35,162.0972442626953,2.105268955230713,442.50830078125,1017.671875,90.20023036003113,0,1016.7853393554688,cgp,mu+lambda,hopper,9
36,36,480.5768737792969,1686925601.0903418,1006.6268920898438,67.81986999511719,1021.8800048828125,36,236.97586059570312,2.0892555713653564,445.5697021484375,1021.1804809570312,92.30198788642883,0,1018.06298828125,cgp,mu+lambda,hopper,9
37,37,433.6060791015625,1686925603.18971,1007.8397827148438,59.33230972290039,1018.7481079101562,37,151.44619750976562,2.0867748260498047,443.92230224609375,1018.2716064453125,94.40135598182678,0,1018.0718383789062,cgp,mu+lambda,hopper,9
38,38,459.0869445800781,1686925605.280001,1006.7830200195312,53.433406829833984,1020.2301635742188,38,128.87396240234375,2.076963186264038,459.9393310546875,1019.29833984375,96.49164700508118,0,1019.2081909179688,cgp,mu+lambda,hopper,9
39,39,397.4175720214844,1686925607.368425,1007.137451171875,45.18780517578125,1024.216552734375,39,113.6917724609375,2.0748913288116455,446.0712890625,1021.8980102539062,98.58007097244263,0,1021.6767578125,cgp,mu+lambda,hopper,9
40,40,383.83331298828125,1686925609.4516788,1002.4306030273438,55.97917938232422,1021.8870239257812,40,131.14707946777344,2.0704915523529053,426.22222900390625,1020.6615600585938,100.66332483291626,0,1020.0869750976562,cgp,mu+lambda,hopper,9
41,41,452.31878662109375,1686925611.5303826,1011.678955078125,59.00572967529297,1024.0521240234375,41,186.78244018554688,2.0657799243927,446.2474060058594,1020.8377685546875,102.74202871322632,0,1020.6087646484375,cgp,mu+lambda,hopper,9
42,42,510.20220947265625,1686925613.6033976,1008.5617065429688,66.16303253173828,1024.8896484375,42,314.4259338378906,2.0597167015075684,446.518310546875,1022.978759765625,104.81504368782043,0,1022.957763671875,cgp,mu+lambda,hopper,9
43,43,539.1160278320312,1686925615.684202,1009.2139892578125,71.3973159790039,1023.8006591796875,43,333.0534362792969,2.067526340484619,457.6441955566406,1021.7928466796875,106.89584803581238,0,1021.0681762695312,cgp,mu+lambda,hopper,9
44,44,467.14599609375,1686925617.7614372,1010.0257568359375,59.397499084472656,1021.5020751953125,44,210.69189453125,2.064664840698242,453.8707275390625,1019.9103393554688,108.97308325767517,0,1019.1780395507812,cgp,mu+lambda,hopper,9
45,45,395.4463195800781,1686925619.8395085,1011.21142578125,55.0233154296875,1023.9898071289062,45,116.84536743164062,2.064817428588867,442.94964599609375,1021.66064453125,111.05115461349487,0,1019.7086181640625,cgp,mu+lambda,hopper,9
46,46,430.38177490234375,1686925621.9159343,1010.6785888671875,51.35562515258789,1024.8236083984375,46,162.94552612304688,2.062901258468628,447.43572998046875,1023.1332397460938,113.12758040428162,0,1021.4371337890625,cgp,mu+lambda,hopper,9
47,47,478.1790466308594,1686925623.9906707,1010.634521484375,68.71556091308594,1022.1065673828125,47,186.38438415527344,2.0621042251586914,451.12188720703125,1021.8027954101562,115.20231676101685,0,1020.2457885742188,cgp,mu+lambda,hopper,9
48,48,512.2896728515625,1686925626.0662053,1010.1865844726562,76.95805358886719,1023.1773681640625,48,233.82049560546875,2.0621938705444336,451.1894226074219,1022.3033447265625,117.27785134315491,0,1021.4793701171875,cgp,mu+lambda,hopper,9
49,49,521.1793823242188,1686925628.1391606,1010.6092529296875,72.51519775390625,1023.987060546875,49,240.2263641357422,2.0604841709136963,456.7038269042969,1023.244873046875,119.35080671310425,0,1022.4010620117188,cgp,mu+lambda,hopper,9
50,50,481.3392333984375,1686925630.2119825,1009.75390625,62.78360366821289,1022.149169921875,50,194.1146240234375,2.0603904724121094,452.79742431640625,1020.4130249023438,121.42362856864929,0,1019.8681030273438,cgp,mu+lambda,hopper,9
51,51,478.6965637207031,1686925632.2816975,1009.8764038085938,87.97932434082031,1022.8484497070312,51,202.39413452148438,2.056922674179077,436.3385314941406,1021.8671264648438,123.49334359169006,0,1021.7314453125,cgp,mu+lambda,hopper,9
52,52,470.7359313964844,1686925634.3578577,1011.9937744140625,64.14679718017578,1022.846923828125,52,162.62579345703125,2.0628483295440674,451.9256896972656,1022.7652587890625,125.56950378417969,0,1020.708251953125,cgp,mu+lambda,hopper,9
53,53,479.3625793457031,1686925636.4311073,1012.7952270507812,55.52128982543945,1023.430908203125,53,160.65371704101562,2.0607240200042725,462.7504577636719,1022.3943481445312,127.64275336265564,0,1021.4125366210938,cgp,mu+lambda,hopper,9
54,54,465.73565673828125,1686925638.5037386,1010.0900268554688,64.3521957397461,1021.2445068359375,54,152.03176879882812,2.059265613555908,452.5925598144531,1020.97802734375,129.71538472175598,0,1018.7918701171875,cgp,mu+lambda,hopper,9
55,55,481.25677490234375,1686925640.5779305,1010.8360595703125,60.08098602294922,1023.962158203125,55,170.39437866210938,2.0610413551330566,459.3287048339844,1023.2183227539062,131.78957653045654,0,1021.4979248046875,cgp,mu+lambda,hopper,9
56,56,458.54217529296875,1686925642.6496723,1010.378173828125,46.605224609375,1023.3938598632812,56,175.25146484375,2.058647394180298,452.15643310546875,1022.71533203125,133.86131834983826,0,1022.104736328125,cgp,mu+lambda,hopper,9
57,57,550.0294189453125,1686925644.7253232,1014.039306640625,77.75144958496094,1023.9970703125,57,586.7775268554688,2.062650203704834,459.6881408691406,1021.7305908203125,135.93696928024292,0,1021.3591918945312,cgp,mu+lambda,hopper,9
58,58,518.0534057617188,1686925646.7988725,1009.1511840820312,79.80440521240234,1023.0603637695312,58,266.53326416015625,2.0612106323242188,450.4181213378906,1022.19384765625,138.0105185508728,0,1020.5342407226562,cgp,mu+lambda,hopper,9
59,59,440.1570129394531,1686925648.8706236,1010.4775390625,55.83102798461914,1022.8692016601562,59,173.88433837890625,2.058406114578247,442.8795471191406,1022.1742553710938,140.0822696685791,0,1020.2232055664062,cgp,mu+lambda,hopper,9
60,60,550.6821899414062,1686925650.9443464,1011.4663696289062,79.0457763671875,1023.224853515625,60,531.9181518554688,2.0605416297912598,455.4876403808594,1023.0889892578125,142.15599250793457,0,1021.1095581054688,cgp,mu+lambda,hopper,9
61,61,445.0534973144531,1686925653.0117197,1013.6929931640625,50.071407318115234,1024.09912109375,61,113.71695709228516,2.0546083450317383,463.5011901855469,1023.054443359375,144.2233657836914,0,1021.8441772460938,cgp,mu+lambda,hopper,9
62,62,489.9328918457031,1686925655.0816362,1009.9154052734375,66.69512939453125,1023.4703369140625,62,210.36456298828125,2.058053493499756,451.4494934082031,1022.0994262695312,146.29328227043152,0,1021.2685546875,cgp,mu+lambda,hopper,9
63,63,469.9923400878906,1686925657.148062,1009.739013671875,65.74024200439453,1021.2860107421875,63,186.13201904296875,2.053750991821289,455.0083923339844,1020.9746704101562,148.359708070755,0,1020.1390380859375,cgp,mu+lambda,hopper,9
64,64,428.7499084472656,1686925659.2219102,1009.29248046875,55.60978698730469,1024.323486328125,64,157.12342834472656,2.060417413711548,439.45184326171875,1023.9003295898438,150.43355631828308,0,1023.5422973632812,cgp,mu+lambda,hopper,9
65,65,-1558.0,1686925661.2914405,1010.0921020507812,54.54528045654297,1025.252685546875,65,139.93409729003906,2.0574474334716797,14070.3193359375,1022.6598510742188,152.50308656692505,0,1021.6900634765625,cgp,mu+lambda,hopper,9
66,66,504.9050598144531,1686925663.3547707,1016.1808471679688,73.96985626220703,1023.021240234375,66,223.44424438476562,2.0508506298065186,459.9932861328125,1022.3720092773438,154.56641674041748,0,1022.1246337890625,cgp,mu+lambda,hopper,9
67,67,540.7763671875,1686925665.4212692,1012.4891357421875,68.62290954589844,1023.81103515625,67,461.08990478515625,2.0533270835876465,456.9612731933594,1022.2418823242188,156.6329152584076,0,1021.6485595703125,cgp,mu+lambda,hopper,9
68,68,478.0773620605469,1686925667.4878678,1012.073974609375,73.76432037353516,1023.457275390625,68,195.71475219726562,2.0524556636810303,446.37744140625,1021.6183471679688,158.69951391220093,0,1021.1962280273438,cgp,mu+lambda,hopper,9
69,69,467.0025634765625,1686925669.5553472,1011.012451171875,62.62705612182617,1024.5054931640625,69,163.87823486328125,2.0531961917877197,447.79736328125,1022.7058715820312,160.76699328422546,0,1021.63330078125,cgp,mu+lambda,hopper,9
70,70,502.23101806640625,1686925671.6248872,1011.9172973632812,64.75009155273438,1025.378662109375,70,213.72140502929688,2.0535287857055664,465.4208679199219,1022.9525146484375,162.83653330802917,0,1022.61474609375,cgp,mu+lambda,hopper,9
71,71,472.76202392578125,1686925673.6965516,1013.8134765625,66.06307983398438,1022.277587890625,71,145.9846649169922,2.056948661804199,456.0780944824219,1021.942138671875,164.90819764137268,0,1021.4729614257812,cgp,mu+lambda,hopper,9
72,72,544.5283203125,1686925675.7660668,1015.6693115234375,73.71013641357422,1024.8353271484375,72,437.29571533203125,2.056652307510376,454.5425109863281,1024.0997314453125,166.97771286964417,0,1021.9959106445312,cgp,mu+lambda,hopper,9
73,73,512.5609741210938,1686925677.8337667,1014.900146484375,63.46865463256836,1022.9801025390625,73,211.9595947265625,2.0542943477630615,464.6161804199219,1022.0316162109375,169.04541277885437,0,1021.5841064453125,cgp,mu+lambda,hopper,9
74,74,525.351318359375,1686925679.900073,1011.6761474609375,80.41835021972656,1023.2606201171875,74,225.150634765625,2.052358627319336,457.33795166015625,1020.0096435546875,171.11171913146973,0,1019.5963745117188,cgp,mu+lambda,hopper,9
75,75,521.7769165039062,1686925681.966055,1010.6658325195312,71.03242492675781,1023.1837768554688,75,208.3602752685547,2.052704095840454,457.46710205078125,1021.454833984375,173.17770099639893,0,1021.2311401367188,cgp,mu+lambda,hopper,9
76,76,500.83929443359375,1686925684.0326073,1012.8092041015625,61.39732360839844,1022.3182373046875,76,223.9667510986328,2.052692413330078,450.5682373046875,1020.94482421875,175.24425339698792,0,1020.739013671875,cgp,mu+lambda,hopper,9
77,77,-510.8882751464844,1686925686.0978992,1013.2096557617188,53.64698028564453,1023.3236083984375,77,201.33108520507812,2.051387071609497,10009.6552734375,1023.0259399414062,177.3095452785492,0,1022.7686767578125,cgp,mu+lambda,hopper,9
78,78,-499.72308349609375,1686925688.165965,1013.6488037109375,67.5574951171875,1024.42919921875,78,175.63232421875,2.054645538330078,10010.5361328125,1021.6368408203125,179.37761116027832,0,1021.5581665039062,cgp,mu+lambda,hopper,9
79,79,458.0343017578125,1686925690.2353146,1010.8369140625,48.2393684387207,1024.406005859375,79,147.9893341064453,2.055115222930908,460.4952087402344,1024.1573486328125,181.44696068763733,0,1023.2392578125,cgp,mu+lambda,hopper,9
80,80,476.1285705566406,1686925692.297404,1011.1964111328125,49.92612075805664,1022.4207763671875,80,155.12554931640625,2.0504841804504395,456.2418212890625,1022.2884521484375,183.50905013084412,0,1022.0087890625,cgp,mu+lambda,hopper,9
81,81,559.9168701171875,1686925694.3622425,1013.3207397460938,84.32418823242188,1024.4793701171875,81,721.2337646484375,2.0517425537109375,455.7792663574219,1022.8260498046875,185.57388854026794,0,1021.1793823242188,cgp,mu+lambda,hopper,9
82,82,445.46875,1686925696.4285128,1012.13818359375,52.62953186035156,1024.00048828125,82,146.34375,2.052891492843628,451.8216247558594,1021.0731811523438,187.64015889167786,0,1020.8284301757812,cgp,mu+lambda,hopper,9
83,83,546.6891479492188,1686925698.48956,1010.3309326171875,70.16858673095703,1023.896728515625,83,373.418212890625,2.046377182006836,450.265380859375,1023.325927734375,189.7012059688568,0,1022.9142456054688,cgp,mu+lambda,hopper,9
84,84,478.9649963378906,1686925700.5548155,1011.1259765625,61.71214294433594,1022.465087890625,84,152.06259155273438,2.052708387374878,456.6972961425781,1021.2906494140625,191.76646161079407,0,1019.7984008789062,cgp,mu+lambda,hopper,9
85,85,462.8899841308594,1686925702.619871,1010.915283203125,56.425270080566406,1023.9169921875,85,196.3410186767578,2.0520431995391846,448.108154296875,1023.6555786132812,193.83151698112488,0,1022.5633544921875,cgp,mu+lambda,hopper,9
86,86,405.9349060058594,1686925704.6848798,1010.6334228515625,55.01630783081055,1021.7015380859375,86,99.08090209960938,2.0517709255218506,456.40179443359375,1021.3748168945312,195.89652585983276,0,1021.0377807617188,cgp,mu+lambda,hopper,9
87,87,423.3751525878906,1686925706.7458298,1001.7745361328125,62.96382522583008,1021.699462890625,87,128.83050537109375,2.0486080646514893,450.7510070800781,1021.3418579101562,197.95747590065002,0,1020.300048828125,cgp,mu+lambda,hopper,9
88,88,424.11529541015625,1686925708.8136985,1010.1756591796875,50.88465118408203,1022.9046020507812,88,152.92649841308594,2.0549728870391846,444.6061706542969,1022.656982421875,200.02534461021423,0,1021.971923828125,cgp,mu+lambda,hopper,9
89,89,496.55706787109375,1686925710.877153,1012.90478515625,58.395790100097656,1024.2301025390625,89,216.26446533203125,2.0505402088165283,470.3132629394531,1021.8323364257812,202.08879899978638,0,1021.3630981445312,cgp,mu+lambda,hopper,9
90,90,453.4488220214844,1686925712.9403164,1010.123046875,60.483917236328125,1024.498779296875,90,182.23194885253906,2.0500259399414062,441.134033203125,1022.0772705078125,204.15196251869202,0,1021.2947998046875,cgp,mu+lambda,hopper,9
91,91,506.17108154296875,1686925715.0063343,1012.8416748046875,73.26844024658203,1023.058837890625,91,261.76348876953125,2.0529558658599854,451.8403015136719,1022.58251953125,206.21798038482666,0,1022.2118530273438,cgp,mu+lambda,hopper,9
92,92,476.4371643066406,1686925717.0696852,1011.5711669921875,82.22438049316406,1024.406005859375,92,201.01658630371094,2.0494723320007324,444.46002197265625,1023.9735717773438,208.28133130073547,0,1023.0277709960938,cgp,mu+lambda,hopper,9
93,93,449.43023681640625,1686925719.1338556,1013.4911499023438,74.8761215209961,1024.5338134765625,93,154.2936248779297,2.0506811141967773,441.996826171875,1022.8291625976562,210.34550166130066,0,1022.274169921875,cgp,mu+lambda,hopper,9
94,94,464.9068298339844,1686925721.2039304,1012.167724609375,53.311767578125,1023.6769409179688,94,162.71804809570312,2.0563278198242188,453.9305114746094,1023.2453002929688,212.4155764579773,0,1022.7540893554688,cgp,mu+lambda,hopper,9
95,95,466.1525573730469,1686925723.2675653,1015.0509033203125,38.89492416381836,1024.3699951171875,95,133.7117156982422,2.051698684692383,468.5713806152344,1023.6062622070312,214.47921133041382,0,1023.1495361328125,cgp,mu+lambda,hopper,9
96,96,-524.9776611328125,1686925725.330246,1017.0745849609375,47.530757904052734,1023.9468994140625,96,213.11944580078125,2.050062417984009,10007.845703125,1023.5000610351562,216.54189205169678,0,1023.1621704101562,cgp,mu+lambda,hopper,9
97,97,484.5682678222656,1686925727.394297,1016.521240234375,53.110443115234375,1024.646728515625,97,228.62289428710938,2.0515522956848145,457.35943603515625,1024.085693359375,218.60594296455383,0,1023.40869140625,cgp,mu+lambda,hopper,9
98,98,526.8404541015625,1686925729.4622629,1012.52392578125,62.63835525512695,1025.110107421875,98,363.63555908203125,2.0549285411834717,458.51275634765625,1023.495361328125,220.67390894889832,0,1023.27197265625,cgp,mu+lambda,hopper,9
99,99,497.1736755371094,1686925731.5281668,1015.9137573242188,80.81036376953125,1024.39404296875,99,191.54409790039062,2.0514400005340576,459.5841979980469,1023.1910400390625,222.73981285095215,0,1022.6543579101562,cgp,mu+lambda,hopper,9
100,100,592.8447265625,1686925733.584007,1013.8806762695312,97.47166442871094,1022.9896240234375,100,985.993896484375,2.043595552444458,444.8447570800781,1022.5059204101562,224.7956531047821,0,1021.3071899414062,cgp,mu+lambda,hopper,9
101,101,470.0299987792969,1686925735.6469512,1012.7978515625,52.222652435302734,1024.78271484375,101,228.54550170898438,2.049811363220215,443.8139953613281,1022.1832885742188,226.85859727859497,0,1022.13671875,cgp,mu+lambda,hopper,9
102,102,523.2783813476562,1686925737.711728,1015.3433227539062,79.12889862060547,1022.510986328125,102,332.221923828125,2.0523900985717773,444.4804992675781,1022.5027465820312,228.9233741760254,0,1021.8966064453125,cgp,mu+lambda,hopper,9
103,103,435.96685791015625,1686925739.7776158,1010.6472778320312,59.1829833984375,1024.564208984375,103,148.44418334960938,2.052373170852661,438.4010314941406,1022.619140625,230.98926186561584,0,1022.2902221679688,cgp,mu+lambda,hopper,9
104,104,511.29681396484375,1686925741.837599,1014.8041381835938,64.57427978515625,1034.912109375,104,239.7447509765625,2.0464258193969727,453.7406311035156,1022.9384765625,233.04924511909485,0,1022.7346801757812,cgp,mu+lambda,hopper,9
105,105,459.04022216796875,1686925743.9017766,1012.9356689453125,57.52172088623047,1049.84033203125,105,163.50872802734375,2.0520615577697754,450.7386474609375,1022.8345336914062,235.1134226322174,0,1022.6730346679688,cgp,mu+lambda,hopper,9
106,106,459.63787841796875,1686925745.9645875,1010.7679443359375,59.25009536743164,1035.2242431640625,106,158.3302001953125,2.049753189086914,457.6925964355469,1023.869873046875,237.17623353004456,0,1023.8698120117188,cgp,mu+lambda,hopper,9
107,107,478.5745544433594,1686925748.026613,1014.4031372070312,60.92974853515625,1047.0174560546875,107,210.92422485351562,2.0483877658843994,451.3003234863281,1022.99169921875,239.23825907707214,0,1022.6478271484375,cgp,mu+lambda,hopper,9
108,108,500.3475036621094,1686925750.0869763,1014.6517333984375,49.273162841796875,1039.1220703125,108,238.33993530273438,2.04817533493042,462.4961853027344,1025.4833984375,241.29862236976624,0,1024.9849853515625,cgp,mu+lambda,hopper,9
109,109,504.1669921875,1686925752.1508808,1014.7892456054688,60.72865676879883,1041.323486328125,109,223.85775756835938,2.0528316497802734,452.94647216796875,1024.3326416015625,243.36252689361572,0,1023.7940063476562,cgp,mu+lambda,hopper,9
110,110,468.5006408691406,1686925754.2122366,1012.510498046875,49.548545837402344,1042.5269775390625,110,179.84262084960938,2.0482308864593506,457.9065856933594,1039.378662109375,245.42388272285461,0,1024.559326171875,cgp,mu+lambda,hopper,9
111,111,502.93023681640625,1686925756.274745,1014.7308959960938,51.685394287109375,1046.6551513671875,111,235.52734375,2.0495855808258057,464.7871398925781,1040.97314453125,247.48639106750488,0,1036.324462890625,cgp,mu+lambda,hopper,9
112,112,513.1454467773438,1686925758.3426769,1015.6749267578125,59.9287223815918,1047.0145263671875,112,270.4177551269531,2.0547921657562256,466.3641662597656,1043.348388671875,249.55432295799255,0,1036.7337646484375,cgp,mu+lambda,hopper,9
113,113,418.3327331542969,1686925760.4026423,1013.99560546875,47.79640197753906,1047.7864990234375,113,119.48402404785156,2.047027349472046,444.5288391113281,1046.8702392578125,251.61428833007812,0,1039.1514892578125,cgp,mu+lambda,hopper,9
114,114,415.78857421875,1686925762.463686,1013.5442504882812,52.8746337890625,1051.8035888671875,114,138.9467010498047,2.048142671585083,447.9632263183594,1050.9757080078125,253.67533206939697,0,1047.01123046875,cgp,mu+lambda,hopper,9
115,115,470.1225280761719,1686925764.5254982,1015.8868408203125,72.57127380371094,1046.5758056640625,115,180.71170043945312,2.048513412475586,450.4728088378906,1046.0877685546875,255.73714423179626,0,1045.7691650390625,cgp,mu+lambda,hopper,9
116,116,498.3101501464844,1686925766.5871608,1022.1524658203125,70.36947631835938,1049.5908203125,116,191.6370086669922,2.047530174255371,467.1595764160156,1049.5050048828125,257.79880690574646,0,1048.0711669921875,cgp,mu+lambda,hopper,9
117,117,458.18310546875,1686925768.6477296,1025.298095703125,69.45850372314453,1050.9132080078125,117,223.0484161376953,2.0477051734924316,435.36602783203125,1046.2236328125,259.85937571525574,0,1045.927734375,cgp,mu+lambda,hopper,9
