,_step,training.generation,training.fitness_std,training.fitness_mean,training.top_k_fit.top_2_fit,_runtime,training.evaluation_time,training.top_k_fit.top_0_fit,training.top_k_reward.top_0_reward,_timestamp,training.run_id,training.fitness_1q,training.top_k_fit.top_1_fit,training.fitness_3q,training.fitness_median,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward,solver,ea,fitness,environment,seed,training.evaluation
17,17,17,0.7768808007240295,0.9436986446380615,2.772286891937256,394.6063005924225,20.556840896606445,3.3090407848358154,539.0895385742188,1687653864.2663326,1,1.333863615989685,3.229140043258667,0.4144815504550934,0.7813447713851929,615.5079956054688,246.31236267089844,cgp-large,mu+lambda,distance,humanoid,1,1700
18,18,18,0.9606320858001709,0.9235518574714661,2.96540904045105,415.1487183570862,20.525484085083008,4.3507585525512695,457.6983337402344,1687653884.8087504,1,1.709567666053772,3.2123794555664062,0.3242458999156952,0.7498285174369812,257.4602355957031,535.9945678710938,cgp-large,mu+lambda,distance,humanoid,1,1800
19,19,19,0.8635558485984802,0.9563469290733337,3.084649085998535,435.7157642841339,20.5506649017334,3.436683177947998,209.66989135742188,1687653905.3757963,1,1.4054592847824097,3.4154672622680664,0.47088566422462463,0.7940717935562134,462.8345947265625,204.9866180419922,cgp-large,mu+lambda,distance,humanoid,1,1900
20,20,20,0.9673449397087097,1.0721579790115356,3.5578696727752686,456.2622332572937,20.529233932495117,4.497781276702881,516.2727661132812,1687653925.9222653,1,1.5941247940063477,3.8693976402282715,0.405720055103302,0.8992825150489807,278.6011047363281,241.96299743652344,cgp-large,mu+lambda,distance,humanoid,1,2000
21,21,21,1.0241727828979492,1.1034296751022339,3.4767770767211914,476.8357141017914,20.55585289001465,3.948063373565674,398.2710876464844,1687653946.4957461,1,1.7277625799179077,3.6727044582366943,0.397192120552063,0.8773953914642334,476.2558288574219,93.64665222167969,cgp-large,mu+lambda,distance,humanoid,1,2100
22,22,22,1.1157904863357544,0.9366174340248108,3.078284740447998,497.3863730430603,20.534578323364258,6.609640598297119,333.3136901855469,1687653967.046405,1,1.5438016653060913,3.167658567428589,0.34648096561431885,0.7292889356613159,180.7967071533203,143.2334747314453,cgp-large,mu+lambda,distance,humanoid,1,2200
23,23,23,0.9686378836631775,0.9008345603942871,3.276668071746826,517.9728796482086,20.56930923461914,4.258557319641113,211.25534057617188,1687653987.6329117,1,1.2844198942184448,3.427363872528076,0.2725571393966675,0.7783403992652893,884.95166015625,248.82363891601562,cgp-large,mu+lambda,distance,humanoid,1,2300
24,24,24,1.168709635734558,0.8832517862319946,2.7490408420562744,538.4964609146118,20.505611419677734,8.300046920776367,328.3207092285156,1687654008.156493,1,1.3481858968734741,3.0560052394866943,0.2495017647743225,0.6552920341491699,172.18771362304688,367.6526184082031,cgp-large,mu+lambda,distance,humanoid,1,2400
25,25,25,0.9228352308273315,1.0292118787765503,3.225050449371338,559.071896314621,20.55876350402832,3.4657061100006104,633.5603637695312,1687654028.7319283,1,1.6413254737854004,3.2551510334014893,0.4631020128726959,0.7693191766738892,234.86569213867188,222.6077423095703,cgp-large,mu+lambda,distance,humanoid,1,2500
26,26,26,0.9601218104362488,1.115155816078186,2.8550570011138916,579.6009404659271,20.511432647705078,3.746636390686035,253.76983642578125,1687654049.2609725,1,1.845177412033081,3.1273834705352783,0.5033388137817383,0.8857505917549133,200.1250762939453,372.628173828125,cgp-large,mu+lambda,distance,humanoid,1,2600
27,27,27,0.9387187957763672,0.9283786416053772,2.9644691944122314,600.153398513794,20.535686492919922,3.161853075027466,326.8850402832031,1687654069.8134305,1,1.439775824546814,3.1033260822296143,0.35450491309165955,0.8735856413841248,600.4019775390625,263.074462890625,cgp-large,mu+lambda,distance,humanoid,1,2700
28,28,28,1.0002799034118652,0.8717707395553589,3.157236337661743,620.5506300926208,20.381088256835938,3.8741965293884277,207.51576232910156,1687654090.2106621,1,1.3289657831192017,3.7021420001983643,0.17517459392547607,0.7661786079406738,142.33741760253906,298.069091796875,cgp-large,mu+lambda,distance,humanoid,1,2800
29,29,29,1.0383304357528687,0.9465348720550537,2.982313394546509,641.1133120059967,20.545578002929688,4.394925594329834,236.2197265625,1687654110.773344,1,1.5365386009216309,3.686903476715088,0.3776020109653473,0.8003160953521729,218.05239868164062,587.9917602539062,cgp-large,mu+lambda,distance,humanoid,1,2900
30,30,30,1.0614585876464844,1.0452650785446167,3.3130593299865723,661.6431918144226,20.51305389404297,3.941519021987915,1195.3311767578125,1687654131.3032238,1,1.5593898296356201,3.8857171535491943,0.36603713035583496,0.8085243701934814,465.5027160644531,408.1232604980469,cgp-large,mu+lambda,distance,humanoid,1,3000
31,31,31,1.093508243560791,1.0388556718826294,3.5798985958099365,682.179646730423,20.519224166870117,4.347325801849365,507.76068115234375,1687654151.8396788,1,1.6939185857772827,4.114331245422363,0.33066487312316895,0.8573997020721436,200.47369384765625,608.2236938476562,cgp-large,mu+lambda,distance,humanoid,1,3100
32,32,32,1.0393030643463135,1.2607905864715576,3.4977943897247314,703.5386743545532,21.359203338623047,3.7934064865112305,335.9949645996094,1687654173.1987064,1,2.091402292251587,3.622222900390625,0.5498946905136108,0.9797661304473877,366.88623046875,299.6097717285156,cgp-large,mu+lambda,distance,humanoid,1,3200
33,33,33,1.0834060907363892,1.1421935558319092,3.286176919937134,724.3458569049835,20.799257278442383,4.30442476272583,1258.8634033203125,1687654194.005889,1,1.7991483211517334,3.7518091201782227,0.4554624855518341,0.9028119444847107,174.9412841796875,132.098876953125,cgp-large,mu+lambda,distance,humanoid,1,3300
34,34,34,0.9780088663101196,1.2045644521713257,3.2731497287750244,744.9936702251434,20.629398345947266,3.7050116062164307,329.4305419921875,1687654214.6537023,1,2.010059356689453,3.2936344146728516,0.5165468454360962,0.9815623760223389,155.7314453125,300.0598449707031,cgp-large,mu+lambda,distance,humanoid,1,3400
35,35,35,1.1687359809875488,1.4414743185043335,3.6521084308624268,765.4384746551514,20.42794418334961,7.843266010284424,360.3614807128906,1687654235.0985067,1,2.0227956771850586,4.29647159576416,0.5719322562217712,1.3483326435089111,324.6300964355469,456.7520751953125,cgp-large,mu+lambda,distance,humanoid,1,3500
36,36,36,0.9683253765106201,1.2419400215148926,3.2776119709014893,786.1111204624176,20.65599250793457,4.966520309448242,168.40597534179688,1687654255.7711525,1,1.8227853775024414,3.3632352352142334,0.522692859172821,0.9785672426223755,405.69158935546875,343.7168273925781,cgp-large,mu+lambda,distance,humanoid,1,3600
37,37,37,1.0192968845367432,1.091504454612732,3.1206512451171875,806.5686268806458,20.44055938720703,3.669818162918091,360.47271728515625,1687654276.228659,1,1.9711281061172485,3.3440752029418945,0.3323324918746948,0.8689308166503906,467.8355712890625,445.2044372558594,cgp-large,mu+lambda,distance,humanoid,1,3700
38,38,38,1.0377683639526367,1.100129246711731,3.4813425540924072,827.2262737751007,20.641361236572266,4.0524702072143555,504.5218505859375,1687654296.8863058,1,1.8033685684204102,3.564073324203491,0.4110127091407776,0.6855869293212891,175.6724090576172,166.5222930908203,cgp-large,mu+lambda,distance,humanoid,1,3800
39,39,39,1.1343462467193604,1.4134489297866821,4.286067485809326,847.6566503047943,20.413761138916016,4.701533317565918,1097.0877685546875,1687654317.3166823,1,2.1603238582611084,4.603224754333496,0.6580749154090881,1.1897358894348145,552.664794921875,405.2288513183594,cgp-large,mu+lambda,distance,humanoid,1,3900
40,40,40,1.1192127466201782,1.2509297132492065,3.922785758972168,868.4634010791779,20.7879638671875,4.218868255615234,167.87890625,1687654338.123433,1,2.053034782409668,4.183165550231934,0.46251291036605835,0.9475468397140503,166.99505615234375,777.1563720703125,cgp-large,mu+lambda,distance,humanoid,1,4000
41,41,41,1.1460775136947632,1.140665888786316,3.9295756816864014,888.9178814888,20.43807601928711,4.977774143218994,228.83541870117188,1687654358.5779135,1,1.7407773733139038,4.210676193237305,0.521513044834137,0.8961843252182007,240.5236053466797,288.5884704589844,cgp-large,mu+lambda,distance,humanoid,1,4100
42,42,42,1.137004017829895,1.2989321947097778,4.002176284790039,909.7090954780579,20.77419090270996,4.925717830657959,504.608154296875,1687654379.3691275,1,2.0443618297576904,4.0894389152526855,0.5221797227859497,0.9769537448883057,853.4232177734375,611.8798828125,cgp-large,mu+lambda,distance,humanoid,1,4200
43,43,43,1.1053388118743896,1.3512202501296997,4.504071235656738,930.3514275550842,20.624914169311523,4.916848659515381,829.9658813476562,1687654400.0114596,1,2.0217056274414062,4.599087238311768,0.6360805630683899,1.237262487411499,338.5494689941406,343.6046447753906,cgp-large,mu+lambda,distance,humanoid,1,4300
44,44,44,1.1572670936584473,1.2261404991149902,4.028416633605957,951.0187366008759,20.651561737060547,5.2512383460998535,176.50975036621094,1687654420.6787686,1,1.9360085725784302,4.491930961608887,0.4013824164867401,0.9975321888923645,918.6600341796875,420.7764892578125,cgp-large,mu+lambda,distance,humanoid,1,4400
45,45,45,1.197472095489502,1.1830819845199585,4.222381591796875,971.6110701560974,20.575542449951172,4.593245506286621,678.8048706054688,1687654441.2711022,1,1.9216350317001343,4.292026996612549,0.37990468740463257,1.0031580924987793,789.0578002929688,227.4011993408203,cgp-large,mu+lambda,distance,humanoid,1,4500
46,46,46,1.3346527814865112,1.326019525527954,5.105401992797852,992.2896916866302,20.66177749633789,6.030516147613525,229.9243621826172,1687654461.9497237,1,1.9895882606506348,5.34229040145874,0.5372458696365356,0.9956327676773071,224.98313903808594,228.99948120117188,cgp-large,mu+lambda,distance,humanoid,1,4600
47,47,47,1.3119267225265503,1.3459031581878662,3.8934056758880615,1012.9163827896118,20.610233306884766,4.727306842803955,161.9574737548828,1687654482.5764148,1,2.2182371616363525,4.256086826324463,0.38220423460006714,1.1765682697296143,159.15457153320312,128.77761840820312,cgp-large,mu+lambda,distance,humanoid,1,4700
48,48,48,1.194093108177185,1.3121386766433716,4.234012126922607,1033.628881931305,20.696134567260742,4.533341407775879,178.34268188476562,1687654503.288914,1,2.0107429027557373,4.387533664703369,0.44822826981544495,1.1660478115081787,315.7537536621094,159.1443634033203,cgp-large,mu+lambda,distance,humanoid,1,4800
49,49,49,1.2605395317077637,1.3203834295272827,4.117435932159424,1054.1981573104858,20.55244255065918,5.263206958770752,161.98646545410156,1687654523.8581893,1,2.08640456199646,4.54848575592041,0.3960883319377899,1.1950844526290894,163.1134033203125,563.2381591796875,cgp-large,mu+lambda,distance,humanoid,1,4900
50,50,50,1.3272546529769897,1.3060517311096191,4.465060234069824,1074.8525104522705,20.638940811157227,6.641512393951416,156.58909606933594,1687654544.5125425,1,1.9393115043640137,4.765436172485352,0.3746541142463684,1.0498592853546143,187.93563842773438,191.53433227539062,cgp-large,mu+lambda,distance,humanoid,1,5000
51,51,51,1.1871219873428345,1.4694024324417114,3.8122482299804688,1095.3955717086792,20.526256561279297,7.215810775756836,310.8141174316406,1687654565.0556037,1,2.1544301509857178,3.8407142162323,0.6257825493812561,1.2171239852905273,868.440673828125,248.87022399902344,cgp-large,mu+lambda,distance,humanoid,1,5100
52,52,52,1.3186867237091064,1.4934520721435547,4.733002185821533,1116.0896084308624,20.674062728881836,5.5253496170043945,151.05252075195312,1687654585.7496405,1,2.284348964691162,4.75191593170166,0.43651899695396423,1.381576418876648,833.7493896484375,457.0474548339844,cgp-large,mu+lambda,distance,humanoid,1,5200
53,53,53,1.3559410572052002,1.6263773441314697,4.542316436767578,1136.785526752472,20.675596237182617,6.924321174621582,173.17019653320312,1687654606.4455588,1,2.31601881980896,4.631026744842529,0.5926856398582458,1.448317050933838,185.50645446777344,336.7691955566406,cgp-large,mu+lambda,distance,humanoid,1,5300
54,54,54,1.3011987209320068,1.3814806938171387,4.8063483238220215,1157.4933109283447,20.689037322998047,4.869636058807373,273.1410217285156,1687654627.153343,1,2.018109083175659,4.807276248931885,0.5068594217300415,1.1566438674926758,666.2731323242188,260.25482177734375,cgp-large,mu+lambda,distance,humanoid,1,5400
55,55,55,1.1510396003723145,1.4009066820144653,3.6829612255096436,1178.1644625663757,20.652711868286133,5.156037330627441,165.64501953125,1687654647.8244946,1,2.2217788696289062,5.116997241973877,0.5136535167694092,1.1785575151443481,245.31028747558594,173.1719207763672,cgp-large,mu+lambda,distance,humanoid,1,5500
56,56,56,1.1867213249206543,1.3763245344161987,4.508486747741699,1198.8363580703735,20.65041160583496,5.3119354248046875,184.1256866455078,1687654668.49639,1,1.8248838186264038,4.550636291503906,0.5668512582778931,1.0505688190460205,185.65126037597656,126.3631362915039,cgp-large,mu+lambda,distance,humanoid,1,5600
57,57,57,1.3507053852081299,1.5153427124023438,4.547772407531738,1219.541092157364,20.685022354125977,5.53678035736084,245.67041015625,1687654689.2011242,1,2.1593868732452393,4.956078052520752,0.5905272364616394,1.17537522315979,189.3430633544922,237.50723266601562,cgp-large,mu+lambda,distance,humanoid,1,5700
58,58,58,1.2437870502471924,1.4917047023773193,4.166894435882568,1240.2178518772125,20.65804672241211,4.527530193328857,680.9166870117188,1687654709.877884,1,2.224306583404541,4.521512508392334,0.5569058060646057,1.2267770767211914,159.4617156982422,261.6168518066406,cgp-large,mu+lambda,distance,humanoid,1,5800
59,59,59,1.5199898481369019,1.6481261253356934,4.541165828704834,1260.9182124137878,20.679506301879883,5.671184062957764,96.23966217041016,1687654730.5782444,1,2.831637144088745,4.563144683837891,0.46737828850746155,1.4470146894454956,174.12005615234375,166.54977416992188,cgp-large,mu+lambda,distance,humanoid,1,5900
60,60,60,1.3819637298583984,1.564751148223877,4.392689228057861,1281.613386631012,20.67584228515625,6.1254048347473145,319.7597351074219,1687654751.2734187,1,2.433955192565918,5.584756851196289,0.4378789961338043,1.2722673416137695,173.078125,242.72708129882812,cgp-large,mu+lambda,distance,humanoid,1,6000
61,61,61,1.3507145643234253,1.614603042602539,4.843045234680176,1302.1724288463593,20.539485931396484,5.117219924926758,105.88351440429688,1687654771.8324609,1,2.3866686820983887,5.063928604125977,0.6020588874816895,1.6006834506988525,143.8015899658203,144.48631286621094,cgp-large,mu+lambda,distance,humanoid,1,6100
62,62,62,1.301085352897644,1.6740074157714844,4.341715335845947,1322.8516554832458,20.660964965820312,5.242954254150391,173.62252807617188,1687654792.5116875,1,2.403712272644043,4.856530666351318,0.7443971037864685,1.5915284156799316,143.87991333007812,184.7232666015625,cgp-large,mu+lambda,distance,humanoid,1,6200
63,63,63,1.2571223974227905,1.843869686126709,4.310352802276611,1343.4058656692505,20.535200119018555,5.233199119567871,190.26504516601562,1687654813.0658977,1,2.7921786308288574,4.560941219329834,0.9604202508926392,1.526639461517334,482.1064147949219,305.6615295410156,cgp-large,mu+lambda,distance,humanoid,1,6300
64,64,64,1.3729244470596313,1.720771312713623,4.496742248535156,1364.0787160396576,20.653718948364258,4.861725330352783,149.7580108642578,1687654833.738748,1,2.863304615020752,4.75485372543335,0.7019222378730774,1.5018901824951172,137.45501708984375,131.5189208984375,cgp-large,mu+lambda,distance,humanoid,1,6400
65,65,65,1.337916612625122,1.5985839366912842,4.556499481201172,1384.6461532115936,20.5479793548584,5.389566898345947,144.98988342285156,1687654854.3061852,1,2.503171920776367,5.172834873199463,0.6594962477684021,1.3344683647155762,256.63299560546875,145.3074951171875,cgp-large,mu+lambda,distance,humanoid,1,6500
66,66,66,1.2173861265182495,1.5550850629806519,4.360569000244141,1405.3491525650024,20.683761596679688,4.541736125946045,172.9606475830078,1687654875.0091846,1,2.3933541774749756,4.419812202453613,0.4457858204841614,1.4626073837280273,181.22039794921875,154.9980010986328,cgp-large,mu+lambda,distance,humanoid,1,6600
67,67,67,1.2635401487350464,1.226640224456787,4.156665802001953,1425.9202041625977,20.55158042907715,5.00702428817749,124.5993423461914,1687654895.5802362,1,2.028764247894287,4.653573989868164,0.24196285009384155,0.9788287878036499,188.64321899414062,187.76942443847656,cgp-large,mu+lambda,distance,humanoid,1,6700
68,68,68,1.2040199041366577,1.4502590894699097,4.055226802825928,1446.611082792282,20.671350479125977,4.834920406341553,179.62493896484375,1687654916.2711148,1,2.0720410346984863,4.179782867431641,0.6186028122901917,1.2010183334350586,379.0218200683594,138.31251525878906,cgp-large,mu+lambda,distance,humanoid,1,6800
69,69,69,1.2431176900863647,1.4059841632843018,3.9786736965179443,1467.23685836792,20.606586456298828,4.691424369812012,139.2499237060547,1687654936.8968904,1,2.229635715484619,4.211103916168213,0.4969288408756256,1.0764408111572266,182.60250854492188,176.2484588623047,cgp-large,mu+lambda,distance,humanoid,1,6900
70,70,70,1.2608264684677124,1.612770676612854,4.756279945373535,1487.8961064815521,20.6396484375,5.08659553527832,110.41615295410156,1687654957.5561385,1,2.2730824947357178,5.04599142074585,0.6530181169509888,1.688938856124878,101.54313659667969,147.47900390625,cgp-large,mu+lambda,distance,humanoid,1,7000
71,71,71,1.3675918579101562,1.585800290107727,4.588862895965576,1508.4991126060486,20.58287811279297,4.981176853179932,147.52281188964844,1687654978.1591446,1,2.607090711593628,4.76266622543335,0.6091638207435608,1.3240537643432617,145.52110290527344,153.79148864746094,cgp-large,mu+lambda,distance,humanoid,1,7100
72,72,72,1.2751305103302002,1.525980830192566,4.363336086273193,1529.190010547638,20.671466827392578,4.4525065422058105,163.00453186035156,1687654998.8500426,1,2.2460947036743164,4.36834716796875,0.5234251022338867,1.2767837047576904,169.66258239746094,178.9795379638672,cgp-large,mu+lambda,distance,humanoid,1,7200
73,73,73,1.3431740999221802,1.3361845016479492,4.294371128082275,1549.9439661502838,20.734813690185547,4.7633514404296875,127.22212982177734,1687655019.6039982,1,2.065225601196289,4.380533218383789,0.4683808982372284,1.0193557739257812,305.0431213378906,195.26844787597656,cgp-large,mu+lambda,distance,humanoid,1,7300
74,74,74,1.3285701274871826,1.264037847518921,4.237322807312012,1570.6294281482697,20.66524887084961,4.829644203186035,193.1400909423828,1687655040.2894602,1,2.15217661857605,4.5498857498168945,0.27484065294265747,0.912216067314148,231.5187530517578,183.6669921875,cgp-large,mu+lambda,distance,humanoid,1,7400
75,75,75,1.3256134986877441,1.4496521949768066,4.641942024230957,1591.395631313324,20.746700286865234,4.861635684967041,173.2437744140625,1687655061.0556633,1,2.144278049468994,4.6661481857299805,0.5867655277252197,1.1856772899627686,140.53257751464844,140.05616760253906,cgp-large,mu+lambda,distance,humanoid,1,7500
76,76,76,1.3642653226852417,1.4579894542694092,4.668128967285156,1612.0490844249725,20.635303497314453,4.9181694984436035,188.51902770996094,1687655081.7091165,1,2.3351800441741943,4.7803778648376465,0.46206241846084595,1.1513733863830566,191.8349609375,121.73200988769531,cgp-large,mu+lambda,distance,humanoid,1,7600
77,77,77,1.3486429452896118,1.4498302936553955,4.698517799377441,1632.6047930717468,20.536056518554688,5.472377777099609,300.2119140625,1687655102.264825,1,2.2062058448791504,4.810920715332031,0.4961041212081909,1.059033751487732,137.0518341064453,133.87649536132812,cgp-large,mu+lambda,distance,humanoid,1,7700
78,78,78,1.219822883605957,1.3777483701705933,4.262505054473877,1653.418470621109,20.793453216552734,4.602046012878418,164.6214599609375,1687655123.0785027,1,1.801025390625,4.373750686645508,0.5653672218322754,1.099244236946106,143.51675415039062,144.06723022460938,cgp-large,mu+lambda,distance,humanoid,1,7800
79,79,79,1.2914433479309082,1.4230434894561768,4.676297664642334,1674.04070520401,20.60291862487793,5.337897777557373,134.83070373535156,1687655143.7007372,1,2.0640649795532227,4.727720260620117,0.5767209529876709,1.1007816791534424,191.6582794189453,270.86181640625,cgp-large,mu+lambda,distance,humanoid,1,7900
80,80,80,1.3406453132629395,1.6950057744979858,4.611143112182617,1694.8513207435608,20.790433883666992,5.218902111053467,207.59036254882812,1687655164.5113528,1,2.542677879333496,4.752767086029053,0.7549129724502563,1.5098015069961548,144.93917846679688,280.79266357421875,cgp-large,mu+lambda,distance,humanoid,1,8000
81,81,81,1.4182744026184082,1.5607894659042358,4.250068187713623,1715.5238313674927,20.653114318847656,5.051113605499268,200.98065185546875,1687655185.1838634,1,2.7317137718200684,4.283447265625,0.3629418611526489,1.5316972732543945,195.36439514160156,194.38453674316406,cgp-large,mu+lambda,distance,humanoid,1,8100
82,82,82,1.4541853666305542,1.5664421319961548,4.58419132232666,1736.2959878444672,20.752592086791992,5.286909103393555,392.56103515625,1687655205.9560199,1,2.756495714187622,5.115889072418213,0.48412787914276123,1.37673819065094,222.86318969726562,132.6995391845703,cgp-large,mu+lambda,distance,humanoid,1,8200
83,83,83,1.4290133714675903,1.628796935081482,4.4335761070251465,1756.9481098651886,20.63212013244629,5.5000386238098145,148.578857421875,1687655226.608142,1,2.532514810562134,4.444161891937256,0.6061021089553833,1.4671763181686401,204.7733154296875,214.37062072753906,cgp-large,mu+lambda,distance,humanoid,1,8300
84,84,84,1.3267802000045776,1.6398241519927979,5.274837017059326,1777.7133889198303,20.746150970458984,5.621932029724121,174.1571502685547,1687655247.373421,1,2.3286709785461426,5.57651424407959,0.7065194845199585,1.4854528903961182,212.3023681640625,218.6324005126953,cgp-large,mu+lambda,distance,humanoid,1,8400
85,85,85,1.3143659830093384,1.675278902053833,4.362862586975098,1798.3663613796234,20.633249282836914,4.736606121063232,200.2806396484375,1687655268.0263934,1,2.713876485824585,4.507297515869141,0.7135378122329712,1.5144094228744507,201.52149963378906,87.22673034667969,cgp-large,mu+lambda,distance,humanoid,1,8500
86,86,86,1.482811689376831,1.5051555633544922,4.966161251068115,1819.200304031372,20.81454086303711,6.490559101104736,152.1085205078125,1687655288.860336,1,2.2370383739471436,5.229461669921875,0.4908757209777832,1.204087495803833,158.12838745117188,156.42723083496094,cgp-large,mu+lambda,distance,humanoid,1,8600
87,87,87,1.306235909461975,1.541314959526062,4.667766094207764,1839.8342063426971,20.613971710205078,4.917287826538086,199.29661560058594,1687655309.4942384,1,2.175626039505005,4.801330089569092,0.6152997016906738,1.305272102355957,109.71087646484375,200.8856201171875,cgp-large,mu+lambda,distance,humanoid,1,8700
88,88,88,1.4981040954589844,1.4873051643371582,4.604735374450684,1860.6483795642853,20.79478645324707,5.916405200958252,171.090087890625,1687655330.3084116,1,2.446091651916504,5.448544979095459,0.5175999402999878,1.1413525342941284,92.71441650390625,154.39859008789062,cgp-large,mu+lambda,distance,humanoid,1,8800
