iteration,fitness,time
487,0.90625,0.14
488,0.90625,0.15
489,0.90625,0.14
490,0.90625,0.17
491,0.90625,0.14
492,0.90625,0.14
493,0.90625,0.14
494,0.90625,0.14
495,0.90625,0.14
496,0.90625,0.14
497,0.90625,0.14
498,0.90625,0.17
499,0.90625,0.14
500,0.90625,0.14
501,0.90625,0.16
502,0.90625,0.14
503,0.90625,0.14
504,0.90625,0.14
505,0.90625,0.14
506,0.90625,0.14
507,0.90625,0.14
508,0.90625,0.14
509,0.90625,0.14
510,0.90625,0.14
511,0.90625,0.14
512,0.90625,0.14
513,0.90625,0.16
514,0.90625,0.15
515,0.90625,0.14
516,0.90625,0.14
517,0.90625,0.14
518,0.90625,0.14
519,0.90625,0.14
520,0.90625,0.14
521,0.90625,0.14
522,0.90625,0.14
523,0.90625,0.14
524,0.90625,0.14
525,0.90625,0.16
526,0.90625,0.14
527,0.90625,0.14
528,0.90625,0.14
529,0.90625,0.14
530,0.90625,0.14
531,0.90625,0.14
532,0.90625,0.14
533,0.90625,0.14
534,0.90625,0.14
535,0.90625,0.14
536,0.90625,0.14
537,0.90625,0.14
538,0.90625,0.14
539,0.90625,0.14
540,0.90625,0.16
541,0.90625,0.16
542,0.90625,0.14
543,0.90625,0.16
544,0.90625,0.14
545,0.90625,0.14
546,0.90625,0.14
547,0.90625,0.14
548,0.90625,0.14
549,0.90625,0.14
550,0.90625,0.14
551,0.90625,0.14
552,0.90625,0.14
553,0.90625,0.14
554,0.90625,0.15
555,0.90625,0.14
556,0.90625,0.14
557,0.90625,0.14
558,0.90625,0.14
559,0.90625,0.20
560,0.90625,0.14
561,0.90625,0.14
562,0.90625,0.14
563,0.90625,0.14
564,0.90625,0.14
565,0.90625,0.14
566,0.90625,0.15
567,0.90625,0.15
568,0.90625,0.15
569,0.90625,0.16
570,0.90625,0.14
571,0.90625,0.14
572,0.90625,0.14
573,0.90625,0.14
574,0.90625,0.14
575,0.90625,0.14
576,0.90625,0.14
577,0.90625,0.14
578,0.90625,0.14
579,0.90625,0.16
580,0.90625,0.15
581,0.90625,0.14
582,0.90625,0.14
583,0.90625,0.16
584,0.90625,0.16
585,0.90625,0.16
586,0.90625,0.14
587,0.90625,0.14
588,0.90625,0.16
589,0.90625,0.14
590,0.90625,0.14
591,0.90625,0.14
592,0.90625,0.14
593,0.90625,0.15
594,0.90625,0.14
595,0.90625,0.16
596,0.90625,0.14
597,0.90625,0.16
598,0.90625,0.21
599,0.90625,0.14
600,0.90625,0.14
601,0.90625,0.16
602,0.90625,0.14
603,0.90625,0.15
604,0.90625,0.14
605,0.90625,0.15
606,0.90625,0.14
607,0.90625,0.14
608,0.90625,0.14
609,0.90625,0.14
610,0.90625,0.14
611,0.90625,0.14
612,0.90625,0.16
613,0.90625,0.16
614,0.90625,0.14
615,0.90625,0.14
616,0.90625,0.16
617,0.90625,0.14
618,0.90625,0.14
619,0.90625,0.14
620,0.90625,0.14
621,0.90625,0.14
622,0.90625,0.14
623,0.90625,0.14
624,0.90625,0.14
625,0.90625,0.14
626,0.90625,0.17
627,0.90625,0.17
628,0.90625,0.14
629,0.90625,0.14
630,0.90625,0.14
631,0.90625,0.14
632,0.90625,0.14
633,0.90625,0.14
634,0.90625,0.16
635,0.90625,0.15
636,0.90625,0.14
637,0.90625,0.14
638,0.90625,0.21
639,0.90625,0.14
640,0.90625,0.14
641,0.90625,0.14
642,0.90625,0.14
643,0.90625,0.14
644,0.90625,0.14
645,0.90625,0.14
646,0.90625,0.14
647,0.90625,0.17
648,0.90625,0.14
649,0.90625,0.14
650,0.90625,0.14
651,0.90625,0.14
652,0.90625,0.14
653,0.90625,0.14
654,0.90625,0.14
655,0.90625,0.18
656,0.90625,0.14
657,0.90625,0.15
658,0.90625,0.15
659,0.90625,0.14
660,0.90625,0.18
661,0.90625,0.14
662,0.90625,0.14
663,0.90625,0.14
664,0.90625,0.14
665,0.90625,0.14
666,0.90625,0.14
667,0.90625,0.14
668,0.90625,0.14
669,0.90625,0.15
670,0.90625,0.15
671,0.90625,0.15
672,0.90625,0.14
673,0.90625,0.14
674,0.90625,0.14
675,0.90625,0.14
676,0.90625,0.14
677,0.90625,0.14
678,0.90625,0.14
679,0.90625,0.14
680,0.90625,0.14
681,0.90625,0.14
682,0.90625,0.14
683,0.90625,0.14
684,0.90625,0.15
685,0.90625,0.16
686,0.90625,0.16
687,0.90625,0.14
688,0.90625,0.14
689,0.90625,0.14
690,0.90625,0.14
691,0.90625,0.14
692,0.90625,0.14
693,0.90625,0.14
694,0.90625,0.14
695,0.90625,0.14
696,0.90625,0.14
697,0.90625,0.14
698,0.90625,0.14
699,0.90625,0.16
700,0.90625,0.16
701,0.90625,0.15
702,0.90625,0.14
703,0.90625,0.17
704,0.90625,0.21
705,0.90625,0.14
706,0.90625,0.16
707,0.90625,0.14
708,0.90625,0.14
709,0.90625,0.14
710,0.90625,0.14
711,0.90625,0.14
712,0.90625,0.14
713,0.90625,0.14
714,0.90625,0.14
715,0.90625,0.14
716,0.90625,0.14
717,0.90625,0.14
718,0.90625,0.14
719,0.90625,0.14
720,0.90625,0.17
721,0.90625,0.14
722,0.90625,0.14
723,0.90625,0.15
724,0.90625,0.14
725,0.90625,0.14
