eval/episode_reward_healthy,eval/episode_x_position,eval/walltime,eval/episode_x_velocity,eval/epoch_eval_time,_step,training/walltime,_timestamp,training/sps,training/total_loss,training/policy_loss,training/v_loss,eval/episode_reward_forward,training/entropy_loss,eval/avg_episode_length,_runtime,eval/sps,eval/episode_reward,eval/episode_reward_ctrl,seed,rl_algorithm,environment
154.421875,92.71714782714844,21.863586902618408,262.6747131347656,1.1002888679504397,39321600.0,69.51083564758301,1694009967.939521,711161.0119909296,33.759178161621094,-0.0060933679342269,33.765472412109375,262.6747131347656,-0.0001993836776819,154.421875,96.04605007171632,116333.08645431604,416.71771240234375,-0.3788835406303406,2,ppo,walker2d
154.15625,96.38800048828124,22.96099090576172,273.4522399902344,1.0974040031433103,43253760.0,75.04078960418701,1694009974.57205,711065.5949140625,45.69136047363281,-0.0031452139373868,45.69425201416016,273.4522399902344,0.000252158002695,154.15625,102.67857909202576,116638.90384340473,427.2179565429688,-0.3905238509178161,2,ppo,walker2d
154.8515625,100.84329986572266,24.061856031417847,284.794677734375,1.100865125656128,47185920.0,80.56711554527283,1694009981.2044685,711532.4072302922,32.34950637817383,-0.0029568802565336,32.35179138183594,284.794677734375,0.0006703661638312,154.8515625,109.3109974861145,116272.19085872176,439.24261474609375,-0.4036149978637695,2,ppo,walker2d
154.984375,103.18133544921876,25.157724618911743,292.1426696777344,1.0958685874938965,51118080.0,86.09684205055237,1694009987.8353472,711094.8428002263,21.476171493530277,-0.0032221279107034,21.4782772064209,292.1426696777344,0.0011179175926372,154.984375,115.9418761730194,116802.3259912201,446.7088317871094,-0.4182160496711731,2,ppo,walker2d
156.46875,107.50481414794922,26.249077081680294,301.05419921875,1.091352462768555,55050240.0,91.62081241607666,1694009994.4559064,711835.8245621744,19.26323509216309,-0.0029177065007388,19.26451873779297,301.05419921875,0.0016345102339982,156.46875,122.56243538856506,117285.6655999916,457.0897216796875,-0.4331885278224945,2,ppo,walker2d
156.9453125,110.04872131347656,27.34198784828186,307.9515686035156,1.0929107666015625,58982400.0,97.1504340171814,1694010001.0837598,711108.3332021151,15.344703674316406,-0.0031262643169611,15.34575080871582,307.9515686035156,0.0020794495940208,156.9453125,129.19028878211975,117118.43630017452,464.4566650390625,-0.4402273297309875,2,ppo,walker2d
157.890625,113.3426742553711,28.436726331710812,313.661376953125,1.094738483428955,62914560.0,102.67803025245668,1694010007.7112665,711368.8903155176,19.16288375854492,-0.0019771074876189,19.1624755859375,313.661376953125,0.00238489639014,157.890625,135.81779551506042,116922.90162219988,471.100830078125,-0.4511114060878753,2,ppo,walker2d
157.5234375,113.85359191894533,29.53594183921814,317.4041748046875,1.0992155075073242,66846720.0,108.20795512199402,1694010014.3453062,711069.335075609,13.673514366149902,-0.002036124235019,13.67273998260498,317.4041748046875,0.0028113573789596,157.5234375,142.45183515548706,116446.68322617083,474.4718322753906,-0.4557821750640869,2,ppo,walker2d
157.6875,114.35394287109376,30.63469934463501,318.6996154785156,1.09875750541687,70778880.0,113.7327127456665,1694010020.9739797,711734.3905099977,24.44765853881836,-0.0008801326039247,24.445491790771484,318.6996154785156,0.0030466762837022,157.6875,149.08050847053528,116495.22243894628,475.9309692382813,-0.4561510682106018,2,ppo,walker2d
157.796875,115.35357666015624,31.73340153694153,321.5455017089844,1.0987021923065186,74711040.0,119.26151204109192,1694010027.6066823,711214.0972911621,13.780670166015623,-0.0015896640252321,13.779035568237305,321.5455017089844,0.0032237991690635,157.796875,155.7132112979889,116501.08727942743,478.8877868652344,-0.454580008983612,2,ppo,walker2d
