eval/episode_reward,_runtime,training/alpha,eval/sps,_step,training/sps,eval/walltime,eval/episode_x_position,eval/epoch_eval_time,eval/episode_reward_healthy,eval/episode_reward_forward,training/alpha_loss,training/critic_loss,eval/avg_episode_length,training/buffer_current_size,eval/episode_x_velocity,_timestamp,training/walltime,eval/episode_reward_ctrl,training/actor_loss,seed,rl_algorithm,environment
2956.87158203125,705.646406173706,0.4192929863929748,116395.05525108028,4143872.0,6190.12852282307,22.758734703063965,7344.8935546875,1.099703073501587,992.125,1967.0848388671875,0.0010080143110826,485.3504943847656,992.125,1048576.0,1967.0848388671875,1694050793.12681,677.1664416790009,-2.3384885787963867,-4430.8916015625,0,sac,walker2d
3034.85107421875,773.4630129337311,0.3756678998470306,116484.80874648916,4557440.0,6199.234915787566,23.857590436935425,7556.60888671875,1.09885573387146,971.5546875,2065.61181640625,3.859444404952228e-05,368.2477416992188,971.5546875,1048576.0,2065.61181640625,1694050860.9434168,743.8791902065277,-2.3153817653656006,-4754.26708984375,0,sac,walker2d
3160.8017578125,841.3806350231171,0.4310676455497741,113475.463009835,4971008.0,6192.516405064254,24.98558759689331,8081.4443359375,1.1279971599578855,944.1875,2219.0634765625,-0.0015825930749997,454.0207824707031,944.1875,1048576.0,2219.0634765625,1694050928.861039,810.6643180847168,-2.449285984039306,-4998.169921875,0,sac,walker2d
3716.4091796875,909.296094417572,0.4645457565784454,114799.62904602948,5384576.0,6191.506042243147,26.100573778152462,9957.9609375,1.1149861812591553,992.9921875,2726.019775390625,0.0007830686517991,462.00048828125,992.9921875,1048576.0,2726.019775390625,1694050996.7764983,877.4603443145752,-2.6031248569488525,-5168.63330078125,0,sac,walker2d
3473.57275390625,977.1163680553436,0.5518453121185303,117526.5487791156,5798144.0,6197.951882255437,27.18968939781189,8590.2109375,1.0891156196594238,969.6171875,2506.41748046875,-0.0021383329294621,628.2222290039062,969.6171875,1048576.0,2506.41748046875,1694051064.596772,944.186902999878,-2.462518215179444,-5246.0009765625,0,sac,walker2d
3599.6669921875,1044.931964635849,0.6576403975486755,122773.40504841226,6211712.0,6194.043637666738,28.23226046562195,8783.46875,1.0425710678100586,947.3125,2654.7783203125,-0.0024950644001364,762.2866821289062,947.3125,1048576.0,2654.7783203125,1694051132.4123683,1010.9555640220642,-2.4239213466644287,-5239.7314453125,0,sac,walker2d
3783.983642578125,1112.8469367027285,0.8464818000793457,117456.86786885074,6625280.0,6189.228978704845,29.322022199630737,10122.44921875,1.089761734008789,992.328125,2794.052490234375,-0.0003204517124686,1224.0643310546875,992.328125,1048576.0,2794.052490234375,1694051200.3273406,1077.776165008545,-2.39738130569458,-5125.341796875,0,sac,walker2d
3689.29296875,1180.7807247638702,0.8153101801872253,117143.45450304504,7038848.0,6187.766077367915,30.41469955444336,9496.25390625,1.092677354812622,991.4375,2700.412841796875,-0.0007765667396597,1056.78857421875,991.4375,1048576.0,2700.412841796875,1694051268.261129,1144.612563610077,-2.5576558113098145,-5015.6171875,0,sac,walker2d
3952.80810546875,1248.7830140590668,0.9040037393569946,116899.68292318606,7452416.0,6181.655871164283,31.50965547561645,10467.609375,1.0949559211730957,980.7265625,2974.658447265625,0.0007464130176231,1115.28759765625,980.7265625,1048576.0,2974.658447265625,1694051336.263418,1211.5150260925293,-2.577198028564453,-5024.10595703125,0,sac,walker2d
4014.10791015625,1316.6974806785583,0.916597068309784,113335.58904978295,7865984.0,6192.917803636503,32.639044761657715,10675.4453125,1.1293892860412598,973.0,3043.58251953125,-0.0008385147666558,1093.50146484375,973.0,1048576.0,3043.58251953125,1694051404.1778846,1278.2958252429962,-2.474705219268799,-5027.36767578125,0,sac,walker2d
