eval/sps,eval/episode_x_position,training/entropy_loss,training/walltime,eval/episode_reward_forward,eval/episode_reward,eval/episode_x_velocity,_timestamp,eval/epoch_eval_time,training/policy_loss,eval/episode_reward_healthy,eval/walltime,training/total_loss,_step,training/sps,training/v_loss,eval/avg_episode_length,eval/episode_reward_ctrl,_runtime,seed,rl_algorithm,environment
118297.09758684202,192.91714477539065,-0.0001919948263093,69.29695200920105,407.6098327636719,587.957275390625,407.6098327636719,1694010303.316542,1.0820214748382568,-0.0037738536484539,180.78125,21.62841844558716,134.18235778808594,39321600.0,711052.1367894205,134.1863250732422,180.78125,-0.4337784051895141,97.70728707313538,4,ppo,walker2d
118273.53840331105,206.70260620117188,0.0002615162520669,74.82758855819702,420.8727416992188,603.87109375,420.8727416992188,1694010309.934442,1.0822370052337646,-0.0025504929944872,183.453125,22.710655450820923,153.83377075195312,43253760.0,710977.8350403159,153.8360595703125,183.453125,-0.454742968082428,104.32518696784972,4,ppo,walker2d
118311.46182623382,203.24380493164065,0.000603009655606,80.35501408576965,433.4065856933594,613.5891723632812,433.4065856933594,1694010316.5487883,1.081890106201172,-0.0024813103955239,180.6328125,23.79254555702209,144.9159393310547,47185920.0,711390.8600640717,144.91781616210938,180.6328125,-0.4502770900726318,110.93953323364258,4,ppo,walker2d
118688.04950636448,223.5411071777344,0.0009144273935817,85.88609313964844,469.0905151367188,653.1143188476562,469.0905151367188,1694010323.163177,1.0784573554992676,-0.0031345053575932,184.4921875,24.87100291252136,126.99812316894533,51118080.0,710920.9544279594,127.00032806396484,184.4921875,-0.4684273600578308,117.5539219379425,4,ppo,walker2d
121198.57687237002,254.1385498046875,0.0012183788930997,91.41201734542848,504.7059326171875,696.1344604492188,504.7059326171875,1694010329.750538,1.0561180114746094,-0.0027513988316059,191.9296875,25.92712092399597,167.18115234375,55050240.0,711584.135715619,167.18267822265625,191.9296875,-0.5011482834815979,124.14128279685974,4,ppo,walker2d
114427.44429539012,267.854248046875,0.0015075699193403,96.94417572021484,528.1659545898438,721.4304809570312,528.1659545898438,1694010336.4068336,1.1186127662658691,-0.0022117858752608,193.7734375,27.04573369026184,182.0964813232422,58982400.0,710782.2541598585,182.09716796875,193.7734375,-0.5088567137718201,130.79757857322693,4,ppo,walker2d
116037.89667161331,302.059326171875,0.0016828023362904,102.47569227218628,572.5132446289062,772.624755859375,572.5132446289062,1694010343.0465777,1.1030879020690918,-0.0015078292926773,200.6328125,28.148821592330933,241.283935546875,62914560.0,710864.7263468056,241.28375244140625,200.6328125,-0.5213408470153809,137.43732261657715,4,ppo,walker2d
116495.0707698704,338.3387145996094,0.0019079996272921,108.01018214225768,624.9164428710938,830.5731201171875,624.9164428710938,1694010349.6848905,1.0987589359283447,-0.0016842124750837,206.203125,29.24758052825928,226.8770446777344,66846720.0,710482.8253934926,226.87681579589844,206.203125,-0.5463614463806152,144.07563519477844,4,ppo,walker2d
115965.86111855124,374.4456176757813,0.002189565449953,113.5394675731659,664.2952270507812,877.0521240234375,664.2952270507812,1694010356.3227308,1.1037731170654297,-0.0017359601333737,213.328125,30.351353645324707,169.0499267578125,70778880.0,711151.5672566989,169.04946899414062,213.328125,-0.5712445974349976,150.71347570419312,4,ppo,walker2d
118473.98650042778,394.4840087890625,0.0024693454615771,119.07033157348631,690.5613403320312,906.1947021484376,690.5613403320312,1694010362.9388485,1.0804059505462646,-0.0014890355523675,216.21875,31.43175959587097,175.89346313476562,74711040.0,710948.5967784034,175.89248657226562,216.21875,-0.5853624939918518,157.3295931816101,4,ppo,walker2d
