,eval/avg_episode_length,eval/episode_reward_run,eval/epoch_eval_time,eval/episode_x_position,eval/episode_x_velocity,training/walltime,training/total_loss,eval/walltime,eval/episode_reward,training/policy_loss,eval/episode_reward_ctrl,_step,training/entropy_loss,training/sps,training/v_loss,_runtime,eval/sps,_timestamp,seed,rl_algorithm,environment
10,1000,5594.45703125,5.2499706745147705,139459.90625,5594.45703125,189.1155562400818,17.535152435302734,75.36008310317993,5377.255859375,-0.0028038450982421637,-217.20144653320312,29491200.0,0.004137941170483828,172621.2223745468,17.5338191986084,272.4478397369385,24381.088569000516,1694010644.0347798,0,ppo,halfcheetah
11,1000,5637.6806640625,5.254377841949463,140519.875,5637.6806640625,206.19495034217834,17.450376510620117,80.6144609451294,5420.408203125,-0.002442216733470559,-217.27218627929688,32440320.0,0.004710892681032419,172671.23074570805,17.448108673095703,294.7867977619171,24360.638661743033,1694010666.3737378,0,ppo,halfcheetah
12,1000,5727.8466796875,5.257503986358643,142567.96875,5727.8466796875,223.26936984062195,17.687692642211914,85.87196493148804,5507.5595703125,-0.002206693636253476,-220.28744506835938,35389440.0,0.005320622585713863,172721.53822089374,17.684579849243164,317.1235098838806,24346.153675225847,1694010688.71045,0,ppo,halfcheetah
13,1000,5898.13671875,5.252101182937622,146097.25,5898.13671875,240.34335112571716,18.039621353149414,91.12406611442566,5679.1005859375,-0.0021746803540736437,-219.03631591796875,38338560.0,0.0057712034322321415,172725.97121647565,18.036027908325195,339.4542555809021,24371.19841023448,1694010711.0411956,0,ppo,halfcheetah
14,1000,5979.35546875,5.256941556930542,146730.59375,5979.35546875,257.4215705394745,17.749746322631836,96.3810076713562,5762.134765625,-0.002006571041420102,-217.22119140625,41287680.0,0.006199215073138475,172683.10756239275,17.745553970336914,361.7942864894867,24348.75842042602,1694010733.3812265,0,ppo,halfcheetah
15,1000,6018.013671875,5.268524646759033,148137.6875,6018.013671875,274.48809576034546,17.901065826416016,101.64953231811523,5798.72265625,-0.0018879870185628533,-219.2910919189453,44236800.0,0.006486064288765192,172801.43215055086,17.896467208862305,384.1340334415436,24295.226573295055,1694010755.7209735,0,ppo,halfcheetah
16,1000,6094.1015625,5.262678623199463,151140.375,6094.1015625,291.56155920028687,18.314741134643555,106.9122109413147,5878.3701171875,-0.0016766439657658339,-215.73170471191406,47185920.0,0.006911775562912226,172731.21006607672,18.309505462646484,406.4747610092163,24322.21481960492,1694010778.061701,0,ppo,halfcheetah
17,1000,6104.48828125,5.272060871124268,151269.453125,6104.48828125,308.6258294582367,18.13356590270996,112.18427181243896,5886.76220703125,-0.0012568609090521932,-217.72659301757812,50135040.0,0.00722100492566824,172824.26704570485,18.12760353088379,428.8158149719238,24278.930598292576,1694010800.402755,0,ppo,halfcheetah
18,1000,6330.056640625,5.258794784545898,156397.921875,6330.056640625,325.69971680641174,17.936153411865234,117.44306659698486,6111.05078125,-0.0011715154396370053,-219.00645446777344,53084160.0,0.007686813827604055,172726.92151826914,17.92963981628418,451.1531653404236,24340.17778677266,1694010822.7401054,0,ppo,halfcheetah
19,1000,6281.48828125,5.266084671020508,155239.125,6281.48828125,342.7682557106018,18.059810638427734,122.70915126800537,6065.51171875,-0.0008182423189282417,-215.97622680664062,56033280.0,0.008017590269446373,172781.045674392,18.0526123046875,473.4924592971802,24306.483468522554,1694010845.0793993,0,ppo,halfcheetah
