training/sps,training/v_loss,eval/sps,_runtime,eval/episode_reward_forward,training/entropy_loss,_step,training/walltime,eval/episode_x_velocity,eval/episode_reward_ctrl,eval/avg_episode_length,eval/episode_x_position,_timestamp,training/total_loss,eval/episode_reward_healthy,eval/walltime,training/policy_loss,eval/episode_reward,eval/epoch_eval_time,seed,rl_algorithm,environment
711348.0264475041,27.028173446655277,119616.68717572352,96.75494861602785,193.3129425048828,5.77622267883271e-05,39321600.0,69.37322616577148,193.3129425048828,-0.5956335663795471,248.3828125,74.40003204345703,1694009804.4601283,27.026042938232425,248.3828125,22.37294006347656,-0.0021895333193242,441.10009765625,1.070084810256958,1,ppo,walker2d
711189.6543747544,21.966602325439453,120072.4705360322,103.3554356098175,197.48095703125,0.0003312455373816,43253760.0,74.90221548080444,197.48095703125,-0.5990141034126282,249.8671875,75.88137817382812,1694009811.0606155,21.96519088745117,249.8671875,23.438962936401367,-0.0017405410762876,446.74908447265625,1.066022872924805,1,ppo,walker2d
711774.4445980354,17.336660385131836,119814.25708457752,109.9536509513855,200.08139038085935,0.0004143264086451,47185920.0,80.42666220664978,200.08139038085935,-0.6124723553657532,250.15625,77.01700592041016,1694009817.658831,17.33545684814453,250.15625,24.507283210754395,-0.001618311041966,449.6251831054688,1.0683202743530271,1,ppo,walker2d
711267.8960264771,6.015073299407959,120063.31385096716,116.55365467071532,204.5809631347656,0.0007613020716235,51118080.0,85.95504331588745,204.5809631347656,-0.6130563020706177,248.640625,78.85685729980469,1694009824.2588346,6.012415885925293,248.640625,25.573387384414676,-0.0034191841259598,452.6085205078125,1.0661041736602783,1,ppo,walker2d
711873.8006511143,12.559435844421388,120845.97032596866,123.14199781417848,206.87132263183597,0.0009634866728447,55050240.0,91.47871899604796,206.87132263183597,-0.6078310012817383,250.375,79.71678161621094,1694009830.8471775,12.55877685546875,250.375,26.63258695602417,-0.0016216258518397,456.6384887695313,1.059199571609497,1,ppo,walker2d
711278.3868079211,5.286149501800537,120598.04777370096,129.73702812194824,208.33917236328125,0.0010483324294909,58982400.0,97.0070185661316,208.33917236328125,-0.6018610000610352,247.0078125,79.95893096923828,1694009837.442208,5.284930229187012,247.0078125,27.6939640045166,-0.002267908770591,454.7451477050781,1.0613770484924316,1,ppo,walker2d
711499.5013900463,3.567168712615967,120808.87872980212,136.32860040664673,212.34132385253903,0.0012074735714122,62914560.0,102.5336000919342,212.34132385253903,-0.6081646680831909,249.4140625,81.81779479980469,1694009844.0337803,3.565812587738037,249.4140625,28.753488779067997,-0.0025636043865233,461.147216796875,1.0595247745513916,1,ppo,walker2d
711053.8535150135,3.4472994804382324,121088.25012698153,142.9211573600769,214.60205078125,0.0014144112356007,66846720.0,108.063645362854,214.60205078125,-0.6026217937469482,247.9453125,82.66854858398438,1694009850.6263373,3.4466769695281982,247.9453125,29.810569047927856,-0.0020367512479424,461.9447326660156,1.0570802688598633,1,ppo,walker2d
711852.477008498,8.797286987304688,120491.4071438735,149.51273131370544,213.74020385742188,0.0015387625899165,70778880.0,113.58748650550842,213.74020385742188,-0.6052254438400269,247.078125,82.08426666259766,1694009857.2179112,8.798441886901855,247.078125,30.87288546562195,-0.0003844867460429,460.2130737304688,1.0623164176940918,1,ppo,walker2d
711255.5958259992,3.107118606567383,120566.2523759733,156.1083059310913,214.31881713867188,0.0016829203814268,74711040.0,119.11596322059631,214.31881713867188,-0.6050220727920532,248.1484375,81.98074340820312,1694009863.813486,3.107161045074463,248.1484375,31.934542417526245,-0.001640721107833,461.86224365234375,1.0616569519042969,1,ppo,walker2d
