,generation,n_edges,phi,solver,environment,seed
312,1299,10,66.69999999999999,cgp,walker2d,105
313,2099,13,73.5,cgp,walker2d,105
314,2199,13,72.6,cgp,walker2d,105
315,2299,13,72.6,cgp,walker2d,105
316,299,7,76.19999999999999,cgp,walker2d,105
317,2399,13,72.6,cgp,walker2d,105
318,699,10,66.69999999999999,cgp,walker2d,105
319,499,10,66.69999999999999,cgp,walker2d,105
320,699,5,77.1,cgp,walker2d,105
321,2299,14,48.599999999999994,cgp,walker2d,105
322,1599,9,59.0,cgp,walker2d,105
323,899,5,77.1,cgp,walker2d,105
324,2199,13,48.599999999999994,cgp,walker2d,105
325,1699,9,59.0,cgp,walker2d,105
326,2399,13,48.599999999999994,cgp,walker2d,105
327,1899,12,49.499999999999986,cgp,walker2d,105
328,299,9,75.3,cgp,walker2d,105
329,2099,13,48.599999999999994,cgp,walker2d,105
330,999,5,77.1,cgp,walker2d,105
331,199,14,53.599999999999994,cgp,walker2d,105
332,799,5,77.1,cgp,walker2d,105
333,1799,12,49.499999999999986,cgp,walker2d,105
334,1299,9,59.0,cgp,walker2d,105
335,1399,9,59.0,cgp,walker2d,105
336,499,5,77.1,cgp,walker2d,105
337,2499,13,48.599999999999994,cgp,walker2d,105
338,1999,13,48.599999999999994,cgp,walker2d,105
339,99,3,78.0,cgp,walker2d,105
340,1199,5,77.1,cgp,walker2d,105
341,399,7,76.19999999999999,cgp,walker2d,105
342,599,5,77.1,cgp,walker2d,105
343,1499,9,59.0,cgp,walker2d,105
344,1099,5,77.1,cgp,walker2d,105
345,2299,23,44.49999999999999,cgp,walker2d,105
346,999,20,34.49999999999999,cgp,walker2d,105
347,599,21,17.5,cgp,walker2d,105
348,1299,15,40.39999999999999,cgp,walker2d,105
349,499,16,40.39999999999999,cgp,walker2d,105
350,1999,20,34.49999999999999,cgp,walker2d,105
351,1399,16,36.29999999999999,cgp,walker2d,105
352,799,20,50.39999999999999,cgp,walker2d,105
353,99,3,78.0,cgp,walker2d,105
354,199,15,44.49999999999999,cgp,walker2d,105
355,2499,21,30.39999999999999,cgp,walker2d,105
356,1599,16,36.29999999999999,cgp,walker2d,105
357,2199,23,44.49999999999999,cgp,walker2d,105
358,2399,23,44.49999999999999,cgp,walker2d,105
359,1199,19,34.49999999999999,cgp,walker2d,105
360,2099,21,45.4,cgp,walker2d,105
361,1099,19,38.599999999999994,cgp,walker2d,105
362,1699,16,36.29999999999999,cgp,walker2d,105
363,1899,27,19.099999999999994,cgp,walker2d,105
364,399,16,52.19999999999999,cgp,walker2d,105
365,1499,16,36.29999999999999,cgp,walker2d,105
366,699,18,51.3,cgp,walker2d,105
367,1799,18,26.799999999999997,cgp,walker2d,105
368,899,18,39.5,cgp,walker2d,105
369,299,16,47.199999999999996,cgp,walker2d,105
370,899,5,77.1,cgp,walker2d,105
371,499,7,75.3,cgp,walker2d,105
372,2499,14,48.599999999999994,cgp,walker2d,105
373,1699,5,77.1,cgp,walker2d,105
374,1399,5,77.1,cgp,walker2d,105
375,199,1,78.89999999999999,cgp,walker2d,105
376,1599,5,77.1,cgp,walker2d,105
377,999,5,77.1,cgp,walker2d,105
378,799,5,77.1,cgp,walker2d,105
379,2199,12,49.499999999999986,cgp,walker2d,105
380,1499,5,77.1,cgp,walker2d,105
381,2399,8,67.6,cgp,walker2d,105
382,299,3,78.0,cgp,walker2d,105
383,399,10,66.69999999999999,cgp,walker2d,105
384,99,1,78.89999999999999,cgp,walker2d,105
385,1899,6,68.49999999999999,cgp,walker2d,105
386,699,7,76.19999999999999,cgp,walker2d,105
387,599,7,75.3,cgp,walker2d,105
388,1299,5,77.1,cgp,walker2d,105
389,1099,5,77.1,cgp,walker2d,105
390,2099,12,49.499999999999986,cgp,walker2d,105
391,2299,12,49.499999999999986,cgp,walker2d,105
392,1199,5,77.1,cgp,walker2d,105
393,1999,9,59.0,cgp,walker2d,105
394,1799,6,68.49999999999999,cgp,walker2d,105
395,1599,8,62.599999999999994,cgp,walker2d,105
396,799,10,53.099999999999994,cgp,walker2d,105
397,1699,8,62.599999999999994,cgp,walker2d,105
398,699,11,63.999999999999986,cgp,walker2d,105
399,2499,9,61.7,cgp,walker2d,105
400,1499,8,62.599999999999994,cgp,walker2d,105
401,199,26,32.99999999999999,cgp,walker2d,105
402,99,3,78.0,cgp,walker2d,105
403,2199,8,62.599999999999994,cgp,walker2d,105
404,399,13,53.099999999999994,cgp,walker2d,105
405,1399,10,53.099999999999994,cgp,walker2d,105
406,1199,10,53.099999999999994,cgp,walker2d,105
407,1899,11,57.2,cgp,walker2d,105
408,1099,12,51.3,cgp,walker2d,105
409,1999,10,53.099999999999994,cgp,walker2d,105
410,2099,8,62.599999999999994,cgp,walker2d,105
411,599,11,63.999999999999986,cgp,walker2d,105
412,1799,13,49.9,cgp,walker2d,105
413,999,12,51.3,cgp,walker2d,105
414,2399,9,61.7,cgp,walker2d,105
415,2299,9,65.79999999999998,cgp,walker2d,105
416,899,11,40.39999999999999,cgp,walker2d,105
417,499,10,53.099999999999994,cgp,walker2d,105
418,299,15,52.19999999999999,cgp,walker2d,105
419,1299,10,53.099999999999994,cgp,walker2d,105
420,399,5,77.1,cgp,walker2d,105
421,1999,14,59.89999999999999,cgp,walker2d,105
422,899,10,57.2,cgp,walker2d,105
423,299,1,78.89999999999999,cgp,walker2d,105
424,1899,14,59.89999999999999,cgp,walker2d,105
425,99,1,78.89999999999999,cgp,walker2d,105
426,1199,14,59.89999999999999,cgp,walker2d,105
427,599,12,65.79999999999998,cgp,walker2d,105
428,1699,14,59.89999999999999,cgp,walker2d,105
429,499,12,70.8,cgp,walker2d,105
430,2499,16,42.699999999999996,cgp,walker2d,105
431,1299,14,59.89999999999999,cgp,walker2d,105
432,2299,16,59.0,cgp,walker2d,105
433,2199,15,51.3,cgp,walker2d,105
434,699,9,65.79999999999998,cgp,walker2d,105
435,1099,12,60.8,cgp,walker2d,105
436,1599,14,59.89999999999999,cgp,walker2d,105
437,999,12,60.8,cgp,walker2d,105
438,2099,14,59.89999999999999,cgp,walker2d,105
439,199,1,78.89999999999999,cgp,walker2d,105
440,799,10,57.2,cgp,walker2d,105
441,2399,15,51.3,cgp,walker2d,105
442,1799,14,59.89999999999999,cgp,walker2d,105
443,1399,14,59.89999999999999,cgp,walker2d,105
444,1499,14,59.89999999999999,cgp,walker2d,105
445,999,9,65.79999999999998,cgp,walker2d,105
446,1599,10,57.599999999999994,cgp,walker2d,105
447,199,9,65.79999999999998,cgp,walker2d,105
448,799,9,65.79999999999998,cgp,walker2d,105
449,1899,9,65.79999999999998,cgp,walker2d,105
450,2199,9,65.79999999999998,cgp,walker2d,105
451,2299,9,66.69999999999999,cgp,walker2d,105
452,1499,12,64.89999999999999,cgp,walker2d,105
453,99,9,65.79999999999998,cgp,walker2d,105
454,299,9,66.69999999999999,cgp,walker2d,105
455,1699,9,65.79999999999998,cgp,walker2d,105
456,1299,9,65.79999999999998,cgp,walker2d,105
457,399,9,66.69999999999999,cgp,walker2d,105
458,2099,12,63.999999999999986,cgp,walker2d,105
459,599,9,65.79999999999998,cgp,walker2d,105
460,899,9,65.79999999999998,cgp,walker2d,105
